train_accuracy;train_loss;valid_accuracy;valid_loss
36,4920;1,7337;22,5500;3,1915
56,9540;1,2111;55,8100;1,3835
66,3620;0,9490;61,7100;1,1275
72,8300;0,7844;65,7500;1,0187
76,7280;0,6711;78,6400;0,6247
79,6260;0,5823;77,8300;0,6546
81,7120;0,5185;81,8300;0,5364
84,0400;0,4557;85,6700;0,4258
85,8880;0,4027;86,4100;0,3984
87,1240;0,3700;88,1200;0,3423
78,0180;0,6367;78,3000;0,6446
79,6140;0,5844;68,5100;1,0415
81,2740;0,5377;79,1300;0,6030
82,4760;0,5004;83,3700;0,4973
83,4300;0,4823;83,3500;0,4851
84,5480;0,4455;79,2200;0,6182
85,2920;0,4288;79,3400;0,6241
86,3180;0,3981;83,8100;0,4942
87,2040;0,3693;86,7700;0,3875
87,7820;0,3526;87,2500;0,3697
88,5920;0,3286;87,4700;0,3749
89,5580;0,3038;89,1800;0,3245
90,4080;0,2763;89,7600;0,3076
91,1580;0,2542;89,2800;0,3274
92,2220;0,2256;90,5100;0,2931
93,0220;0,2053;91,5600;0,2567
93,6720;0,1863;92,0800;0,2523
94,3860;0,1630;92,4400;0,2254
94,6920;0,1579;92,6700;0,2281
94,8460;0,1528;92,6600;0,2206
84,4160;0,4565;76,9300;0,7184
85,0980;0,4274;81,8600;0,5483
85,7140;0,4092;80,9600;0,6065
86,5020;0,3935;84,7500;0,4523
87,0720;0,3757;85,4400;0,4529
87,3700;0,3696;84,8800;0,4514
87,6200;0,3604;84,3400;0,4733
87,8100;0,3539;85,5600;0,4392
88,0780;0,3428;88,3300;0,3602
88,6420;0,3283;86,1200;0,3823
88,6540;0,3312;84,4700;0,4582
88,9800;0,3178;83,4900;0,5260
89,3580;0,3099;84,9300;0,4380
89,3800;0,3065;87,6400;0,3661
90,0640;0,2899;88,6200;0,3653
90,2300;0,2857;88,6400;0,3423
90,4880;0,2729;88,7700;0,3602
90,9280;0,2635;88,7400;0,3484
91,3060;0,2502;90,0300;0,2995
91,6800;0,2442;88,5400;0,3648
92,2020;0,2281;89,6100;0,3211
92,7480;0,2111;89,9800;0,2948
92,8180;0,2095;89,8000;0,3348
93,1160;0,1987;88,2200;0,3914
93,4960;0,1866;90,7800;0,2981
94,1080;0,1712;91,8500;0,2555
94,7520;0,1566;92,1300;0,2549
94,8500;0,1490;92,3700;0,2462
95,3580;0,1356;92,9100;0,2266
95,8760;0,1214;93,3000;0,2116
96,2440;0,1107;93,2800;0,2210
96,7620;0,0983;93,6300;0,2086
97,0680;0,0895;93,6300;0,2232
97,2300;0,0837;94,2200;0,1935
97,5000;0,0751;94,3400;0,2045
97,7720;0,0678;94,4400;0,1909
97,8200;0,0652;94,5000;0,1866
98,0080;0,0622;94,5800;0,1860
97,9420;0,0627;94,5200;0,1928
98,0700;0,0596;94,5500;0,1954
83,8180;0,4730;82,2300;0,5605
86,7040;0,3848;81,7800;0,5519
87,4760;0,3622;85,6000;0,5060
88,0240;0,3484;87,9700;0,3471
87,9140;0,3475;86,4400;0,3938
88,5940;0,3317;84,3800;0,4931
88,5560;0,3302;85,9700;0,4363
88,8240;0,3221;82,6400;0,5508
89,0060;0,3166;83,5500;0,5101
88,9180;0,3181;84,8100;0,4618
89,2500;0,3117;86,4700;0,4187
89,2300;0,3108;86,5100;0,3982
89,3720;0,3087;79,0300;0,6915
89,4900;0,3038;86,3700;0,4270
89,6040;0,3010;85,7000;0,4523
89,7800;0,2954;85,0100;0,4643
89,7860;0,2978;87,0100;0,4267
89,8700;0,2943;82,9600;0,5126
90,1080;0,2857;86,3800;0,4157
89,9000;0,2903;86,5400;0,4346
90,3840;0,2793;84,6900;0,5186
90,4080;0,2804;89,0000;0,3528
90,5380;0,2735;89,4100;0,3070
90,7540;0,2669;86,7600;0,4093
90,7160;0,2689;89,9700;0,3091
91,0180;0,2606;89,2500;0,3316
91,2140;0,2547;87,6800;0,3606
91,0980;0,2564;88,8400;0,3212
