train_accuracy;train_loss;valid_accuracy;valid_loss
38,0940;1,6765;35,9000;2,1322
55,5260;1,2316;42,0600;2,0458
66,0920;0,9560;65,6400;0,9995
73,2220;0,7629;70,5200;0,8477
77,1960;0,6499;75,9500;0,6947
80,7660;0,5510;77,4400;0,7080
83,7000;0,4735;82,8100;0,5132
85,8980;0,4066;85,6800;0,4133
87,3780;0,3636;86,7500;0,3837
88,8480;0,3256;88,2300;0,3513
79,2520;0,5946;70,5800;0,9174
81,7260;0,5282;75,8800;0,7130
83,0480;0,4945;77,8000;0,6418
84,0020;0,4571;79,8500;0,6312
85,0780;0,4264;83,8000;0,4828
86,1840;0,3989;77,9900;0,7098
87,0860;0,3737;81,4400;0,5470
87,5840;0,3553;82,3800;0,5479
88,7660;0,3280;86,4700;0,3939
89,4540;0,3045;86,8800;0,4006
90,3620;0,2777;87,4900;0,3850
91,2960;0,2496;88,7200;0,3294
92,1160;0,2278;90,4600;0,3053
93,1660;0,2021;89,6400;0,3088
93,8980;0,1791;91,1700;0,2672
94,7140;0,1540;91,4500;0,2710
95,4580;0,1339;91,7200;0,2536
96,0320;0,1180;92,1700;0,2322
96,4160;0,1081;92,4100;0,2458
96,6580;0,1031;92,5200;0,2345
85,8400;0,4126;80,8800;0,5961
87,0960;0,3720;84,3100;0,4773
88,3020;0,3363;76,5600;0,7066
88,4340;0,3329;78,2300;0,7471
89,1580;0,3171;83,8500;0,4902
88,9260;0,3181;86,8500;0,3854
89,1880;0,3145;86,9600;0,3864
89,7720;0,2995;84,5200;0,4839
90,1820;0,2834;85,1900;0,4440
90,2520;0,2801;87,4200;0,3712
90,5080;0,2752;87,3800;0,3658
90,9240;0,2618;86,4500;0,4255
90,9600;0,2580;86,8200;0,4011
91,7140;0,2425;85,8000;0,4323
91,9240;0,2372;86,1800;0,3987
91,8400;0,2338;88,2000;0,3634
92,2860;0,2237;87,3900;0,3892
92,6620;0,2093;88,3200;0,3840
92,8080;0,2055;87,8000;0,3662
93,5360;0,1859;89,2300;0,3299
93,8040;0,1792;89,7800;0,3349
94,3100;0,1666;89,1700;0,3636
94,7040;0,1548;90,9300;0,3019
95,0460;0,1449;89,6100;0,3420
95,3280;0,1348;90,0000;0,3128
95,9260;0,1213;91,3700;0,2788
96,0940;0,1145;90,8300;0,3001
96,7720;0,0961;92,0300;0,2772
97,1420;0,0842;92,6300;0,2520
97,3660;0,0792;92,6100;0,2535
97,8480;0,0666;92,7700;0,2387
98,0860;0,0601;93,3000;0,2475
98,3040;0,0520;93,1600;0,2285
98,4740;0,0472;93,9100;0,2238
98,7100;0,0411;93,8400;0,2091
98,7680;0,0397;93,8500;0,2150
98,9780;0,0331;93,8700;0,2204
99,0820;0,0322;94,0500;0,2273
99,0560;0,0315;93,9900;0,2116
99,1180;0,0292;94,0700;0,2165
85,6180;0,4179;81,8600;0,5870
88,3820;0,3377;82,2400;0,5387
88,9500;0,3208;85,0000;0,4507
89,6780;0,2998;84,4200;0,4821
89,7680;0,2946;83,8900;0,5105
90,2100;0,2848;87,5800;0,3930
90,3560;0,2783;86,0100;0,4125
90,5340;0,2741;84,1700;0,4821
90,0860;0,2822;84,7200;0,4543
90,9700;0,2652;85,6000;0,4497
90,5800;0,2703;87,5300;0,3932
91,0200;0,2570;88,3600;0,3517
90,9020;0,2636;85,7400;0,4663
91,2020;0,2570;87,0900;0,3753
91,3120;0,2478;86,7500;0,4149
91,7040;0,2426;85,8000;0,4615
91,1220;0,2531;86,8600;0,4158
91,5920;0,2424;83,0600;0,5478
91,4640;0,2461;83,9000;0,4965
91,8820;0,2337;84,3800;0,5177
92,0760;0,2277;88,4900;0,3634
91,9280;0,2328;87,8200;0,3738
92,0120;0,2282;87,3400;0,3922
92,4040;0,2211;87,5400;0,3872
92,5280;0,2134;89,4700;0,3212
92,3280;0,2203;87,6800;0,3889
92,4120;0,2167;87,8300;0,3865
92,9280;0,2034;84,3000;0,5287
93,0220;0,2037;86,1000;0,4371
93,1800;0,1990;88,1500;0,3925
93,4560;0,1889;88,0000;0,3658
93,5340;0,1882;89,6800;0,3339
93,5440;0,1870;89,5200;0,3362
93,7800;0,1812;88,1300;0,3830
93,8760;0,1778;88,3200;0,3713
93,8940;0,1746;84,5100;0,4807
94,2680;0,1651;90,8000;0,2789
94,6780;0,1545;89,7800;0,3314
94,4800;0,1606;90,3500;0,2985
94,6220;0,1584;88,5100;0,3605
94,5760;0,1535;90,2500;0,3246
95,4080;0,1350;90,7900;0,3001
95,3080;0,1376;90,4200;0,2967
95,8340;0,1224;90,9200;0,2774
95,6740;0,1247;91,9700;0,2594
95,8640;0,1214;90,8400;0,2866
95,9840;0,1159;91,7100;0,2681
96,3280;0,1095;91,6700;0,2597
96,5180;0,1027;92,1500;0,2524
96,4660;0,1039;92,3100;0,2438
97,0940;0,0874;90,8800;0,2949
97,0100;0,0905;92,2000;0,2545
97,1960;0,0846;92,4800;0,2394
97,2280;0,0810;92,9400;0,2352
97,6180;0,0716;92,9800;0,2584
97,9360;0,0639;92,9100;0,2368
97,8980;0,0621;93,5100;0,2113
98,1220;0,0577;92,7900;0,2663
98,2380;0,0529;93,6000;0,2251
98,4880;0,0475;93,6200;0,2175
98,5460;0,0427;94,1200;0,2044
98,8100;0,0376;93,9400;0,2124
98,7840;0,0379;94,4800;0,2015
99,0120;0,0333;94,4600;0,1958
99,0040;0,0327;94,4100;0,2105
99,2300;0,0258;94,7500;0,1882
99,2300;0,0253;94,3900;0,2212
99,3100;0,0233;94,5000;0,1905
99,4180;0,0197;94,8200;0,1926
99,3880;0,0206;94,9100;0,1930
99,3900;0,0203;94,8800;0,1831
99,4720;0,0197;94,9500;0,1810
99,4900;0,0181;95,2300;0,2094
99,5420;0,0172;95,3000;0,1807
99,5780;0,0148;95,1200;0,1784
99,5260;0,0161;95,0900;0,1859
99,5940;0,0143;95,1700;0,1819
99,5540;0,0152;95,2100;0,1765
99,6140;0,0138;95,1300;0,1752
99,6040;0,0143;95,1700;0,1790
