train_accuracy;train_loss;valid_accuracy;valid_loss
39,7660;1,6369;38,6400;2,1005
59,1760;1,1409;54,1600;1,4051
68,9460;0,8857;63,7100;1,0883
74,8180;0,7236;66,5200;1,1117
78,4880;0,6175;71,1500;0,8604
82,1900;0,5176;80,3600;0,5857
84,0800;0,4602;80,8000;0,5781
86,5140;0,3901;85,4000;0,4507
87,9880;0,3464;86,3700;0,4122
89,5260;0,3085;88,2900;0,3451
79,7440;0,5855;60,3500;1,3082
82,3460;0,5110;76,4100;0,7224
83,7220;0,4707;79,6600;0,6047
84,8420;0,4379;76,4700;0,7452
85,9460;0,4082;80,6800;0,5887
86,8680;0,3854;85,1400;0,4562
87,8780;0,3515;84,3400;0,4826
88,5700;0,3314;85,2200;0,4346
89,0360;0,3185;84,9400;0,4378
90,1120;0,2913;87,1700;0,3695
90,9000;0,2663;87,7400;0,3829
91,2980;0,2530;88,4600;0,3516
92,4000;0,2211;88,9100;0,3429
93,0640;0,1998;90,2700;0,3050
93,8540;0,1824;90,4900;0,3045
95,0120;0,1450;91,5200;0,2640
95,5280;0,1344;91,9800;0,2475
96,0900;0,1178;92,5000;0,2390
96,5940;0,1035;92,5700;0,2295
96,7800;0,0991;92,6300;0,2353
86,5560;0,3923;82,9000;0,5016
87,9640;0,3539;84,3400;0,4827
87,9240;0,3503;82,3500;0,5370
88,4060;0,3361;81,9700;0,5919
88,9900;0,3213;87,9600;0,3723
88,9140;0,3186;81,3900;0,6044
89,4700;0,3027;83,7500;0,5107
89,6820;0,2979;74,4200;0,8404
90,0840;0,2844;85,2300;0,4667
90,7060;0,2675;86,7500;0,4189
90,6760;0,2673;84,4600;0,4877
91,1000;0,2619;87,1500;0,4077
91,1000;0,2543;86,5200;0,3835
91,7060;0,2412;87,2600;0,3827
91,6660;0,2432;87,5500;0,3865
92,0700;0,2332;86,1700;0,4574
92,8060;0,2121;82,7200;0,5761
92,3820;0,2194;88,4000;0,3861
92,8800;0,2049;88,4900;0,3535
93,2380;0,1933;90,6400;0,2804
93,9260;0,1765;87,3600;0,4005
94,2480;0,1673;90,0400;0,3129
94,4300;0,1633;90,7500;0,3095
95,1060;0,1402;91,0200;0,2865
95,1820;0,1395;90,8300;0,3044
96,0580;0,1164;91,8800;0,2592
96,1680;0,1128;91,9300;0,2591
96,7900;0,0953;92,0000;0,2576
97,0300;0,0911;92,7900;0,2403
97,3040;0,0779;93,0500;0,2499
97,6120;0,0712;92,6000;0,2467
98,0720;0,0604;93,4900;0,2240
98,0780;0,0602;93,6500;0,2436
98,5880;0,0453;93,9300;0,2159
98,7040;0,0410;94,0400;0,2156
98,7420;0,0424;94,1000;0,2218
98,9280;0,0345;94,1100;0,2074
99,0000;0,0330;94,2800;0,2105
98,8440;0,0384;94,4100;0,2337
99,0300;0,0323;94,3000;0,2053
86,6940;0,3917;80,6000;0,6158
88,1540;0,3425;82,8300;0,5310
89,1540;0,3131;81,2400;0,6062
89,5940;0,3045;85,2800;0,4557
90,3280;0,2785;85,2100;0,4418
89,6800;0,2960;87,1900;0,3799
90,3960;0,2781;85,6700;0,4458
90,4080;0,2762;82,6300;0,5746
90,5840;0,2718;86,2300;0,4329
90,9380;0,2618;86,1000;0,4148
91,3360;0,2536;82,7200;0,5465
90,5700;0,2749;85,0600;0,4658
90,7200;0,2699;86,1300;0,4294
91,0080;0,2579;84,6600;0,4771
91,3200;0,2496;88,7900;0,3573
91,4060;0,2537;86,8000;0,4053
91,6540;0,2419;86,5600;0,4124
91,4140;0,2515;87,7600;0,3635
91,9280;0,2329;86,6500;0,4381
91,6180;0,2398;84,4000;0,5118
91,9340;0,2333;89,4800;0,3097
91,9340;0,2315;87,5700;0,3724
92,0240;0,2330;87,8000;0,3860
92,4600;0,2184;88,2600;0,3576
92,2680;0,2235;89,4300;0,3243
92,4800;0,2182;86,9900;0,4080
92,6600;0,2130;88,5400;0,3612
92,8520;0,2071;88,2500;0,3620
93,1320;0,2019;87,9700;0,3791
92,4800;0,2164;88,4000;0,3618
93,0460;0,1993;87,2800;0,3922
93,4960;0,1899;89,4800;0,3248
93,6440;0,1868;89,7200;0,3315
94,0480;0,1737;90,5300;0,2786
