train_accuracy;train_loss;valid_accuracy;valid_loss
40,3400;1,6148;36,1200;1,9977
60,4820;1,1014;55,3300;1,3142
70,0360;0,8530;61,8300;1,1865
76,1100;0,6799;67,6300;0,9629
80,6000;0,5549;76,2900;0,6972
83,9260;0,4670;79,5800;0,6314
86,2540;0,3966;82,3400;0,5360
88,4020;0,3371;84,6000;0,4573
90,2300;0,2834;87,1700;0,3927
91,4960;0,2477;87,5200;0,3670
81,1820;0,5385;72,6100;0,8171
84,2660;0,4545;79,3600;0,6412
85,6140;0,4186;79,6500;0,6048
86,7580;0,3849;81,3400;0,5632
87,2860;0,3649;74,2500;0,7892
88,4560;0,3332;82,7800;0,5229
89,2300;0,3088;80,9600;0,6093
90,1280;0,2855;82,4600;0,5500
90,9880;0,2631;86,2700;0,4238
91,8020;0,2359;80,9800;0,6153
92,6840;0,2128;86,1800;0,4244
93,3320;0,1923;86,0000;0,4363
94,2080;0,1673;87,3100;0,3947
95,1540;0,1398;89,3600;0,3751
96,1960;0,1131;90,1500;0,3183
96,8520;0,0937;90,7600;0,2940
97,6380;0,0725;91,1200;0,2880
98,0960;0,0600;91,5000;0,2779
98,4140;0,0505;91,8000;0,2813
98,6600;0,0456;91,8000;0,2791
87,0980;0,3766;78,7700;0,6291
88,8540;0,3174;82,7600;0,5313
89,7640;0,2976;80,9800;0,5904
90,0900;0,2844;85,5900;0,4377
90,4400;0,2765;84,3400;0,4999
91,1940;0,2530;82,6100;0,5181
91,3320;0,2499;80,6200;0,5904
91,4220;0,2477;83,1300;0,5246
91,9280;0,2378;76,7700;0,7701
92,2280;0,2233;84,4800;0,4868
92,2760;0,2249;82,5500;0,5537
92,6160;0,2157;86,3200;0,4440
92,8800;0,2053;87,3400;0,3839
93,2080;0,1938;82,0500;0,5904
93,4100;0,1929;88,6900;0,3661
93,7000;0,1835;87,0200;0,4100
94,1100;0,1681;82,5900;0,5774
94,5560;0,1548;87,8600;0,4094
94,8980;0,1461;88,6600;0,3790
95,1980;0,1377;88,3800;0,3850
95,4420;0,1296;88,8100;0,3791
95,8420;0,1174;88,9100;0,3757
96,4460;0,1050;86,9800;0,4491
96,8080;0,0938;89,3300;0,4014
97,1440;0,0820;89,5700;0,3717
97,6000;0,0695;91,0300;0,3277
97,9980;0,0602;91,4500;0,3011
98,1060;0,0545;91,4400;0,2906
98,6780;0,0397;90,9700;0,3274
98,9420;0,0332;92,4900;0,2801
99,2080;0,0255;92,6100;0,2823
99,3760;0,0199;93,0800;0,2754
99,4900;0,0161;92,9400;0,2741
99,6600;0,0126;93,3600;0,2608
99,7580;0,0096;93,3300;0,2707
99,7620;0,0088;93,4700;0,2647
99,8440;0,0072;93,4600;0,2873
99,8600;0,0066;93,5400;0,2678
99,8440;0,0070;93,5600;0,2802
99,8900;0,0056;93,4900;0,2711
86,8700;0,3849;74,6500;0,8933
89,4080;0,3045;86,6800;0,4141
90,6740;0,2709;79,3400;0,6418
91,3420;0,2538;75,1900;0,8179
91,4500;0,2455;84,4100;0,4962
91,8140;0,2362;85,3000;0,4398
91,7480;0,2342;85,2600;0,4555
92,0820;0,2272;75,0500;0,8675
92,1060;0,2256;83,4100;0,5275
92,5680;0,2167;86,9200;0,4265
92,5840;0,2146;82,8500;0,5332
92,2560;0,2233;82,8400;0,5293
92,7620;0,2100;87,9300;0,3608
92,8680;0,2067;84,0300;0,5362
92,6680;0,2117;86,5700;0,4307
92,9680;0,2037;85,7300;0,4920
93,3320;0,1966;85,3700;0,4515
93,1940;0,1927;86,6700;0,4107
93,2320;0,1946;86,9300;0,4015
93,0540;0,1994;86,6500;0,4471
