train_accuracy;train_loss;valid_accuracy;valid_loss
40,2140;1,6205;42,4700;1,7419
58,9260;1,1476;47,6600;1,6251
68,7420;0,8850;53,0700;1,4184
74,6340;0,7270;70,8600;0,8417
78,6200;0,6101;70,4600;0,8834
81,9680;0,5204;79,0000;0,6362
84,6180;0,4429;77,2800;0,6834
86,8400;0,3809;84,2500;0,4690
88,6260;0,3270;85,8000;0,4507
90,1120;0,2910;86,4300;0,4066
79,8600;0,5776;70,3700;0,9429
82,4420;0,5066;71,2900;0,9137
83,8700;0,4655;73,9300;0,8277
85,0380;0,4287;79,1200;0,6289
85,8700;0,4077;80,5200;0,5610
86,8800;0,3777;78,5400;0,6506
87,5340;0,3555;72,8600;0,8554
88,6480;0,3306;79,6500;0,6335
89,7860;0,2984;76,0000;0,7633
90,1560;0,2844;84,3100;0,4680
91,0060;0,2570;83,7200;0,5034
92,0260;0,2292;86,0000;0,4452
93,1960;0,1986;88,2500;0,3806
93,9000;0,1758;88,5500;0,3692
94,7800;0,1505;88,9800;0,3573
95,9340;0,1210;90,0800;0,3171
96,6440;0,1007;89,6300;0,3493
97,2180;0,0837;90,5300;0,3240
97,5940;0,0744;90,5500;0,3331
97,8060;0,0690;90,4500;0,3308
85,9220;0,4048;80,3300;0,6359
87,6180;0,3548;74,1800;0,8010
88,5480;0,3339;81,4200;0,5833
88,8820;0,3197;81,5600;0,5659
89,5680;0,3027;82,3500;0,5142
89,7280;0,2988;77,7600;0,6820
90,0140;0,2878;77,9000;0,6939
90,2220;0,2787;78,6200;0,6739
90,2880;0,2746;82,8100;0,5294
90,6020;0,2693;85,5000;0,4536
91,1100;0,2567;82,7300;0,5981
91,3160;0,2497;86,2800;0,4193
91,7780;0,2386;83,0300;0,5399
91,4860;0,2422;86,8100;0,4181
92,2820;0,2188;86,7600;0,4120
92,8600;0,2099;84,9800;0,4662
92,7540;0,2077;82,9200;0,5314
93,1740;0,1952;80,9900;0,6878
93,5900;0,1842;87,9200;0,3837
94,0780;0,1712;85,9800;0,4680
94,2760;0,1619;85,5900;0,4625
94,9780;0,1457;86,3400;0,4296
95,1440;0,1409;88,0500;0,3998
95,8160;0,1186;87,7700;0,4295
96,1300;0,1113;88,8200;0,3797
96,7420;0,0960;88,6600;0,3983
96,9240;0,0895;90,0000;0,3656
97,6860;0,0720;90,6700;0,3443
97,8000;0,0628;90,0700;0,3638
98,3080;0,0518;90,5100;0,3478
98,4280;0,0467;91,6400;0,3193
98,9920;0,0322;91,9500;0,3099
99,2440;0,0257;91,7700;0,3230
99,3260;0,0225;91,9300;0,3666
99,4360;0,0189;91,9200;0,3271
99,5520;0,0156;92,1700;0,3162
99,6320;0,0139;92,1200;0,3407
99,6220;0,0137;91,9800;0,3217
99,7020;0,0116;92,1000;0,3271
99,6840;0,0121;92,1900;0,3242
85,7420;0,4168;65,3200;1,2736
88,3920;0,3346;74,6900;0,9204
89,1740;0,3131;85,1900;0,4630
90,0420;0,2885;82,3200;0,5622
89,8660;0,2900;84,7300;0,4673
90,5760;0,2704;81,9300;0,5575
90,8040;0,2644;83,2500;0,5265
90,5120;0,2756;76,0700;0,8470
90,9400;0,2603;83,6400;0,5158
91,1940;0,2574;80,9300;0,5987
91,1880;0,2557;80,6900;0,6537
91,4480;0,2479;81,9300;0,5761
91,4460;0,2461;77,8000;0,7453
91,6900;0,2367;77,2600;0,7664
91,8020;0,2387;85,5700;0,4816
91,7200;0,2369;83,8800;0,5193
91,5460;0,2420;85,0200;0,4476
92,0120;0,2319;77,8300;0,7842
92,0940;0,2256;82,5600;0,6076
91,9860;0,2277;81,0100;0,6636
92,3600;0,2191;84,7500;0,5146
92,6020;0,2136;85,1200;0,4874
92,6500;0,2087;82,0400;0,6362
92,5840;0,2113;84,0200;0,5468
93,1040;0,1991;85,1700;0,4937
93,1980;0,1951;86,3800;0,4432
93,5060;0,1888;84,3300;0,5380
93,2620;0,1914;85,8800;0,4293
93,2900;0,1911;87,4400;0,3755
93,5160;0,1877;87,2100;0,3971
93,8640;0,1759;86,5100;0,4283
93,9640;0,1732;87,5900;0,3992
94,2400;0,1677;86,5000;0,4493
94,2220;0,1675;87,3000;0,4078
94,3500;0,1623;85,7200;0,4947
94,5380;0,1585;89,3000;0,3444
95,0280;0,1473;87,2500;0,4263
95,0940;0,1409;86,5400;0,4444
95,2440;0,1364;87,4300;0,4325
95,5360;0,1284;87,1300;0,4381
95,4760;0,1291;87,6500;0,4607
95,7940;0,1191;87,3400;0,4725
96,1740;0,1110;89,2500;0,3642
96,3500;0,1037;87,9200;0,4349
96,3600;0,1055;85,6200;0,5088
96,3040;0,1064;88,4700;0,4180
96,7240;0,0964;89,2900;0,3877
96,7160;0,0913;89,9000;0,3598
97,1720;0,0841;88,6200;0,3940
97,2360;0,0801;88,8400;0,4056
97,6620;0,0674;89,1700;0,4250
97,9380;0,0605;89,7200;0,3739
98,0140;0,0604;89,1600;0,4249
98,2200;0,0539;91,4000;0,3237
98,3740;0,0481;90,9700;0,3345
98,3580;0,0483;91,2200;0,3323
98,9140;0,0351;91,2500;0,3413
98,8340;0,0364;91,7400;0,3523
98,9080;0,0340;91,8400;0,3226
99,2340;0,0244;91,4400;0,3374
99,3360;0,0220;92,4900;0,3196
99,4020;0,0204;92,2300;0,3225
99,5600;0,0146;92,1900;0,3230
99,5680;0,0150;92,4600;0,3289
99,5600;0,0144;92,4000;0,3063
99,6600;0,0110;92,5900;0,3050
99,7700;0,0088;92,8000;0,3098
99,7920;0,0078;92,7300;0,3091
99,8140;0,0072;92,9400;0,3071
99,8700;0,0061;92,8600;0,2978
99,8740;0,0053;93,0300;0,3187
99,8700;0,0055;92,9900;0,2959
99,8880;0,0048;93,0900;0,3223
99,9060;0,0044;93,1500;0,3180
99,9160;0,0042;93,1700;0,3134
99,9240;0,0040;93,1600;0,3095
99,9300;0,0042;93,2300;0,3280
99,9260;0,0039;93,1900;0,2991
99,9360;0,0037;93,2900;0,2940
99,9280;0,0039;93,2100;0,2969
