train_accuracy;train_loss;valid_accuracy;valid_loss
41,3100;1,5967;41,3300;1,9308
62,2900;1,0519;56,8800;1,2458
71,4500;0,8107;68,3900;0,9353
77,1180;0,6564;70,0400;0,8999
81,1240;0,5403;79,2300;0,6182
84,0760;0,4554;82,8000;0,5107
86,6660;0,3851;82,1100;0,5371
88,7060;0,3218;85,3700;0,4402
90,7100;0,2725;87,3200;0,3711
91,8680;0,2400;88,3500;0,3540
82,0620;0,5175;76,0000;0,7076
84,4100;0,4514;69,5700;0,8869
85,8840;0,4115;80,4200;0,6156
86,5520;0,3895;82,5100;0,5219
87,7500;0,3557;81,4500;0,5533
88,4000;0,3322;81,9700;0,5860
89,4820;0,3079;83,9000;0,4732
90,2740;0,2804;80,8600;0,6170
91,2360;0,2550;87,6100;0,3820
91,6740;0,2398;85,4400;0,4494
92,8100;0,2059;85,2400;0,4535
93,6520;0,1831;87,4000;0,3969
94,6140;0,1585;88,0900;0,3798
95,4100;0,1336;88,9200;0,3749
96,2920;0,1097;89,2500;0,3504
97,0540;0,0896;90,7700;0,2958
97,7580;0,0688;91,2700;0,2980
98,2100;0,0566;91,4700;0,2785
98,6160;0,0460;91,8300;0,2865
98,7880;0,0427;91,9100;0,2805
87,1220;0,3728;83,7700;0,4884
89,0860;0,3111;84,0900;0,4860
89,7880;0,2938;79,6700;0,6173
90,4600;0,2768;84,8000;0,4466
90,7800;0,2661;84,0100;0,4765
91,2640;0,2523;79,8100;0,6403
91,8060;0,2414;84,7600;0,5046
91,3920;0,2438;82,6600;0,5444
91,8920;0,2345;84,8300;0,4811
92,0160;0,2269;84,7800;0,5012
92,5320;0,2140;85,8100;0,4477
92,6240;0,2104;84,5700;0,5053
93,1260;0,1990;84,9100;0,4838
93,1740;0,1939;85,1500;0,4718
93,6700;0,1847;86,6100;0,4160
93,8740;0,1766;87,3100;0,4293
93,9600;0,1746;87,6800;0,3820
94,5740;0,1569;85,1600;0,5060
94,5440;0,1560;88,1600;0,3634
95,2740;0,1370;87,8100;0,4188
95,6100;0,1267;87,8600;0,4302
95,8240;0,1215;88,9100;0,3802
96,4000;0,1032;90,8000;0,3209
96,6000;0,0985;88,2900;0,4397
97,0800;0,0847;90,5400;0,3378
97,5760;0,0720;91,0200;0,3319
97,9900;0,0590;91,2100;0,3400
98,2660;0,0519;91,7200;0,2930
98,5660;0,0439;91,4900;0,3130
98,8620;0,0345;92,1100;0,2996
99,2980;0,0234;92,2500;0,2924
99,5340;0,0176;92,7800;0,2877
99,5240;0,0161;92,8000;0,2985
99,7040;0,0118;93,2100;0,2791
99,7640;0,0102;93,1900;0,2976
99,7940;0,0083;93,1500;0,2798
99,7880;0,0077;93,2200;0,2794
99,8620;0,0063;93,1700;0,2908
99,8360;0,0070;93,2500;0,2896
99,8680;0,0063;93,3400;0,2759
87,1540;0,3781;78,4300;0,6669
89,5220;0,3030;81,7000;0,5625
90,9200;0,2648;68,8200;1,0795
91,0960;0,2551;82,5400;0,5429
91,6340;0,2424;83,9400;0,5082
91,9800;0,2320;78,6300;0,7495
91,8540;0,2312;85,3900;0,4491
92,2420;0,2224;80,5400;0,6754
92,1040;0,2288;85,9600;0,4372
92,1340;0,2269;79,1200;0,6773
92,7200;0,2110;83,0200;0,6130
92,7180;0,2112;85,2100;0,4633
