train_accuracy;train_loss;valid_accuracy;valid_loss
42,2640;1,5693;27,9200;2,4044
61,9340;1,0636;59,0700;1,1678
70,9040;0,8301;66,1300;0,9881
76,7180;0,6671;69,1400;0,9447
80,6240;0,5576;78,0200;0,6256
83,5960;0,4755;79,3800;0,6440
86,1920;0,3998;82,6300;0,4961
88,4500;0,3351;82,9200;0,5155
90,0880;0,2904;86,8300;0,4015
91,4100;0,2516;87,5800;0,3872
81,3100;0,5375;62,1300;1,2297
83,2940;0,4786;79,2700;0,6417
85,3040;0,4250;65,6000;1,0549
86,0340;0,4011;73,9300;0,8028
87,1400;0,3741;81,6100;0,5534
87,9920;0,3453;82,4900;0,5034
88,9400;0,3196;81,0300;0,5830
89,6240;0,2979;81,6600;0,5593
90,5560;0,2740;86,3600;0,4059
91,4600;0,2491;85,7200;0,4474
92,2960;0,2249;86,4800;0,4163
93,0760;0,1987;89,0300;0,3422
94,1820;0,1688;88,2400;0,3803
94,9520;0,1482;88,0600;0,3834
95,8860;0,1200;90,4800;0,3059
96,8140;0,0970;90,9800;0,3074
97,4960;0,0783;91,2400;0,2911
98,0320;0,0634;91,5300;0,2994
98,2240;0,0571;91,3900;0,2937
98,4240;0,0520;91,4100;0,3004
86,8940;0,3832;73,8900;0,9021
88,5260;0,3260;82,7600;0,5280
89,4060;0,3046;81,8500;0,5718
89,7480;0,2933;85,3100;0,4596
90,4260;0,2784;78,6600;0,6455
90,8800;0,2646;82,0200;0,5507
91,1200;0,2595;72,5400;0,9350
91,1200;0,2563;84,9200;0,4454
91,5860;0,2440;81,9000;0,5509
91,8920;0,2325;83,9100;0,5018
92,1020;0,2307;84,9800;0,5022
92,1600;0,2256;85,2300;0,4362
92,5780;0,2135;84,0900;0,5083
93,0040;0,2041;85,8300;0,4247
93,0240;0,2009;86,2600;0,4073
93,3600;0,1899;76,7000;0,8702
94,1160;0,1698;88,7700;0,3344
94,2620;0,1649;87,6200;0,4121
94,4700;0,1581;86,5100;0,4276
94,7580;0,1506;87,6900;0,3999
95,2540;0,1373;88,7800;0,3690
95,6660;0,1238;89,5200;0,3526
96,1160;0,1136;90,0800;0,3364
96,5120;0,0997;88,9200;0,3798
96,8760;0,0900;88,5900;0,4392
97,2140;0,0827;90,7100;0,3319
97,6180;0,0723;90,3200;0,3449
98,1020;0,0566;91,9300;0,2997
98,4960;0,0465;91,3600;0,3486
98,5000;0,0454;92,0100;0,3159
99,0340;0,0298;92,6100;0,2944
99,1800;0,0254;92,9000;0,2771
99,4400;0,0188;92,8000;0,2976
99,6240;0,0138;92,8100;0,3036
99,7080;0,0119;93,3000;0,2768
99,7080;0,0109;92,9500;0,2819
99,7520;0,0100;93,1300;0,2785
99,7980;0,0091;93,1600;0,2932
99,8080;0,0077;93,2500;0,2727
99,7680;0,0088;93,2500;0,2716
86,9940;0,3869;75,4000;0,8074
89,1020;0,3140;80,1000;0,6433
90,2640;0,2811;85,8200;0,4260
90,6100;0,2735;83,7600;0,4974
91,3220;0,2537;83,3200;0,5320
91,2580;0,2516;82,9400;0,5269
91,3700;0,2481;86,6900;0,4307
91,9420;0,2357;80,2500;0,6525
91,7880;0,2372;81,1900;0,5756
92,0040;0,2316;82,6500;0,5214
92,2400;0,2236;86,2700;0,4165
92,5360;0,2166;81,6200;0,6184
92,3140;0,2203;73,5900;0,9573
92,4680;0,2197;87,3200;0,4017
92,6000;0,2130;84,9100;0,4870
92,8900;0,2043;83,9900;0,5147
92,7200;0,2110;84,7000;0,5126
92,9960;0,2038;86,5800;0,4123
92,7140;0,2053;84,0100;0,4997
93,2160;0,1968;87,1100;0,3852
93,2300;0,1938;88,2200;0,3671
93,3760;0,1897;88,6200;0,3581
93,5980;0,1862;85,3500;0,4938
93,6120;0,1839;82,2200;0,6310
93,7760;0,1779;87,9100;0,3887
93,9360;0,1734;85,5700;0,4654
94,1080;0,1724;85,9500;0,4891
94,0960;0,1677;87,2300;0,4265
94,3100;0,1637;89,6600;0,3202
94,8200;0,1493;89,6200;0,3427
94,4860;0,1580;87,2100;0,4009
94,6240;0,1519;87,5800;0,3998
95,0080;0,1437;84,9200;0,5285
94,9540;0,1444;87,7400;0,3944
95,1920;0,1377;85,4300;0,5066
95,4040;0,1308;87,6800;0,4338
95,3000;0,1343;86,2800;0,4655
95,8300;0,1212;89,3200;0,3543
95,7040;0,1240;88,9200;0,3747
95,8520;0,1163;89,7600;0,3371
96,2360;0,1092;89,2400;0,3612
96,3620;0,1059;88,3900;0,4077
96,5340;0,1010;89,7700;0,3276
96,7560;0,0926;88,3900;0,4302
96,9420;0,0866;89,2100;0,3669
97,4000;0,0742;90,2600;0,3544
97,0960;0,0835;89,9700;0,3504
97,6360;0,0673;89,6500;0,3798
97,7220;0,0662;90,8600;0,3219
97,7960;0,0648;90,1800;0,3698
97,9880;0,0591;89,6000;0,3720
98,2360;0,0526;92,1200;0,3027
98,4240;0,0479;90,8400;0,3253
98,5980;0,0435;92,1900;0,3021
98,6720;0,0411;91,9100;0,3145
98,9900;0,0306;91,7700;0,3418
99,0220;0,0311;92,5500;0,3052
99,1880;0,0258;92,2000;0,3052
99,2960;0,0226;92,7900;0,2674
99,2720;0,0236;92,6700;0,2774
99,5080;0,0172;92,8000;0,2941
99,6280;0,0136;93,0700;0,2976
99,6400;0,0126;92,7700;0,2878
99,6720;0,0115;93,4900;0,2723
99,7440;0,0094;93,3800;0,2810
99,8340;0,0070;93,2400;0,2824
99,8800;0,0059;93,6700;0,2622
99,8540;0,0057;93,5900;0,2580
99,9140;0,0048;93,8000;0,2565
99,9040;0,0046;93,8200;0,2574
99,9160;0,0038;93,6600;0,2567
99,9240;0,0039;93,7300;0,2576
99,9460;0,0034;93,7600;0,2558
99,9500;0,0033;93,7300;0,2530
99,9480;0,0033;93,8900;0,2709
99,9500;0,0029;93,8500;0,2475
99,9560;0,0031;93,9200;0,2482
99,9580;0,0027;93,9000;0,2507
99,9600;0,0028;93,8900;0,2526
99,9500;0,0031;93,8500;0,2596
