train_accuracy;train_loss;valid_accuracy;valid_loss
37,9080;1,6738;40,3200;1,9653
56,7860;1,2039;52,6500;1,3900
67,1480;0,9266;56,3100;1,2975
73,7800;0,7452;74,7900;0,7060
78,5620;0,6186;76,0600;0,6930
81,5220;0,5279;78,6900;0,6226
84,2080;0,4526;83,2200;0,5242
86,7060;0,3827;84,7800;0,4544
88,6500;0,3325;87,2200;0,3922
89,6060;0,3009;88,1900;0,3556
79,9300;0,5747;75,3500;0,7408
82,6040;0,5008;72,9700;0,7952
83,5340;0,4708;77,1800;0,6688
84,9960;0,4308;81,2200;0,5990
86,0860;0,4027;84,0600;0,4790
87,0980;0,3749;82,3000;0,5443
88,0520;0,3435;82,1400;0,5461
88,6100;0,3291;82,8500;0,5354
89,4240;0,3038;85,3300;0,4462
90,3660;0,2800;86,9500;0,3807
91,2160;0,2553;88,5700;0,3535
92,2020;0,2270;87,6500;0,4252
93,0080;0,2015;89,6100;0,3030
93,8940;0,1793;90,4100;0,2854
94,7740;0,1543;91,0000;0,2615
95,5200;0,1322;91,8200;0,2701
95,9780;0,1198;92,1200;0,2437
96,6520;0,1018;92,6000;0,2311
97,0220;0,0928;92,7200;0,2306
97,2500;0,0855;92,8300;0,2289
86,4400;0,3918;77,4600;0,7700
87,9520;0,3527;82,4000;0,5388
88,9380;0,3236;85,9200;0,4131
89,1060;0,3159;81,5500;0,5972
89,4260;0,3080;79,5900;0,6199
89,9680;0,2932;87,3700;0,3804
90,2220;0,2814;85,4700;0,4413
90,2300;0,2830;83,7800;0,4926
90,4200;0,2775;87,3900;0,3875
90,7780;0,2665;85,8000;0,4335
91,2400;0,2553;85,0600;0,4904
91,0800;0,2562;84,3500;0,4860
91,7820;0,2416;86,1300;0,4276
91,7820;0,2401;83,8800;0,5073
92,1700;0,2277;87,6600;0,3776
92,6700;0,2178;87,4800;0,3868
92,6320;0,2154;86,6100;0,4174
92,9080;0,2061;87,7600;0,3792
93,6340;0,1852;89,6400;0,3697
93,7960;0,1801;90,4900;0,3092
94,6040;0,1597;90,0800;0,3073
94,7460;0,1514;91,2000;0,2779
94,8540;0,1481;89,8200;0,3164
95,3660;0,1355;90,4500;0,2908
95,7740;0,1257;91,4800;0,2816
95,9920;0,1179;91,2700;0,2925
96,6820;0,0980;91,0100;0,2855
97,0380;0,0888;92,2700;0,2594
97,3620;0,0773;92,1900;0,2510
97,6900;0,0683;92,8400;0,2441
97,9320;0,0647;92,8500;0,2524
98,2040;0,0543;93,4000;0,2273
98,5760;0,0445;93,5300;0,2254
98,7420;0,0396;93,7900;0,2146
98,8000;0,0382;93,5900;0,2219
98,9600;0,0334;93,8600;0,2245
99,0740;0,0315;93,9200;0,2340
99,0580;0,0301;93,9500;0,2196
99,1840;0,0287;94,1000;0,2102
99,1400;0,0289;93,9500;0,2099
86,7860;0,3818;75,7300;0,8091
88,9440;0,3232;83,2200;0,5482
89,5780;0,3016;83,3900;0,5246
89,9320;0,2939;83,4700;0,5035
90,4960;0,2763;85,5700;0,4658
90,3200;0,2746;84,3500;0,4953
91,0800;0,2615;85,9600;0,4268
90,8880;0,2621;85,7500;0,4312
90,9760;0,2596;85,6300;0,4208
91,3960;0,2497;87,7900;0,3771
91,0700;0,2578;88,1700;0,3475
91,5680;0,2450;83,8900;0,5323
91,7080;0,2416;87,0100;0,3938
