train_accuracy;train_loss;valid_accuracy;valid_loss
15,4460;2,8967;25,6800;1,9630
24,4940;2,0035;36,0900;1,6854
30,7960;1,8638;41,2900;1,5739
36,0460;1,7391;43,2500;1,5017
40,8960;1,6250;54,3600;1,2545
45,0920;1,5255;53,2800;1,3772
49,3000;1,4150;58,7800;1,1683
52,8960;1,3281;60,3900;1,1415
54,9600;1,2661;66,2500;0,9674
57,4380;1,2011;69,6500;0,8735
58,8860;1,1618;67,6200;0,9343
61,0020;1,1023;68,8300;0,8742
62,1360;1,0735;74,0200;0,7376
63,6720;1,0338;59,7600;1,3034
64,9400;0,9955;76,4200;0,6752
65,8180;0,9651;75,8700;0,7032
66,7060;0,9470;70,5600;0,9058
67,2040;0,9272;76,6800;0,6894
68,1480;0,9140;72,7900;0,8078
69,0320;0,8832;74,7700;0,7355
69,0940;0,8793;79,0000;0,6099
69,9680;0,8579;74,1800;0,7869
70,3440;0,8472;78,5100;0,6409
70,8340;0,8339;80,3800;0,5775
70,8460;0,8287;77,4400;0,7056
70,9440;0,8287;75,1100;0,7540
71,4360;0,8137;79,4200;0,5830
71,5440;0,8099;74,7000;0,7925
72,0740;0,7965;78,8500;0,6209
72,8620;0,7803;80,5100;0,5774
72,5200;0,7820;79,9500;0,6066
72,6480;0,7855;83,3800;0,4949
72,9020;0,7741;79,1800;0,6224
73,2280;0,7651;81,0400;0,5635
73,4100;0,7610;80,5000;0,5922
73,5900;0,7578;81,8400;0,5435
73,7380;0,7523;81,5300;0,5765
73,2400;0,7555;83,3600;0,5048
73,9840;0,7429;76,9600;0,6528
74,1520;0,7366;78,7500;0,6535
74,0520;0,7389;80,7700;0,5856
74,6680;0,7260;78,5000;0,7122
74,3920;0,7279;81,3400;0,5464
74,6780;0,7223;84,4200;0,4633
74,3320;0,7291;80,2800;0,6087
74,8560;0,7174;79,6000;0,6797
74,7080;0,7223;81,3500;0,5345
74,9640;0,7153;77,8900;0,7140
74,9300;0,7185;79,9100;0,6140
75,2100;0,7078;79,8400;0,6381
74,9020;0,7105;82,0100;0,5324
75,0560;0,7092;82,2100;0,5146
75,5280;0,7020;82,8000;0,5077
75,3040;0,7054;84,1100;0,4708
75,6060;0,6948;78,3300;0,6794
75,6600;0,6961;81,5000;0,5421
75,8400;0,6931;80,3800;0,5911
75,6980;0,6919;82,7400;0,5074
75,5500;0,6912;83,1200;0,5219
76,3040;0,6826;83,2300;0,5039
75,8380;0,6912;82,4400;0,5155
75,9280;0,6856;84,2500;0,4431
76,0180;0,6840;83,2500;0,4905
75,9520;0,6828;85,8600;0,4363
76,4160;0,6757;86,7900;0,3809
75,9260;0,6812;86,5200;0,4012
76,4060;0,6737;84,4400;0,4678
76,4660;0,6746;81,6700;0,5547
76,4660;0,6720;84,3300;0,4987
76,6220;0,6669;84,3800;0,4530
76,0420;0,6791;82,2800;0,5570
76,5820;0,6651;84,5900;0,4421
76,0520;0,6764;83,0400;0,5267
76,4460;0,6726;85,3600;0,4288
76,9880;0,6597;86,1400;0,4043
76,5400;0,6669;84,7800;0,4635
77,1660;0,6575;80,5300;0,6212
76,5120;0,6700;83,2800;0,5092
76,3000;0,6727;86,2700;0,4046
76,4880;0,6730;83,2200;0,5118
76,9160;0,6595;87,5900;0,3809
76,8360;0,6587;84,5400;0,4725
76,8720;0,6627;84,6400;0,4780
77,2740;0,6508;84,3100;0,4714
77,0920;0,6527;83,7900;0,4939
82,1300;0,5172;92,3000;0,2117
84,1020;0,4570;92,7100;0,2052
84,8580;0,4352;93,0200;0,1932
85,2840;0,4234;93,1900;0,1888
85,7240;0,4107;93,3600;0,1869
85,9280;0,4034;93,5100;0,1929
86,3600;0,3935;93,5900;0,1844
86,5000;0,3870;93,7000;0,1907
86,8560;0,3774;93,9500;0,1768
87,0100;0,3773;93,7000;0,1803
87,5420;0,3553;94,0700;0,1705
87,3700;0,3617;94,2800;0,1722
87,7700;0,3548;94,1700;0,1720
87,9000;0,3495;94,1500;0,1724
88,2200;0,3434;94,2300;0,1624
