train_accuracy;train_loss;valid_accuracy;valid_loss
13,9440;2,9587;20,9900;2,0898
31,8040;1,7708;36,0800;1,6992
47,6600;1,4224;47,5600;1,4518
58,4180;1,1557;59,7200;1,1881
65,9260;0,9549;59,4000;1,1548
70,6640;0,8258;69,3900;0,8770
73,5040;0,7433;61,9400;1,2740
75,8740;0,6819;68,6600;0,9695
77,9840;0,6212;75,3000;0,7279
79,6700;0,5806;73,4100;0,8843
80,8520;0,5428;74,1700;0,7988
82,7420;0,4850;72,5300;0,8572
84,0680;0,4579;77,3700;0,6992
85,0820;0,4244;78,9900;0,6422
86,1660;0,3995;79,8000;0,6412
86,7340;0,3782;80,3100;0,6214
87,8160;0,3543;80,7800;0,5904
88,4200;0,3310;82,6100;0,5196
89,3780;0,3093;83,6500;0,5026
89,7220;0,2999;81,0000;0,6033
90,0400;0,2887;85,4300;0,4351
90,1340;0,2824;85,8800;0,4139
90,9620;0,2587;85,1000;0,4696
91,3700;0,2475;82,9300;0,5146
91,7660;0,2375;80,1800;0,6915
92,0280;0,2279;83,6800;0,4878
92,1740;0,2225;84,8800;0,4796
92,7540;0,2092;85,2100;0,4430
92,9740;0,2033;86,1600;0,4421
93,0240;0,1994;87,0700;0,3922
93,5240;0,1890;87,2200;0,4314
93,4220;0,1865;84,8300;0,4861
93,9020;0,1771;87,3700;0,4105
94,0200;0,1756;87,1700;0,4117
94,5420;0,1601;85,5000;0,4889
94,4280;0,1634;85,5900;0,4743
95,3300;0,1397;86,1300;0,4411
94,8880;0,1490;84,2300;0,6040
94,9680;0,1446;87,2500;0,4306
95,6680;0,1262;88,1000;0,3804
95,5840;0,1288;87,4800;0,3876
95,9680;0,1196;87,2300;0,4260
96,1840;0,1150;88,9700;0,3867
95,6660;0,1281;89,1500;0,3226
96,0240;0,1168;89,8400;0,3220
96,7220;0,1000;90,7700;0,2859
96,4060;0,1057;89,4400;0,3319
97,3980;0,0802;88,7800;0,3809
97,3340;0,0801;89,7100;0,3358
97,1380;0,0852;90,1300;0,3354
97,2660;0,0812;88,8800;0,3744
97,3200;0,0803;89,8700;0,3512
97,9720;0,0654;90,8200;0,3108
98,2960;0,0551;91,0300;0,2898
98,3840;0,0526;91,3200;0,3087
98,6280;0,0464;90,1900;0,3463
98,7740;0,0424;91,0200;0,3132
99,1200;0,0330;92,3100;0,2593
99,1860;0,0294;92,2100;0,2672
99,4260;0,0239;92,1100;0,2830
99,3780;0,0268;90,9900;0,3284
99,4120;0,0235;92,2500;0,2595
99,6320;0,0174;92,3700;0,2849
99,7100;0,0146;93,4400;0,2544
99,8540;0,0104;93,3900;0,2523
99,9420;0,0072;93,7000;0,2090
99,9400;0,0064;94,0800;0,2060
99,9520;0,0061;94,0100;0,1948
99,9660;0,0052;94,0200;0,1918
99,9800;0,0044;94,3000;0,1892
99,9900;0,0040;93,8800;0,2046
99,9880;0,0038;94,3300;0,1846
100,0000;0,0033;94,2400;0,1855
99,9920;0,0034;94,4700;0,1826
99,9940;0,0033;94,3000;0,1892
99,9960;0,0033;94,4400;0,1958
99,9980;0,0030;94,5800;0,1904
99,9960;0,0033;94,4200;0,1836
99,9960;0,0032;94,3700;0,1851
99,9900;0,0032;94,4100;0,1830
99,9980;0,0032;94,3800;0,2030
99,9960;0,0031;94,5900;0,1907
99,9980;0,0031;94,4800;0,1754
100,0000;0,0029;94,4600;0,1901
100,0000;0,0028;94,4300;0,1732
99,9980;0,0031;94,5400;0,1757
100,0000;0,0029;94,5200;0,1757
100,0000;0,0029;94,5800;0,1716
100,0000;0,0029;94,5800;0,1715
100,0000;0,0028;94,5000;0,1789
100,0000;0,0029;94,4800;0,1733
99,9980;0,0027;94,5400;0,1703
99,9960;0,0028;94,5300;0,1816
100,0000;0,0027;94,5300;0,1737
100,0000;0,0028;94,5400;0,1799
100,0000;0,0027;94,4900;0,1846
100,0000;0,0028;94,4800;0,1866
100,0000;0,0027;94,4900;0,1723
99,9980;0,0027;94,4800;0,1745
100,0000;0,0028;94,5600;0,1777
