train_accuracy;train_loss;valid_accuracy;valid_loss
16,0100;3,7856;23,3400;2,1408
26,0560;1,9314;26,8200;1,9887
32,4240;1,7289;33,7300;1,7075
38,7240;1,5909;36,2000;1,8131
46,4760;1,4226;42,2700;1,6326
53,9080;1,2479;54,5900;1,2533
59,5280;1,1111;59,2200;1,1433
63,8500;1,0015;65,5300;0,9504
67,1220;0,9186;66,4300;0,9373
68,7040;0,8711;68,5500;0,8910
60,5000;1,0961;53,7700;1,3909
65,9020;0,9549;58,3000;1,1648
69,3640;0,8612;70,1900;0,8621
72,3580;0,7842;64,9600;1,0090
74,4220;0,7244;68,9900;0,9364
76,7540;0,6655;73,0900;0,8441
78,4280;0,6147;70,5800;0,8690
80,2640;0,5638;77,0800;0,6868
81,9760;0,5155;77,5900;0,6737
83,4180;0,4757;75,0500;0,7673
85,0580;0,4284;80,6300;0,5910
86,6260;0,3879;82,2400;0,5401
87,5620;0,3539;84,1300;0,4707
89,1500;0,3148;85,0500;0,4612
90,2340;0,2819;86,8500;0,3963
91,3440;0,2489;87,2500;0,3939
92,5100;0,2192;88,1200;0,3467
93,2900;0,1973;88,8200;0,3598
93,8240;0,1809;88,9300;0,3355
94,3020;0,1692;88,9100;0,3450
82,6820;0,5004;78,5800;0,6439
84,7340;0,4376;80,2900;0,6355
85,8200;0,4090;76,3800;0,7785
86,4000;0,3948;79,0000;0,6895
87,4520;0,3599;83,6600;0,4876
87,8880;0,3518;81,9100;0,5519
88,7040;0,3284;85,3000;0,4358
89,2280;0,3109;82,1700;0,5277
89,6720;0,2962;82,3400;0,5380
90,0620;0,2879;85,9700;0,4208
90,5440;0,2710;82,1200;0,5591
90,7940;0,2617;84,9100;0,4544
91,4180;0,2444;88,2200;0,3526
92,1020;0,2258;84,4100;0,5103
92,2800;0,2242;87,1500;0,3984
92,6460;0,2118;86,8400;0,4081
93,4260;0,1910;86,9100;0,4150
93,8340;0,1807;84,1300;0,5412
94,2980;0,1699;85,7100;0,4683
94,6980;0,1564;87,6800;0,4086
94,7860;0,1500;87,6900;0,4004
95,7080;0,1265;88,1100;0,3921
96,2540;0,1096;90,2600;0,3219
96,6180;0,1000;88,6100;0,3761
97,0620;0,0887;89,1600;0,3545
97,6740;0,0708;91,0900;0,3022
98,2940;0,0554;91,2900;0,2932
98,5920;0,0458;91,2400;0,2860
98,9060;0,0379;92,0300;0,2667
99,2280;0,0303;92,3700;0,2973
99,4520;0,0234;92,7400;0,2392
99,6340;0,0175;92,7000;0,2403
99,7500;0,0139;92,7900;0,2367
99,8500;0,0116;92,8700;0,2390
99,8760;0,0104;92,8200;0,2447
99,9100;0,0091;92,9100;0,2496
99,8940;0,0091;93,0500;0,2393
99,9080;0,0089;93,1100;0,2448
99,9200;0,0082;93,0400;0,2627
99,9240;0,0087;93,2500;0,2576
86,2820;0,4015;72,0300;1,0093
88,4140;0,3343;84,5900;0,4775
90,3200;0,2805;74,7500;0,8360
91,0040;0,2571;83,4600;0,5071
91,4860;0,2438;84,4400;0,4997
91,7280;0,2399;80,9900;0,6513
92,0020;0,2262;84,0600;0,5338
92,1400;0,2243;79,7200;0,6975
92,5760;0,2176;84,8300;0,4695
92,5140;0,2177;76,2500;0,8288
93,1840;0,1970;84,2500;0,5015
92,8880;0,2043;81,4500;0,7437
93,0220;0,1996;85,3700;0,5056
93,5280;0,1871;88,1100;0,3641
93,4480;0,1885;87,7000;0,3603
93,3820;0,1934;80,3900;0,6852
93,5600;0,1845;85,7900;0,4688
94,2360;0,1669;86,4600;0,4468
94,0200;0,1724;81,4800;0,6739
94,1280;0,1673;85,4000;0,4605
