train_accuracy;train_loss;valid_accuracy;valid_loss
13,3940;3,4843;18,2000;2,1505
23,6040;1,9792;26,2800;1,8806
33,4020;1,7192;37,2000;1,6597
42,9560;1,5159;41,1300;1,5928
50,2200;1,3507;52,9200;1,2780
56,2240;1,2017;55,9600;1,2186
61,8640;1,0614;61,9300;1,1009
66,0960;0,9519;64,6500;0,9894
69,0200;0,8713;66,7900;0,9397
70,8240;0,8222;66,8400;0,9562
61,4240;1,0795;59,5500;1,1424
66,4260;0,9411;60,9600;1,1099
70,2520;0,8381;61,8800;1,1271
72,0000;0,7915;66,8900;0,9843
74,5560;0,7253;73,8200;0,7417
76,2720;0,6734;73,3200;0,7661
78,0120;0,6273;72,9500;0,7627
79,4840;0,5852;65,1700;1,1475
80,8140;0,5506;74,3000;0,7815
82,0520;0,5117;73,2800;0,8080
83,7260;0,4620;77,7900;0,6624
85,0600;0,4282;82,0900;0,5081
86,2620;0,3928;81,6500;0,5399
87,4240;0,3578;80,9500;0,5819
88,7840;0,3262;83,5500;0,5023
89,9800;0,2908;84,6800;0,4643
91,1020;0,2618;86,1100;0,4000
91,9820;0,2350;85,8600;0,4228
92,7320;0,2169;85,8500;0,4488
92,9440;0,2116;85,8800;0,4293
80,0700;0,5703;73,7600;0,8175
82,7800;0,4925;71,6400;0,8977
83,9060;0,4576;73,9400;0,7994
85,0040;0,4320;81,1700;0,5667
85,8080;0,4083;81,6900;0,5562
86,5180;0,3884;81,2000;0,5599
87,1780;0,3683;80,5200;0,5801
87,4120;0,3596;79,0200;0,6610
88,0660;0,3427;81,3000;0,5888
88,6740;0,3286;83,0300;0,5066
89,2160;0,3132;79,9200;0,6034
89,2080;0,3064;79,3200;0,6604
89,5740;0,2994;81,8000;0,5619
90,4640;0,2770;83,0100;0,5195
90,5240;0,2723;85,7100;0,4320
91,1920;0,2548;80,3000;0,6316
91,3120;0,2479;83,9200;0,5361
92,1160;0,2265;85,1700;0,4592
92,7880;0,2083;85,8700;0,4657
93,3160;0,1963;85,6500;0,4473
93,7620;0,1788;86,6900;0,4290
94,1180;0,1673;87,4500;0,3916
94,9120;0,1502;85,7400;0,4775
95,2640;0,1365;88,5800;0,3675
96,1240;0,1162;88,9200;0,3716
96,4980;0,1061;88,7700;0,3779
97,1600;0,0871;90,0400;0,3215
97,7400;0,0736;89,8500;0,3528
98,3440;0,0578;90,1600;0,3145
98,6000;0,0508;90,6500;0,3045
98,8960;0,0415;90,6700;0,2998
99,2260;0,0325;90,8900;0,3061
99,3540;0,0285;90,7400;0,3338
99,5540;0,0245;91,1500;0,2991
99,6300;0,0211;91,1900;0,2939
99,6340;0,0202;91,1200;0,2991
99,7540;0,0179;91,2200;0,3066
99,7140;0,0177;91,2800;0,3029
99,7720;0,0165;91,3200;0,2878
99,8200;0,0159;91,3800;0,3012
84,9140;0,4360;75,7000;0,7728
87,3600;0,3631;79,7500;0,6252
89,0560;0,3204;78,7200;0,6962
89,6360;0,2977;75,9900;0,8401
89,7820;0,2928;83,1900;0,5297
90,4040;0,2789;78,3600;0,6723
90,5360;0,2709;79,8600;0,6710
90,7640;0,2676;82,8300;0,5208
90,9920;0,2600;81,0900;0,6133
91,1020;0,2534;81,1900;0,6102
91,5580;0,2449;83,0000;0,5174
91,6740;0,2396;76,7100;0,7919
91,5700;0,2449;84,2900;0,5059
91,8200;0,2368;83,6400;0,4968
92,0320;0,2275;81,8900;0,5827
92,2600;0,2240;79,9500;0,6536
92,7520;0,2087;81,0600;0,6288
92,5240;0,2163;84,9300;0,4610
92,9120;0,2040;82,0900;0,5859
92,9180;0,2039;85,1100;0,4834
92,8580;0,2054;83,7100;0,5661
93,3780;0,1951;86,8000;0,4130
93,5940;0,1847;83,6500;0,5147
94,0400;0,1739;77,8000;0,7268
93,7980;0,1804;86,6800;0,4108
94,0080;0,1752;85,0100;0,4810
94,3040;0,1636;88,0700;0,4037
94,5120;0,1599;84,4600;0,5091
94,0140;0,1725;84,9100;0,5127
94,8380;0,1518;85,1200;0,4974
94,9020;0,1485;87,8400;0,4014
94,8160;0,1492;85,8700;0,4566
95,4320;0,1345;86,0000;0,4915
95,6880;0,1248;89,7800;0,3613
95,9420;0,1179;86,9600;0,4626
95,7900;0,1225;88,7900;0,3656
96,0000;0,1160;87,6100;0,4312
96,4020;0,1057;87,4200;0,4282
96,8380;0,0956;88,5100;0,3733
96,7660;0,0975;87,6500;0,4533
96,8780;0,0933;88,9100;0,3695
97,4920;0,0779;88,4600;0,4212
97,4860;0,0773;86,0700;0,4989
97,5180;0,0772;89,4900;0,3664
98,1280;0,0599;88,4200;0,4037
98,0380;0,0611;89,4100;0,3354
98,4900;0,0521;89,5700;0,3747
98,6040;0,0463;90,4800;0,3250
98,9540;0,0370;89,7300;0,3911
99,0900;0,0335;91,2800;0,2931
99,2980;0,0277;92,0300;0,2710
99,4380;0,0235;91,9200;0,2786
99,5640;0,0204;91,5400;0,2877
99,6960;0,0160;92,4000;0,2511
99,7340;0,0146;92,2800;0,2655
99,7900;0,0123;92,5900;0,2474
99,8940;0,0095;92,5200;0,2528
99,8800;0,0092;92,2100;0,2738
99,9200;0,0081;92,5600;0,2600
99,9440;0,0068;92,6000;0,2610
99,9540;0,0061;92,7000;0,2585
99,9580;0,0059;93,1000;0,2411
99,9760;0,0054;92,7100;0,2376
99,9680;0,0053;92,9300;0,2331
99,9780;0,0049;92,8200;0,2301
99,9800;0,0050;92,9300;0,2409
99,9860;0,0049;92,8700;0,2424
99,9700;0,0053;92,9300;0,2359
99,9860;0,0050;92,9100;0,2474
99,9840;0,0046;92,9300;0,2603
99,9820;0,0043;92,9000;0,2319
99,9860;0,0043;92,9500;0,2433
99,9820;0,0043;92,8600;0,2520
99,9900;0,0041;92,9200;0,2443
99,9900;0,0041;92,9600;0,2412
99,9860;0,0040;92,9400;0,2324
99,9840;0,0041;92,8200;0,2377
99,9880;0,0042;92,9200;0,2321
99,9840;0,0041;92,8800;0,2429
99,9920;0,0041;92,8300;0,2323
