train_accuracy;train_loss;valid_accuracy;valid_loss
11,0320;3,1889;13,7400;2,2780
16,4840;2,1971;19,2300;2,0695
21,2560;2,0430;24,2300;1,9207
25,2860;1,9399;30,7700;1,7732
29,4800;1,8371;30,4500;1,8397
35,9320;1,7241;35,3800;1,8143
41,1960;1,5980;48,0500;1,4616
46,3680;1,4732;57,2800;1,1914
50,5020;1,3728;59,1700;1,1596
52,7900;1,3164;62,5400;1,0400
44,4840;1,5442;47,8300;1,4310
48,9300;1,4261;57,6800;1,1479
53,1000;1,3161;64,0400;1,0129
56,4020;1,2225;55,3300;1,3241
59,1200;1,1526;62,0500;1,1310
61,4920;1,0853;64,7600;0,9509
63,0280;1,0448;56,4400;1,3971
64,9480;0,9876;65,6000;1,0828
66,6380;0,9388;73,5100;0,7704
68,1580;0,9041;78,0500;0,6301
70,0200;0,8498;77,5500;0,6337
71,1680;0,8143;79,6700;0,5947
72,7320;0,7756;77,9100;0,6258
73,7520;0,7416;81,6400;0,5179
75,3780;0,6991;84,3900;0,4498
76,5180;0,6664;84,0400;0,4507
77,6700;0,6319;85,8200;0,4122
78,6360;0,6140;85,8800;0,4000
79,4460;0,5872;87,0000;0,3802
79,4820;0,5820;87,3200;0,3618
67,2560;0,9277;75,4000;0,7114
69,9840;0,8526;75,4500;0,7097
71,7920;0,7996;74,1200;0,7947
73,0220;0,7725;78,8200;0,6292
73,9060;0,7433;79,1300;0,6002
74,1380;0,7345;78,8100;0,6432
75,5980;0,7025;79,5000;0,5936
76,0060;0,6888;84,5800;0,4443
76,7260;0,6661;71,5100;0,8685
77,2120;0,6481;73,6900;0,8745
77,5960;0,6419;76,6800;0,6913
78,1780;0,6221;71,0700;0,9976
79,0140;0,6036;81,0900;0,5864
79,6640;0,5822;82,6600;0,5268
79,5840;0,5803;84,7800;0,4414
80,0760;0,5697;85,4800;0,4172
80,7200;0,5470;85,0200;0,4224
81,5620;0,5309;85,5400;0,4072
82,0860;0,5126;87,3900;0,3746
82,2820;0,5043;85,2900;0,4302
82,7480;0,4859;87,8400;0,3708
83,4820;0,4768;85,6500;0,4453
84,0900;0,4557;90,0500;0,2973
84,4920;0,4430;89,6800;0,3097
84,9820;0,4305;90,7600;0,2603
85,3020;0,4186;89,9600;0,2999
85,9960;0,4012;89,6000;0,3104
86,8420;0,3812;92,0800;0,2342
87,3180;0,3667;91,6600;0,2289
87,7780;0,3502;92,1600;0,2349
88,1480;0,3408;92,9500;0,2063
89,0900;0,3149;93,1300;0,1935
89,3320;0,3092;93,3200;0,2001
89,5560;0,3019;93,6800;0,1793
89,9760;0,2919;94,0400;0,1829
90,3180;0,2812;94,1100;0,1715
90,4800;0,2767;94,3500;0,1619
90,8040;0,2728;94,3700;0,1875
90,9840;0,2673;94,4600;0,1616
91,0420;0,2664;94,4400;0,1602
75,9180;0,6904;66,0500;1,2210
77,9800;0,6244;80,9900;0,6031
79,1220;0,5941;79,0300;0,6177
