train_accuracy;train_loss;valid_accuracy;valid_loss
26,7760;1,9652;33,4900;1,8147
38,4700;1,6854;48,4500;1,4617
45,0420;1,5278;45,0500;1,8283
50,1680;1,3974;46,1400;1,7821
53,0440;1,3136;52,4700;1,4956
56,5060;1,2250;62,3100;1,1410
58,5900;1,1641;49,8700;1,8244
61,0340;1,1055;67,2600;0,9941
62,3840;1,0684;67,3000;1,0330
63,2280;1,0379;63,3000;1,2036
64,6560;1,0007;74,3500;0,8317
65,4740;0,9750;68,9100;1,0587
66,5340;0,9515;74,9200;0,7619
67,1700;0,9358;76,6400;0,7253
67,7580;0,9113;71,3900;0,9693
68,1600;0,9019;76,7700;0,7906
68,5880;0,8908;75,8000;0,7756
69,2820;0,8767;73,3400;0,9465
69,2980;0,8749;70,8600;1,0057
69,6000;0,8660;76,8100;0,7263
70,1000;0,8529;76,0700;0,7930
70,3800;0,8408;79,9500;0,6127
70,8660;0,8281;64,4800;1,5152
70,5080;0,8340;74,5100;0,8293
71,1680;0,8261;74,0400;0,8490
71,3940;0,8135;81,1600;0,5911
71,3460;0,8124;70,3800;0,9347
71,8680;0,8019;78,9900;0,7174
71,8900;0,7999;72,5300;0,9317
71,9880;0,7920;76,2400;0,7187
72,3920;0,7879;81,5900;0,5861
73,1860;0,7721;80,1200;0,6560
72,4260;0,7846;73,6300;0,8416
72,7540;0,7772;85,4200;0,4301
73,0820;0,7688;81,7300;0,5553
72,8480;0,7736;72,0400;0,9428
73,4380;0,7566;81,8200;0,5934
73,3680;0,7625;76,0700;0,7730
73,0900;0,7616;77,3900;0,7041
73,3760;0,7565;82,8400;0,5755
73,6000;0,7529;86,6800;0,3835
73,9160;0,7424;81,4100;0,5862
73,9740;0,7434;84,8700;0,4720
73,9840;0,7383;80,5700;0,6281
74,0520;0,7386;79,6800;0,6704
74,3880;0,7313;80,1400;0,6405
74,1720;0,7329;84,8500;0,4697
74,4820;0,7294;84,1800;0,4569
74,5060;0,7275;86,7200;0,4290
74,3760;0,7330;79,6100;0,6539
74,8500;0,7172;84,1000;0,4751
74,5320;0,7267;82,3700;0,5660
74,7120;0,7222;83,6200;0,5044
74,8860;0,7161;84,4000;0,4807
74,6460;0,7188;82,2600;0,5532
74,9000;0,7160;83,9500;0,4967
75,0700;0,7123;85,0600;0,4603
75,1560;0,7105;83,6600;0,5000
75,1620;0,7082;85,5100;0,4394
75,0860;0,7102;86,4400;0,4163
75,4760;0,7008;85,2200;0,4605
75,3320;0,7029;85,1500;0,4625
75,7820;0,6967;85,7500;0,4444
75,4600;0,6952;81,0000;0,6000
75,4300;0,7014;81,8800;0,5880
75,7660;0,6975;84,1800;0,4759
75,1080;0,7018;81,2500;0,6488
75,3260;0,7020;85,5500;0,4352
76,0000;0,6857;82,8500;0,5338
76,1960;0,6812;83,2200;0,5702
75,6480;0,6931;86,2200;0,4265
75,7200;0,6921;85,3600;0,4499
75,8400;0,6897;87,7200;0,3527
76,1760;0,6792;87,0700;0,4293
75,9860;0,6917;86,8000;0,4075
75,9300;0,6889;76,9400;0,7871
75,9400;0,6905;86,1100;0,4403
75,9700;0,6879;85,3500;0,4688
76,0360;0,6820;85,0500;0,4685
75,6240;0,6934;81,4700;0,5824
76,1880;0,6766;85,0700;0,4596
76,2920;0,6780;85,2000;0,4476
76,3300;0,6748;85,3400;0,4340
76,2560;0,6751;84,5500;0,4813
76,5940;0,6711;81,3600;0,6248
81,8560;0,5192;92,7600;0,2091
83,6360;0,4652;92,9800;0,2159
83,9760;0,4533;93,8300;0,1878
84,5840;0,4392;93,0700;0,2155
84,8840;0,4316;93,5500;0,1849
85,0440;0,4260;93,4100;0,1992
85,2680;0,4202;93,8200;0,1802
85,4600;0,4157;93,8700;0,1830
85,5920;0,4132;93,8400;0,1893
85,7120;0,4055;93,4900;0,1923
87,2720;0,3692;95,0700;0,1452
87,7720;0,3506;95,0900;0,1416
88,1940;0,3413;95,1600;0,1382
88,4380;0,3326;95,0900;0,1556
88,3860;0,3335;95,5500;0,1377
