train_accuracy;train_loss;valid_accuracy;valid_loss
27,4500;1,9494;27,9700;2,2193
39,5820;1,6652;40,6000;1,7433
48,3980;1,4430;35,4300;3,4352
53,6520;1,2997;55,6700;1,3370
58,4800;1,1673;60,4600;1,2636
61,9120;1,0753;64,8500;1,1217
65,1540;0,9853;72,8600;0,8188
67,9460;0,9040;78,4000;0,6307
70,4880;0,8393;77,4800;0,6632
71,7860;0,8015;81,2000;0,5567
62,7820;1,0598;58,1300;1,4109
65,5100;0,9812;63,7600;1,2653
67,4760;0,9264;71,1100;0,9283
69,0900;0,8776;71,3700;0,9147
70,5840;0,8348;67,4800;1,1261
71,6760;0,8109;78,3300;0,7177
73,3960;0,7619;77,5100;0,7356
74,4300;0,7323;80,4900;0,6189
74,8080;0,7175;84,3700;0,4827
75,9880;0,6804;81,6200;0,5644
77,0340;0,6532;84,3700;0,4863
77,8920;0,6266;83,4800;0,5599
79,1360;0,5960;85,1100;0,4735
80,3280;0,5638;87,1100;0,4213
81,0060;0,5433;87,3500;0,4221
81,9400;0,5165;88,9600;0,3808
82,8340;0,4851;89,4200;0,3336
83,6060;0,4641;89,4300;0,3308
84,0220;0,4570;89,3700;0,3259
84,1840;0,4491;89,6800;0,3163
73,9780;0,7455;79,4200;0,6712
74,6760;0,7241;76,7700;0,7875
75,6620;0,7022;81,4400;0,6113
75,9340;0,6869;63,2800;1,3402
76,4280;0,6722;84,1300;0,5190
76,9280;0,6567;81,8200;0,5896
77,2660;0,6528;83,7400;0,4874
77,8360;0,6364;67,2900;1,2641
77,8340;0,6299;85,1500;0,4390
78,7620;0,6103;86,6300;0,4219
78,6500;0,6137;83,5700;0,5264
79,2440;0,5938;86,0300;0,4242
79,5480;0,5822;84,7800;0,5074
79,5660;0,5844;84,1800;0,4768
80,0380;0,5720;83,8700;0,4970
80,7120;0,5555;86,2600;0,4216
80,8800;0,5481;83,4400;0,5438
81,2900;0,5370;88,4200;0,3727
81,7420;0,5202;87,4500;0,4130
82,1960;0,5085;89,3700;0,3204
82,9040;0,4923;87,5500;0,3759
83,2000;0,4804;89,1400;0,3413
82,9380;0,4845;90,2800;0,3409
83,7760;0,4622;90,3600;0,3033
84,5260;0,4431;91,1200;0,2701
84,8240;0,4338;91,6000;0,2862
85,2860;0,4219;92,2900;0,2345
85,8400;0,4053;92,8700;0,2185
86,5000;0,3881;92,0300;0,2412
86,9120;0,3706;93,4300;0,2039
87,6020;0,3580;93,3900;0,2366
87,7640;0,3511;93,5900;0,1957
88,2700;0,3365;93,9900;0,1881
88,3460;0,3322;94,0700;0,1851
88,8080;0,3199;94,1700;0,1828
89,3600;0,3068;94,2000;0,1752
89,5140;0,3002;94,3700;0,1905
89,5920;0,3017;94,5400;0,1686
89,7280;0,2948;94,5400;0,1690
89,8560;0,2942;94,5300;0,1649
76,2000;0,6805;80,6600;0,6226
77,1320;0,6482;84,9200;0,4526
78,5460;0,6148;82,7100;0,5311
78,6360;0,6109;86,5800;0,3983
79,1380;0,5983;83,1100;0,5620
79,4860;0,5910;80,8800;0,6633
79,5300;0,5886;75,5600;0,8580
80,1020;0,5670;86,1500;0,4324
79,8260;0,5768;83,8900;0,5368
80,0860;0,5686;85,3000;0,5068
