train_accuracy;train_loss;valid_accuracy;valid_loss
37,4280;1,6723;36,4300;2,0145
57,1680;1,1840;54,3000;1,4789
66,2740;0,9478;59,8500;1,2517
71,8340;0,7906;69,1600;0,9831
76,1200;0,6768;64,8000;1,1274
79,7300;0,5882;75,2500;0,8024
82,2120;0,5125;74,4800;0,9320
84,3420;0,4523;77,0000;0,7869
86,3180;0,3985;74,5000;0,9432
87,3860;0,3709;75,4900;0,9174
78,1360;0,6217;65,2500;1,1291
81,3500;0,5393;71,9400;1,0945
82,3700;0,5072;61,6500;1,4443
84,3220;0,4600;65,1900;1,5202
84,9720;0,4365;77,4200;0,8606
86,0180;0,4070;72,4300;1,1776
86,7920;0,3812;78,9300;0,7341
88,1140;0,3507;74,7400;0,9690
88,7600;0,3290;83,9400;0,5405
89,5520;0,3045;81,3800;0,6714
90,5400;0,2725;77,2200;0,9300
91,5000;0,2481;79,8200;0,8883
92,1600;0,2282;84,6000;0,5858
93,1560;0,1985;86,5700;0,5632
93,9240;0,1808;85,8300;0,5802
94,7080;0,1541;86,2100;0,5248
95,5620;0,1328;87,9500;0,4723
96,0980;0,1178;88,1700;0,4699
96,3860;0,1087;87,9900;0,4851
96,6660;0,1026;88,5700;0,4787
86,1960;0,3996;75,9400;0,8684
87,7340;0,3542;71,0500;1,2192
88,0340;0,3408;77,4900;0,7984
89,0220;0,3172;79,0000;0,6717
89,3680;0,3079;78,2800;0,7343
89,6720;0,2996;85,2100;0,4628
89,9620;0,2883;82,4600;0,6107
90,3920;0,2757;83,0400;0,5821
90,5560;0,2706;80,9300;0,6815
90,6780;0,2675;85,8300;0,4827
90,8680;0,2632;87,2400;0,4184
91,2160;0,2567;86,8200;0,4487
91,5140;0,2449;85,8900;0,4667
91,8080;0,2382;78,6700;0,7777
92,0200;0,2303;85,6700;0,4604
92,9660;0,2062;88,5300;0,3718
93,1580;0,2001;86,3800;0,4912
93,4680;0,1870;78,8700;0,7834
93,7800;0,1813;88,2600;0,4086
94,6500;0,1566;87,4100;0,4426
94,5680;0,1577;85,8500;0,5308
94,9800;0,1462;89,6800;0,3754
95,3360;0,1348;89,5300;0,3928
96,0000;0,1157;90,3900;0,3418
96,4420;0,1053;88,1700;0,4835
96,5160;0,1001;90,6000;0,3349
97,3280;0,0817;89,7200;0,4057
97,6240;0,0729;91,1500;0,3410
98,0200;0,0622;92,1400;0,3236
98,1800;0,0549;92,4800;0,2794
98,4760;0,0472;91,8800;0,3423
98,7740;0,0391;92,7200;0,2784
99,0620;0,0311;92,9800;0,2967
99,2920;0,0255;92,5300;0,3083
99,2900;0,0249;92,6300;0,3238
99,4660;0,0202;92,6300;0,2780
99,5320;0,0179;93,1000;0,2789
99,5240;0,0178;92,9100;0,2828
99,5720;0,0174;92,7600;0,3400
99,6100;0,0157;92,8900;0,3325
87,4480;0,3698;75,7200;0,8672
88,9240;0,3188;80,7900;0,6790
90,2040;0,2844;84,0600;0,5108
90,4560;0,2734;71,5500;1,0849
91,2460;0,2548;85,0500;0,4576
91,4920;0,2496;82,0300;0,5818
91,3060;0,2498;85,9800;0,4731
91,8440;0,2360;86,3600;0,4538
91,9160;0,2335;81,9100;0,5977
91,9940;0,2303;85,0000;0,4729
91,9760;0,2345;85,4100;0,4982
92,1100;0,2286;80,9300;0,6220
92,6580;0,2125;85,7900;0,4446
92,7520;0,2132;82,8300;0,5707
92,4000;0,2244;85,1200;0,4969
92,7580;0,2116;78,5800;0,7583
92,7760;0,2076;84,3000;0,5215
92,7260;0,2122;82,9400;0,5920
93,0860;0,1995;85,5000;0,5238
92,9060;0,2066;86,4800;0,4593
93,6860;0,1847;86,9100;0,4492
93,3440;0,1905;87,3000;0,4111
93,6700;0,1840;75,2100;1,0201
94,1040;0,1727;83,6800;0,6602
93,6800;0,1846;87,1500;0,4773
93,9600;0,1776;85,6300;0,4793
94,2380;0,1687;87,1800;0,4452
94,2340;0,1694;87,1400;0,4736
94,3740;0,1622;81,5300;0,8649
94,1960;0,1677;81,2700;0,8044
94,5340;0,1593;85,4300;0,6163
94,9780;0,1445;85,1100;0,5876
94,6920;0,1525;87,1800;0,4666
95,2280;0,1397;85,5800;0,5231
95,4980;0,1329;86,9600;0,4660
95,6520;0,1276;89,2900;0,3543
95,6320;0,1287;87,2500;0,4726
95,9320;0,1176;88,7800;0,4153
95,9560;0,1193;85,5700;0,5331
96,0480;0,1151;85,8100;0,5583
96,1560;0,1120;88,8200;0,4067
96,4460;0,1034;89,2200;0,3934
96,6520;0,0982;87,9800;0,4618
96,8000;0,0942;85,7200;0,5790
96,9780;0,0882;87,4800;0,5409
97,3520;0,0796;90,1400;0,3790
97,3300;0,0793;89,9400;0,3914
97,4280;0,0767;89,5600;0,3929
97,7780;0,0668;90,9600;0,3432
97,7580;0,0675;90,5000;0,4204
98,0520;0,0597;90,3100;0,3828
98,2280;0,0543;91,3400;0,3465
98,2360;0,0536;91,3200;0,3433
98,6160;0,0424;90,9600;0,3816
98,8120;0,0383;91,7600;0,3441
98,9540;0,0334;92,0800;0,3503
98,8980;0,0345;91,9400;0,3355
98,9720;0,0328;92,3900;0,3397
99,3380;0,0229;92,1900;0,3237
99,4180;0,0212;92,5600;0,3115
99,5100;0,0174;92,6300;0,3183
99,5540;0,0167;91,8500;0,3976
99,6680;0,0131;91,6200;0,3877
99,7040;0,0124;92,3000;0,3607
99,6700;0,0130;91,8900;0,4012
99,6940;0,0123;92,6800;0,3460
99,7880;0,0097;92,2200;0,3801
99,7780;0,0097;92,0500;0,4019
99,8280;0,0079;92,9400;0,3425
99,8760;0,0069;93,1400;0,3274
99,8440;0,0070;92,9200;0,3453
99,8560;0,0070;93,1000;0,3482
99,8640;0,0066;92,9000;0,3614
99,9100;0,0058;93,0700;0,3378
99,8840;0,0058;92,7000;0,3551
99,9400;0,0049;93,0500;0,3283
99,9040;0,0055;93,2000;0,3308
99,8880;0,0058;92,6300;0,3595
99,8880;0,0058;93,0500;0,3357
99,9140;0,0052;93,0200;0,3540
