train_accuracy;train_loss;valid_accuracy;valid_loss
36,2480;1,7035;34,2000;2,4264
52,5940;1,2983;50,4800;1,5801
61,2480;1,0755;40,1700;2,4614
65,6720;0,9610;55,4200;1,5712
69,1780;0,8615;54,9600;1,8990
72,9300;0,7665;60,3500;1,6318
76,2020;0,6823;68,1600;1,1011
78,3900;0,6150;68,9200;1,2364
80,4080;0,5531;71,9800;1,0455
82,0240;0,5174;72,8800;1,0874
72,9540;0,7735;53,6900;1,9608
76,4060;0,6775;61,9900;1,5755
78,2980;0,6194;74,9200;0,8774
80,3740;0,5656;65,0900;1,5129
82,0880;0,5202;69,4800;1,1769
83,3100;0,4830;77,0100;0,8125
84,7380;0,4441;77,5500;0,7877
85,6900;0,4133;75,2600;0,9612
86,7240;0,3818;78,1800;0,7537
87,9980;0,3482;80,1800;0,6912
88,9060;0,3205;78,9600;0,8061
89,5160;0,3018;85,4100;0,4796
90,8960;0,2640;84,3200;0,5635
91,6380;0,2391;87,5800;0,4381
92,8080;0,2125;83,7500;0,6223
93,4100;0,1897;88,2900;0,4620
94,3640;0,1664;88,6800;0,4279
95,0000;0,1482;87,9800;0,4788
95,3000;0,1378;89,1200;0,4263
95,6040;0,1304;88,9700;0,4202
84,7400;0,4387;73,1500;0,9829
86,3000;0,3947;78,5200;0,7684
87,5140;0,3653;71,4700;1,3477
87,9160;0,3525;67,7400;1,3943
88,5820;0,3347;77,5500;0,8329
88,6140;0,3310;83,2700;0,5520
89,0560;0,3177;83,6700;0,5519
89,3220;0,3121;81,6400;0,6313
89,3000;0,3095;84,6600;0,5199
90,0540;0,2880;82,7400;0,5924
90,4160;0,2788;84,2900;0,5626
90,6540;0,2703;73,5500;0,9608
90,8940;0,2632;86,2400;0,4537
91,3300;0,2524;85,1600;0,4994
91,5260;0,2431;87,4000;0,4427
92,1460;0,2284;84,9900;0,5486
92,4300;0,2207;85,8900;0,4648
92,7280;0,2093;87,0500;0,4497
93,0960;0,1965;86,3000;0,4777
93,5780;0,1859;87,6200;0,4261
94,2260;0,1692;90,1300;0,3323
94,4660;0,1587;85,6000;0,5387
94,9720;0,1487;88,2100;0,4155
95,3740;0,1367;90,3200;0,3439
95,7380;0,1238;91,4800;0,3079
96,3800;0,1074;90,3200;0,3697
96,6260;0,0996;91,0200;0,3333
97,3320;0,0805;91,1700;0,3268
97,4840;0,0753;92,2900;0,3006
98,0580;0,0588;92,3500;0,3039
98,3340;0,0513;92,6100;0,2712
98,7100;0,0422;92,8300;0,2812
98,9360;0,0353;93,0300;0,2703
99,1720;0,0300;93,3100;0,2584
99,3360;0,0256;93,4900;0,2619
99,3780;0,0229;93,4000;0,2613
99,4560;0,0205;93,5400;0,2609
99,4720;0,0197;93,4700;0,3364
99,5320;0,0186;93,6000;0,2702
99,5560;0,0181;93,7300;0,2513
85,8340;0,4121;79,4100;0,6738
88,6320;0,3285;83,8600;0,5178
89,6200;0,2979;79,4600;0,6738
90,0420;0,2895;81,7700;0,6428
90,4900;0,2756;84,8500;0,4783
90,9360;0,2609;81,1500;0,6684
90,7980;0,2661;85,3500;0,4618
91,3040;0,2523;86,2800;0,4403
90,7280;0,2646;77,1000;0,9030
91,4700;0,2490;87,4700;0,4465
91,9540;0,2339;83,7200;0,5416
91,5100;0,2463;79,0300;0,8102
91,7580;0,2351;84,1100;0,5281
92,1300;0,2250;77,7300;0,8943
92,0660;0,2304;81,3800;0,6743
92,2640;0,2220;85,4600;0,5005
92,3220;0,2180;84,2700;0,5720
92,4400;0,2165;84,9700;0,5161
92,4680;0,2192;82,1500;0,6818
92,6460;0,2086;86,1400;0,4751
92,8220;0,2075;86,5000;0,4907
93,0560;0,2018;87,9700;0,4106
93,1420;0,1965;87,9600;0,4225
92,9600;0,2042;87,8500;0,3928
93,4020;0,1931;86,6700;0,4831
93,4440;0,1881;89,4500;0,3562
93,9180;0,1767;86,9200;0,4797
94,0140;0,1734;87,0500;0,4580
94,0960;0,1727;87,1500;0,4382
94,4020;0,1627;87,2500;0,4667
94,2880;0,1650;85,4800;0,5472
94,5440;0,1587;86,6300;0,4777
94,5300;0,1593;87,0800;0,4657
94,8920;0,1475;91,1000;0,3226
94,9060;0,1432;84,4700;0,6293
95,1320;0,1414;88,4100;0,4169
95,4540;0,1316;88,4100;0,4143
95,6760;0,1266;88,4800;0,4379
95,9300;0,1194;88,9600;0,3958
95,7460;0,1219;90,6500;0,3196
96,2680;0,1097;89,5600;0,4039
96,1180;0,1141;91,1900;0,3192
96,5840;0,1016;89,9000;0,4209
96,6000;0,0986;89,8300;0,3739
96,7940;0,0931;88,9700;0,4113
97,0880;0,0849;88,7100;0,4568
97,3200;0,0800;90,4400;0,3856
97,4060;0,0764;90,7100;0,3415
97,8140;0,0654;89,1000;0,4599
97,9120;0,0617;91,6600;0,3697
97,8440;0,0651;91,4200;0,3332
97,9880;0,0598;92,0400;0,3127
98,5200;0,0463;91,1600;0,3745
98,3980;0,0483;91,8600;0,3457
98,6760;0,0414;91,3800;0,3801
98,8360;0,0379;92,1000;0,3336
99,0660;0,0310;91,8900;0,3454
99,1940;0,0260;92,4200;0,3284
99,3240;0,0233;92,3900;0,3195
99,3700;0,0210;92,7700;0,3204
99,5020;0,0174;93,0400;0,3189
99,6300;0,0135;93,3100;0,2720
99,6840;0,0126;92,9400;0,3002
99,7980;0,0097;93,3300;0,2910
99,8400;0,0084;93,0000;0,3195
99,7840;0,0093;93,1200;0,3258
99,8540;0,0074;93,0300;0,3142
99,8900;0,0064;93,2500;0,3045
99,8740;0,0061;93,5100;0,3521
99,8940;0,0061;93,4600;0,3057
99,9040;0,0054;92,7600;0,3891
99,9100;0,0055;93,4400;0,3135
99,9280;0,0051;92,7800;0,3785
99,9400;0,0046;93,1700;0,3303
99,9160;0,0049;93,6200;0,2985
99,9340;0,0045;93,2700;0,3169
99,9240;0,0047;93,4000;0,3096
99,9260;0,0046;93,1500;0,3379
99,9200;0,0046;93,4600;0,3191
99,9300;0,0045;93,4900;0,2990
