train_accuracy;train_loss;valid_accuracy;valid_loss
35,6760;1,7052;40,0200;1,7344
55,6400;1,2249;49,0700;1,7395
64,9740;0,9777;50,6500;2,2031
70,2740;0,8377;55,2500;1,6388
74,5840;0,7249;68,7700;0,9975
78,2960;0,6275;76,1600;0,7296
81,2900;0,5375;74,7700;0,7999
83,5440;0,4744;74,7000;0,9792
85,4780;0,4224;81,5600;0,6976
86,6080;0,3878;82,5700;0,6015
78,2280;0,6228;55,2200;1,9856
80,4340;0,5632;69,7600;1,0194
82,2380;0,5086;72,0700;0,9559
83,6040;0,4780;79,0600;0,7039
84,5380;0,4469;79,6700;0,6733
86,0260;0,4060;78,1500;0,7937
86,7300;0,3869;74,6800;1,0481
87,7180;0,3589;80,0800;0,6531
88,5480;0,3336;78,4000;0,8390
89,7140;0,2987;79,7600;0,7660
90,4860;0,2797;84,8200;0,5507
91,3300;0,2511;85,9600;0,4889
92,2840;0,2234;83,5300;0,5983
93,0260;0,2014;88,0600;0,4179
94,0420;0,1738;88,6700;0,4402
94,9480;0,1498;87,2400;0,4906
95,3920;0,1346;89,5200;0,4119
96,0940;0,1153;89,5000;0,3891
96,4380;0,1071;89,8400;0,3976
96,6860;0,1004;90,0000;0,3947
86,4600;0,3983;64,7400;1,3916
87,7060;0,3567;82,0800;0,5844
88,4320;0,3360;81,7200;0,6153
88,7880;0,3251;78,5100;0,8709
89,3880;0,3111;83,5800;0,5078
89,6520;0,2999;79,1600;0,7146
89,9480;0,2905;73,4000;1,1390
90,2700;0,2835;82,3900;0,5904
90,5000;0,2749;83,4800;0,5501
90,6860;0,2699;86,5500;0,4434
91,0560;0,2579;81,6200;0,6508
91,1800;0,2574;82,9300;0,5635
91,8640;0,2390;85,6100;0,4413
92,0240;0,2314;79,1400;0,7209
92,2920;0,2226;86,9600;0,4528
92,7600;0,2084;84,7100;0,4873
93,1260;0,2001;84,9800;0,5046
93,4380;0,1931;87,2600;0,4046
93,8480;0,1805;88,7600;0,3616
94,1100;0,1715;88,0200;0,4480
94,4780;0,1584;86,6600;0,4428
94,7560;0,1479;88,0500;0,4296
95,2780;0,1370;88,9000;0,3990
95,5340;0,1291;88,8900;0,3620
96,0880;0,1165;89,7400;0,3773
96,7720;0,0976;89,0900;0,4109
96,8600;0,0899;90,3000;0,3681
97,3700;0,0785;90,9300;0,3318
97,8420;0,0647;91,2200;0,3423
98,2920;0,0534;91,3500;0,3324
98,5060;0,0451;92,5700;0,3031
98,8500;0,0382;92,4200;0,2923
98,9360;0,0343;92,2900;0,3380
99,1600;0,0277;92,7900;0,2976
99,3940;0,0222;93,1600;0,3155
99,4200;0,0207;92,9200;0,3158
99,4760;0,0196;93,1100;0,2909
99,4920;0,0182;93,2100;0,2973
99,5560;0,0175;93,1100;0,3021
99,5800;0,0167;93,2500;0,2945
86,9880;0,3796;73,7500;0,8170
89,1520;0,3159;78,5600;0,7068
89,7680;0,2948;78,7400;0,7602
90,6940;0,2684;83,2500;0,5677
91,1220;0,2590;82,7100;0,5738
91,0140;0,2611;84,3000;0,5356
91,3360;0,2515;84,9600;0,4843
91,3680;0,2473;86,5300;0,4218
91,8200;0,2381;82,6800;0,5764
91,9580;0,2359;75,5100;0,8483
92,2760;0,2254;86,4700;0,4454
92,1280;0,2272;80,5400;0,7028
