train_accuracy;train_loss;valid_accuracy;valid_loss
36,5700;1,6764;42,9200;1,9550
55,8900;1,2110;42,6500;2,2446
65,2120;0,9764;43,1900;2,4060
69,7920;0,8449;42,7700;2,2998
73,9300;0,7401;58,6000;1,5832
77,3540;0,6525;64,0200;1,3139
80,5280;0,5605;68,6100;1,2077
82,9120;0,4914;75,9700;0,8094
84,7940;0,4400;72,3600;1,0374
86,2420;0,3980;74,5300;1,0067
76,5860;0,6705;57,4400;1,6624
80,0580;0,5778;65,0400;1,1989
81,5440;0,5320;71,3400;0,9689
83,0200;0,4921;71,6200;1,0113
84,4240;0,4514;72,0200;1,0773
85,3400;0,4281;78,9000;0,7259
86,2360;0,3999;80,5600;0,6804
87,4260;0,3666;81,1500;0,6497
88,4240;0,3398;82,3300;0,5702
89,1220;0,3160;81,1500;0,7027
90,0100;0,2897;74,7900;1,0710
90,9200;0,2614;83,5100;0,6059
91,9140;0,2359;84,4200;0,5797
92,7460;0,2114;85,4100;0,5494
93,7620;0,1845;84,8700;0,6243
94,3420;0,1646;86,9800;0,5247
94,9800;0,1454;89,0100;0,4317
95,7520;0,1272;89,0300;0,4178
96,1140;0,1170;89,0300;0,4066
96,3260;0,1099;89,5800;0,4051
85,4140;0,4236;62,9900;1,6023
87,0320;0,3735;80,8800;0,6069
87,9700;0,3490;77,6800;0,7386
88,1800;0,3418;78,0700;0,8235
88,7340;0,3254;73,2500;1,0523
88,9320;0,3197;79,5300;0,8022
89,5180;0,3054;76,8900;0,8696
89,7020;0,2991;78,0500;0,8449
89,7200;0,2958;83,6400;0,5565
90,4020;0,2791;81,2200;0,6215
90,4560;0,2748;78,8300;0,7210
90,8080;0,2665;80,4200;0,6867
91,2500;0,2556;87,1600;0,4370
91,4000;0,2475;86,9300;0,4439
92,0100;0,2304;86,2200;0,4567
92,3040;0,2254;84,5400;0,5463
92,3880;0,2211;85,1100;0,5278
92,9040;0,2039;87,7200;0,4154
93,3940;0,1942;86,1700;0,4629
93,7220;0,1819;88,4900;0,4046
94,1280;0,1720;87,7000;0,4349
94,5700;0,1586;89,7600;0,3619
94,8800;0,1464;86,6700;0,4991
95,4500;0,1303;88,4000;0,4054
95,8100;0,1236;89,8700;0,3444
96,4840;0,1046;90,3700;0,3585
96,7800;0,0958;88,9100;0,4045
97,0340;0,0884;91,2000;0,3240
97,7580;0,0694;91,7100;0,3057
97,9900;0,0617;92,0900;0,3030
98,1980;0,0538;91,5700;0,3736
98,5440;0,0457;91,8200;0,3220
98,8160;0,0387;92,4300;0,3228
98,8500;0,0348;92,2000;0,3163
99,1400;0,0288;92,5900;0,2879
99,2400;0,0248;92,6500;0,3063
99,3940;0,0220;92,6600;0,3092
99,4040;0,0215;92,8400;0,3266
99,4040;0,0210;92,9200;0,2927
99,5160;0,0192;92,8400;0,2906
86,9080;0,3779;77,0400;0,7936
88,7340;0,3261;80,3200;0,6717
89,8100;0,2944;83,2900;0,5602
90,3720;0,2812;79,6300;0,6597
90,6080;0,2758;79,7800;0,6940
90,9100;0,2625;79,8900;0,7319
91,0820;0,2552;82,2600;0,5845
91,1460;0,2578;84,5400;0,5057
91,2860;0,2539;85,6900;0,4569
91,5760;0,2462;74,1100;1,0696
91,5560;0,2447;83,2800;0,5582
91,6800;0,2393;86,2800;0,4423
92,2380;0,2269;86,9300;0,4316
92,1900;0,2248;84,5500;0,5239
92,1360;0,2264;87,0500;0,4586
92,1060;0,2301;86,1100;0,4568
92,5380;0,2173;86,2800;0,4450
92,0220;0,2325;84,8300;0,5425
92,6480;0,2095;85,2400;0,4698
93,0880;0,2011;81,6300;0,6235
92,9800;0,2051;85,7800;0,5242
93,0920;0,2001;85,0100;0,5530
93,0940;0,2018;84,3700;0,5187
93,2380;0,2002;81,5500;0,7388
93,5080;0,1896;86,5000;0,4579
93,5240;0,1880;84,3200;0,5260
94,1520;0,1730;86,8900;0,4913
93,5080;0,1876;69,8500;1,3455
93,6040;0,1865;87,3300;0,4578
94,0240;0,1735;87,2900;0,4419
93,9940;0,1709;85,4800;0,4988
94,6460;0,1548;87,0800;0,4213
94,4260;0,1619;82,7300;0,6944
94,8120;0,1509;83,9500;0,6211
94,8100;0,1526;88,2200;0,4173
95,1300;0,1428;89,8400;0,3628
95,3200;0,1385;86,8600;0,4768
95,4720;0,1306;86,4000;0,4798
95,4760;0,1298;88,4400;0,4133
95,6960;0,1249;88,2800;0,3981
95,8400;0,1191;89,3500;0,3794
96,0040;0,1150;89,3400;0,3833
96,3180;0,1094;89,0900;0,4016
96,4020;0,1038;87,8700;0,5020
96,7960;0,0977;86,5500;0,5491
96,6980;0,0972;87,6300;0,4641
96,9240;0,0894;87,4500;0,5514
97,0400;0,0870;88,3500;0,4411
97,2400;0,0795;90,9000;0,3525
97,6680;0,0703;90,2000;0,3867
97,9780;0,0600;90,0800;0,3949
97,8920;0,0609;91,3200;0,3673
98,1260;0,0554;91,2300;0,3464
98,3520;0,0517;90,4100;0,4649
98,5100;0,0452;89,4300;0,4660
98,7100;0,0392;89,2200;0,4861
98,9100;0,0345;90,9200;0,3959
98,9280;0,0332;91,3400;0,3741
99,1040;0,0294;91,6300;0,3583
99,3240;0,0245;90,6900;0,4337
99,1920;0,0257;91,2500;0,3679
99,3380;0,0225;91,4800;0,3734
99,5720;0,0162;91,3300;0,4044
99,6300;0,0142;92,0300;0,3886
99,6180;0,0135;91,4600;0,3995
99,7220;0,0114;91,5400;0,4081
99,7840;0,0099;91,5500;0,3774
99,7660;0,0094;92,0800;0,3963
99,8180;0,0085;91,7300;0,3853
99,8500;0,0077;91,8900;0,4168
99,8420;0,0073;91,7500;0,4074
99,8680;0,0067;92,1000;0,3693
99,8560;0,0067;91,6800;0,3899
99,8860;0,0064;92,3100;0,3421
99,8740;0,0063;91,8700;0,3906
99,9060;0,0058;92,3400;0,3790
99,8720;0,0062;92,4900;0,3431
99,8840;0,0062;92,2500;0,3853
99,8780;0,0062;92,1500;0,4019
99,8860;0,0061;92,3400;0,3637
