train_accuracy;train_loss;valid_accuracy;valid_loss
35,0300;1,8207;34,3600;1,9453
51,4560;1,4772;34,8200;2,8691
60,7940;1,3093;44,7000;1,7206
66,2020;1,1813;57,1800;1,4025
68,8220;1,1219;50,4500;1,4835
72,7400;1,0601;63,3700;1,1226
75,1900;0,9795;74,0800;0,7641
78,6740;0,8898;72,3800;0,8821
80,4040;0,8461;70,9900;0,9364
81,4360;0,8468;78,4400;0,6674
73,9560;0,9512;72,5500;0,8560
76,7560;0,9256;62,5900;1,1212
79,0880;0,9053;68,9100;0,9537
80,0080;0,8430;67,8100;1,0432
80,5380;0,8738;67,0900;1,1141
80,7580;0,8543;72,2700;0,9166
81,5620;0,7898;65,4300;1,2389
84,3800;0,6996;74,9200;0,7479
83,6860;0,7366;85,0700;0,4753
85,6060;0,6458;84,5600;0,4766
86,0500;0,6577;83,5100;0,4932
86,8980;0,6737;85,9000;0,4327
86,6400;0,6351;84,5700;0,4843
88,4560;0,5510;87,9800;0,3784
90,4560;0,5524;86,7000;0,4441
90,7040;0,5580;85,0500;0,4858
90,6360;0,5321;89,5300;0,3293
91,8020;0,5298;89,3000;0,3351
92,7960;0,4132;90,1100;0,3053
93,7300;0,4631;89,5400;0,3309
83,3360;0,7494;57,0000;1,8337
83,8940;0,7104;81,9500;0,5687
84,5420;0,7120;69,6300;0,9614
84,2120;0,7131;74,6200;0,8672
84,4420;0,7457;83,1700;0,5519
85,9920;0,6536;70,5800;0,9611
86,6480;0,6461;80,8000;0,6026
86,8560;0,6365;86,3700;0,4165
87,2900;0,6766;79,2100;0,7230
86,8800;0,6351;81,9700;0,5267
87,3580;0,5926;84,8400;0,4888
86,1140;0,6695;85,4700;0,4559
88,3200;0,6104;87,3200;0,3882
86,2860;0,6620;82,3400;0,5588
88,2300;0,6119;82,5800;0,5783
88,5000;0,5831;88,2100;0,3730
89,2740;0,5746;86,0100;0,4535
88,7660;0,6058;83,7900;0,4910
88,9880;0,5650;80,5400;0,5748
89,1520;0,6101;88,4000;0,3763
89,9540;0,6192;85,3500;0,4769
91,2340;0,5286;90,2700;0,3317
92,6400;0,4872;91,0700;0,2836
88,0980;0,6143;87,4700;0,4112
89,7020;0,5988;91,4000;0,2875
91,3520;0,5349;92,1200;0,2599
92,4340;0,5181;90,3600;0,3023
91,4020;0,5257;91,8900;0,2758
93,6400;0,4712;92,4100;0,2583
92,0000;0,5685;92,9600;0,2303
94,0800;0,4617;93,0100;0,2400
93,4980;0,5191;92,8400;0,2415
94,4800;0,4265;94,1400;0,2009
95,4260;0,4320;93,6500;0,2310
93,3100;0,4607;94,0800;0,2259
94,7680;0,3986;93,9000;0,2090
94,1620;0,4709;94,0800;0,2113
96,4420;0,3929;94,1800;0,2000
94,9740;0,4234;94,3900;0,1866
92,8480;0,5207;94,6200;0,2279
84,3440;0,7015;82,6900;0,5219
85,0160;0,6930;82,6500;0,5245
86,5520;0,6547;87,2300;0,4036
86,9900;0,6082;82,8600;0,5408
86,3820;0,6579;82,0600;0,5726
87,7220;0,5941;85,5900;0,4559
86,1120;0,6575;84,9200;0,4967
87,8020;0,6311;82,5000;0,5311
87,7140;0,6294;87,6700;0,3721
88,0320;0,5898;84,8200;0,4660
87,9840;0,6542;78,6400;0,6562
88,2400;0,6123;86,7000;0,4293
87,7740;0,5739;87,2100;0,3962
88,5160;0,6194;86,8100;0,4227
89,0080;0,6000;84,6200;0,4628
87,1660;0,6560;83,5500;0,5451
88,8800;0,6043;81,1600;0,6015
89,2480;0,5885;86,7600;0,4244
90,4500;0,5861;84,3000;0,5105
87,6280;0,6230;87,5100;0,4038
90,1000;0,5633;87,4700;0,4241
89,6420;0,5700;84,0900;0,5167
89,3120;0,5528;87,9600;0,3852
90,0420;0,5780;89,7300;0,3468
88,1840;0,6540;87,8300;0,3873
90,3820;0,5179;89,2700;0,3247
91,7000;0,4679;88,4000;0,3796
89,8540;0,5492;89,7000;0,3461
90,3880;0,5445;88,1000;0,3775
89,6780;0,6079;90,0000;0,3663
89,5360;0,6151;88,4200;0,3544
89,3800;0,6079;88,8700;0,3719
89,7680;0,6502;87,4600;0,4274
90,9660;0,5402;88,5500;0,3659
89,0480;0,6501;88,3700;0,3920
90,7600;0,5524;87,7200;0,4343
