train_accuracy;train_loss;valid_accuracy;valid_loss
22,4080;2,1466;31,7800;1,9119
26,2260;2,0956;37,2800;1,8838
34,7600;1,9522;41,1900;1,9926
40,2440;1,8747;53,6900;1,5608
42,9580;1,8253;45,2400;1,8540
45,7940;1,7767;54,3100;1,5309
49,9420;1,7021;57,0700;1,4658
51,8620;1,6702;64,0000;1,3734
54,0660;1,6146;65,7300;1,3025
56,1720;1,5746;67,8200;1,3212
60,0180;1,5186;76,9900;1,0610
60,6520;1,4844;78,7100;1,0168
61,3640;1,4806;80,5000;0,9801
51,7520;1,6681;66,2000;1,4210
53,3380;1,6437;59,1200;1,5397
56,2940;1,6046;67,2800;1,3363
58,7160;1,5303;67,5300;1,2391
60,9000;1,4974;70,7200;1,2801
58,4280;1,5449;75,5800;1,0727
62,1980;1,4665;78,6000;1,0172
62,6340;1,4497;80,8600;0,9664
60,3160;1,5153;80,0200;1,0130
65,2700;1,4037;83,3500;0,9339
65,2940;1,3837;79,6200;0,9867
63,1620;1,4447;83,2000;0,9041
64,1100;1,4493;84,6300;0,8879
65,9380;1,3961;85,6700;0,8723
67,9140;1,3517;88,0900;0,7958
65,3940;1,3960;86,4000;0,8304
66,4840;1,4136;87,5300;0,7980
69,2960;1,3487;86,2500;0,8830
68,9460;1,3589;87,9400;0,7954
70,5460;1,2869;88,8300;0,7804
67,9680;1,3736;89,1800;0,7745
69,9520;1,3160;89,6100;0,7663
69,7740;1,2959;89,4300;0,7861
72,7500;1,2411;89,3100;0,7839
64,3960;1,4095;78,2400;1,0694
64,7120;1,3931;82,3800;0,9595
66,0820;1,4093;79,4400;1,0550
67,9760;1,3585;83,2300;0,9145
66,2160;1,3862;84,4700;0,8751
66,7380;1,3677;84,5100;0,8826
66,4180;1,3772;86,7100;0,8295
67,4080;1,3623;88,0200;0,8588
69,5640;1,2831;83,7000;0,9043
69,3580;1,3253;85,0400;0,8830
68,2440;1,3368;87,7400;0,8077
69,4480;1,2966;86,1700;0,8563
69,0920;1,3399;88,0900;0,8508
68,0820;1,3573;85,7100;0,8717
69,9180;1,3251;88,7200;0,7988
71,0620;1,2939;87,4100;0,8035
69,8520;1,3191;87,4600;0,8360
72,7120;1,2353;89,1100;0,7979
69,6620;1,3035;89,4400;0,7651
71,1620;1,2967;90,2900;0,8265
74,4360;1,2117;90,3800;0,7447
71,2440;1,2791;89,7600;0,7623
71,7080;1,2787;89,0600;0,8326
70,6540;1,3100;91,2700;0,7255
71,0820;1,3003;91,8800;0,7019
72,9600;1,2260;91,3400;0,7487
72,5160;1,2843;91,5800;0,7162
73,4180;1,2239;92,1200;0,7296
74,0700;1,2329;91,9100;0,7273
71,8800;1,2529;92,8800;0,6818
74,4760;1,2511;93,0800;0,7378
76,5440;1,1583;93,0900;0,8007
77,0280;1,1622;92,6200;0,6998
76,6300;1,1481;93,2700;0,6785
75,2300;1,2027;93,7600;0,6736
75,6360;1,2039;93,3200;0,6927
77,1180;1,1875;93,5700;0,6670
75,8720;1,1802;94,0300;0,6626
74,6600;1,2419;93,9200;0,6557
76,4720;1,1653;93,9900;0,6614
74,5980;1,2411;94,0300;0,6616
76,7780;1,1330;94,3400;0,6539
76,3980;1,1802;94,2900;0,6594
76,3280;1,1843;94,2700;0,6523
78,1420;1,1555;94,4600;0,6530
77,2860;1,1542;94,3600;0,6602
77,4220;1,1723;94,4400;0,6498
78,8320;1,0801;94,3500;0,6597
71,6320;1,2817;89,5100;0,7982
72,2140;1,2597;88,4800;0,8854
71,7180;1,2737;89,9300;0,7491
71,6840;1,2726;89,7400;0,7520
72,7280;1,2379;90,8200;0,7510
73,2020;1,2433;90,0600;0,7528
71,8600;1,2739;91,6000;0,7400
72,8540;1,2498;90,1700;0,7475
73,9100;1,2028;91,3800;0,7284
73,9200;1,2343;91,5600;0,7232
72,1500;1,2512;90,7800;0,7542
73,8880;1,2338;91,8700;0,7191
74,2280;1,2204;89,1600;0,8076
73,9420;1,2226;91,3500;0,7413
74,8720;1,2035;92,5600;0,7051
73,1380;1,2430;91,0300;0,7472
73,4740;1,2229;91,9100;0,7718
74,6860;1,2063;91,6200;0,7203
73,9020;1,2203;92,9200;0,6760
73,1620;1,2455;92,7900;0,6924
75,6440;1,2088;91,4000;0,8214
75,2840;1,1992;92,8300;0,6899
75,0440;1,2137;92,7300;0,6838
72,8180;1,2563;92,3800;0,6987
76,9360;1,1607;92,8800;0,6840
77,9640;1,1572;93,3400;0,6675
75,9260;1,1811;93,4100;0,7020
76,2040;1,1779;91,5100;0,7365
75,4820;1,1938;93,6100;0,6812
76,8540;1,1463;92,3400;0,7176
76,7600;1,1598;92,0800;0,7285
75,9860;1,1829;91,8100;0,7041
75,5800;1,2040;93,5100;0,6681
76,2720;1,1474;92,8900;0,7075
79,9580;1,0803;94,0300;0,6548
76,6780;1,1859;94,1800;0,6512
76,1120;1,1795;93,1600;0,6704
77,8780;1,1609;93,7400;0,6699
75,1500;1,2132;94,2800;0,6632
78,3320;1,1340;94,2300;0,6599
79,8280;1,0864;93,4700;0,6696
77,2460;1,1550;94,5600;0,6391
79,1960;1,1023;92,2600;0,7087
77,9280;1,1554;93,2000;0,7046
78,4120;1,1277;94,5100;0,6494
79,5060;1,1186;94,3900;0,6721
78,2660;1,1458;94,1600;0,6465
76,9800;1,1434;94,6800;0,6371
76,0280;1,2145;94,5400;0,6433
79,0960;1,1328;94,6200;0,6553
76,7800;1,1524;94,9700;0,6491
80,5620;1,0904;95,0900;0,6374
79,5700;1,1192;95,2800;0,6406
77,1780;1,1767;95,0700;0,6410
80,5580;1,1057;94,2500;0,6753
79,8340;1,1071;94,7900;0,6428
78,7540;1,1321;94,8200;0,6457
80,6220;1,0952;95,1000;0,6474
78,4060;1,1177;95,3000;0,6221
81,0880;1,0998;95,4200;0,6270
81,9360;1,0425;95,6500;0,6144
81,4780;1,0816;95,6000;0,6144
81,1180;1,0656;95,3100;0,6220
80,6640;1,0963;95,6600;0,6229
80,6420;1,0741;95,6500;0,6134
81,7840;1,0407;95,3500;0,6403
79,5660;1,1099;95,6200;0,6183
78,2340;1,1115;95,7500;0,6175
79,4140;1,1294;95,7300;0,6223
81,7240;1,0713;95,8900;0,6130
81,5400;1,0747;95,8700;0,6229
78,3220;1,1525;95,8400;0,6135
78,0540;1,1316;96,0500;0,6086
82,4660;1,0617;95,9600;0,6105
81,6600;1,0677;95,5900;0,6157
80,5780;1,0822;95,6900;0,6285
80,9700;1,0768;95,7500;0,6266
82,7920;1,0470;96,1300;0,6023
83,2720;1,0347;96,0800;0,6017
80,8640;1,0936;96,0200;0,6094
81,5640;1,0386;96,0700;0,6065
79,1540;1,1425;95,9500;0,6037
85,1100;0,9880;96,1000;0,6031
83,6940;1,0093;96,1700;0,6080
82,7220;1,0314;96,1900;0,5986
82,6760;1,0637;96,1700;0,5988
78,5820;1,1246;96,0500;0,6099
80,8060;1,0882;96,1800;0,6109
81,1880;1,0991;96,1800;0,6147
82,0860;1,0779;96,1600;0,6083
81,7200;1,0800;95,9600;0,6089
81,8940;1,0791;96,1700;0,6137
81,7800;1,0782;96,0700;0,6028
83,4860;1,0204;96,0700;0,5990
83,7200;1,0235;96,0900;0,6061
80,7440;1,1146;96,1900;0,5983
77,1340;1,1516;92,8200;0,6871
77,1600;1,1776;93,7200;0,6689
76,4180;1,1766;93,2200;0,6757
75,2040;1,1943;92,2100;0,7123
76,0800;1,2006;92,7000;0,6859
76,6280;1,1828;93,3200;0,6998
75,4620;1,2048;92,7000;0,6857
75,9400;1,1768;94,4500;0,6578
