train_accuracy;train_loss;valid_accuracy;valid_loss
23,3120;2,0533;34,0300;1,8654
29,6700;1,9117;38,9400;1,8610
40,4900;1,6429;45,5500;1,8840
47,8200;1,4595;46,9900;1,8983
53,0240;1,3104;52,2900;1,7512
57,0640;1,2078;65,2000;1,2623
60,9900;1,0999;57,9100;1,7400
63,8340;1,0202;68,9400;1,1337
66,3000;0,9496;75,3600;0,8715
68,4620;0,8953;73,9700;0,9478
69,2560;0,8709;76,5100;0,8322
60,8620;1,1033;67,4500;1,3352
64,1260;1,0195;64,2000;1,5322
65,8360;0,9708;75,8900;0,8157
67,2360;0,9226;73,2200;1,1447
68,5940;0,8880;73,1500;1,0507
69,8620;0,8538;77,7000;0,8314
71,4820;0,8080;82,0800;0,6055
72,6560;0,7779;80,5100;0,7505
73,4000;0,7519;82,1700;0,6634
74,4040;0,7280;81,6600;0,6974
75,1100;0,7056;78,6600;0,8559
76,1200;0,6761;81,9600;0,6498
77,0480;0,6502;84,6500;0,5507
77,8440;0,6327;86,0200;0,5129
78,4400;0,6155;87,2400;0,4446
78,7940;0,6008;87,3400;0,4660
79,7400;0,5777;86,5800;0,4763
80,2440;0,5608;87,3500;0,4377
80,4060;0,5575;86,9800;0,4672
80,6260;0,5512;87,0900;0,4578
73,5020;0,7529;80,7500;0,7061
74,0500;0,7395;74,7800;1,0785
75,1640;0,7054;78,3200;0,8059
75,4140;0,6991;82,3300;0,6961
75,4860;0,6960;84,1900;0,6218
76,4800;0,6686;85,5800;0,5347
76,7700;0,6560;86,1900;0,5014
77,0640;0,6444;80,1800;0,8106
77,6400;0,6312;84,6000;0,5664
78,5100;0,6109;85,9500;0,5407
78,9240;0,5984;87,9600;0,4772
79,2460;0,5857;86,5500;0,5143
79,2980;0,5877;86,4900;0,5220
80,1220;0,5610;86,2300;0,5248
80,0540;0,5671;89,7200;0,4093
80,9220;0,5437;87,0800;0,5120
81,4080;0,5286;89,5200;0,3925
81,5240;0,5230;88,2500;0,4904
81,9500;0,5123;84,9700;0,6510
82,1320;0,5034;90,5200;0,3550
82,3960;0,4976;89,3800;0,3973
82,7800;0,4844;89,5800;0,4015
83,3220;0,4717;89,9900;0,3835
83,6140;0,4623;90,2300;0,3870
83,7920;0,4524;91,3300;0,3301
84,1840;0,4450;91,0500;0,3732
84,3820;0,4396;91,5900;0,3277
84,8420;0,4287;91,7400;0,3224
85,1280;0,4186;92,0200;0,3143
85,6360;0,4069;91,9500;0,3523
85,8460;0,4004;91,7100;0,3465
85,9700;0,4020;91,3300;0,3663
86,1720;0,3889;91,7000;0,3504
86,2480;0,3846;92,2500;0,3299
86,4360;0,3817;92,2200;0,3194
86,6120;0,3807;92,1700;0,3345
86,8960;0,3722;92,2000;0,3300
86,7900;0,3741;92,1200;0,3335
86,7300;0,3716;92,2800;0,3213
86,8080;0,3736;92,3100;0,3227
81,0280;0,5396;87,0600;0,4854
81,0780;0,5338;88,9700;0,4411
81,3140;0,5322;89,5400;0,4018
81,6440;0,5186;89,8100;0,3926
81,8920;0,5189;88,8800;0,4359
82,1380;0,5071;89,4800;0,3829
81,8480;0,5106;87,5400;0,5296
82,4140;0,4997;89,0800;0,4140
82,3580;0,4987;89,4500;0,4198
83,0320;0,4826;89,0100;0,4561
82,7540;0,4846;89,6200;0,4040
82,9320;0,4820;90,9000;0,3402
83,2060;0,4715;87,3300;0,5282
83,4500;0,4663;89,5200;0,4414
83,5960;0,4629;89,6300;0,4270
83,7320;0,4567;89,8700;0,4366
83,8860;0,4521;87,9900;0,5755
84,2040;0,4463;89,3500;0,4914
84,3120;0,4414;88,7900;0,5225
84,6420;0,4342;91,2200;0,3754
84,6380;0,4324;90,7100;0,3952
84,8360;0,4280;91,1600;0,4087
85,2920;0,4161;91,7100;0,3319
85,2360;0,4199;91,0400;0,4071
85,3600;0,4112;90,2800;0,4224
85,6020;0,4046;91,5900;0,3459
86,0700;0,3962;92,7000;0,2972
86,0240;0,3964;91,8100;0,3299
86,1840;0,3948;91,0400;0,3957
86,4180;0,3889;92,9800;0,3156
86,4160;0,3855;92,4500;0,3285
86,5200;0,3809;91,5500;0,3658
86,6680;0,3748;92,2600;0,3275
87,0820;0,3663;93,5200;0,2899
86,9560;0,3673;92,7000;0,3484
87,1000;0,3659;92,3700;0,3433
87,2220;0,3596;92,3000;0,3383
87,3240;0,3546;93,3200;0,3065
87,3820;0,3509;93,1900;0,3031
87,8580;0,3477;92,8700;0,3041
87,8700;0,3444;92,7700;0,3226
88,0820;0,3380;93,6900;0,2992
88,1060;0,3386;93,1000;0,3064
88,5020;0,3295;93,0800;0,3142
88,4080;0,3312;92,4200;0,3594
88,5240;0,3251;92,3200;0,3433
88,9820;0,3167;93,7200;0,2762
88,7300;0,3209;93,9800;0,2705
89,0060;0,3159;93,6300;0,2845
88,9500;0,3132;93,7500;0,2959
89,0660;0,3081;93,3400;0,3273
89,2000;0,3063;92,7200;0,3590
89,2960;0,3042;94,3500;0,2664
89,3260;0,3001;93,3900;0,3150
89,4020;0,3004;93,9800;0,2852
89,8760;0,2877;93,5800;0,2939
89,9180;0,2883;93,5600;0,3232
89,9640;0,2884;93,8600;0,2906
89,8640;0,2892;93,4800;0,3020
90,1040;0,2834;93,7800;0,3020
90,0240;0,2811;94,2800;0,2605
90,3460;0,2724;94,1100;0,2725
90,3120;0,2775;93,9200;0,2801
90,3820;0,2736;94,4000;0,2497
90,5380;0,2691;94,3700;0,2482
90,5720;0,2718;94,4200;0,2683
90,2640;0,2781;94,4900;0,2669
90,4620;0,2680;94,3700;0,2668
90,9280;0,2588;94,5600;0,2591
90,7680;0,2623;94,6600;0,2474
90,7080;0,2628;94,5600;0,2635
90,6820;0,2648;94,7200;0,2604
90,6420;0,2622;94,6400;0,2564
90,7680;0,2590;94,4700;0,2673
90,9000;0,2583;94,5600;0,2578
90,8280;0,2579;94,5400;0,2587
90,6840;0,2619;94,5400;0,2561
90,9840;0,2575;94,6400;0,2540
91,0520;0,2561;94,6600;0,2575
91,0420;0,2566;94,5000;0,2626
86,6980;0,3770;91,2600;0,4271
86,1760;0,3865;92,1400;0,3584
86,1680;0,3950;91,9900;0,3380
86,3480;0,3874;92,4800;0,3119
86,3700;0,3878;92,4000;0,3251
86,6640;0,3778;91,6100;0,3770
86,5880;0,3809;90,1600;0,4673
86,6580;0,3749;89,8700;0,5234
86,6740;0,3789;92,7100;0,3272
87,0000;0,3695;89,8300;0,5083
86,7280;0,3727;92,5400;0,3675
87,0700;0,3620;92,5200;0,3400
87,2680;0,3612;92,0700;0,3603
87,3540;0,3584;92,0800;0,3713
87,3880;0,3572;92,4800;0,3587
87,5120;0,3535;92,1800;0,3656
87,5380;0,3537;93,0500;0,2992
