train_accuracy;train_loss;valid_accuracy;valid_loss
23,1520;2,2388;39,8300;1,8821
34,5167;2,1283;50,7000;1,7216
43,6553;2,0499;53,4900;1,8346
47,6240;2,0142;62,6300;1,6047
52,1140;1,9779;69,0100;1,5495
55,2560;1,9352;66,4200;1,6231
58,4973;1,9029;72,8200;1,4863
60,8753;1,8633;75,7800;1,3809
62,0313;1,8597;78,8300;1,3618
65,9193;1,8027;81,5200;1,3396
65,2087;1,8245;82,8900;1,2545
65,5413;1,8022;83,5900;1,2351
58,3953;1,8998;74,5400;1,3656
60,8313;1,8670;21,2900;2,2242
59,1633;1,9042;71,2300;1,4062
64,3233;1,8357;75,0500;1,3842
63,3453;1,8422;78,9600;1,4371
65,9053;1,8137;82,2800;1,3447
65,9507;1,8074;81,8500;1,2602
65,3327;1,8086;85,7200;1,3120
68,2420;1,7641;82,9900;1,1114
68,9800;1,7674;86,4600;1,1296
68,9647;1,7504;84,9300;1,2340
68,0533;1,7731;88,1200;1,1119
70,3020;1,7272;86,5800;1,0950
71,9660;1,7050;89,0700;1,1420
70,3347;1,7325;88,8400;1,1756
72,0613;1,6939;90,2000;1,0980
74,7093;1,6531;89,7600;1,1373
73,3033;1,6818;90,5700;1,0683
73,5647;1,6805;90,9800;1,1309
75,3060;1,6507;91,3100;0,9732
76,1513;1,6268;91,8500;1,0597
73,7813;1,6696;91,7800;1,0794
77,1293;1,6287;92,0900;1,1223
76,7813;1,6299;92,2000;1,0183
70,6293;1,7402;81,3400;1,3753
70,3653;1,7314;86,3100;1,2280
71,8313;1,7010;82,9500;1,1927
72,6547;1,7131;85,9800;1,0545
70,7613;1,7146;86,5100;1,3393
74,5960;1,6790;87,6500;1,2986
71,8487;1,7394;85,8300;1,1902
70,7733;1,7239;88,8500;1,0655
74,7360;1,6445;90,2100;0,9807
73,1820;1,6817;89,1900;1,1656
75,4180;1,6481;87,4000;1,0923
76,1520;1,6361;89,8600;1,1113
74,8807;1,6662;89,7000;1,2722
73,6173;1,6948;90,3200;1,0518
75,8093;1,6366;90,2100;1,1149
74,5307;1,6620;91,0200;1,2022
75,5860;1,6154;89,4900;1,0233
