train_accuracy;train_loss;valid_accuracy;valid_loss
39,6400;1,6313;53,7900;1,3793
56,6275;1,2064;53,5400;1,4943
63,4175;1,0271;64,1000;1,2204
68,2575;0,9053;64,1100;1,2207
71,6650;0,8106;64,6400;1,2275
73,8250;0,7434;71,5400;1,0030
75,6175;0,6970;74,0400;0,9027
77,2300;0,6571;77,6300;0,7694
78,3300;0,6274;76,7400;0,8146
79,3175;0,6004;76,4000;0,7890
80,2825;0,5735;80,2300;0,6806
81,0650;0,5475;79,5000;0,6841
81,6000;0,5294;79,3600;0,7216
82,2100;0,5065;80,8700;0,6492
83,1150;0,4930;83,3000;0,5595
83,8000;0,4714;83,0300;0,5385
84,2275;0,4591;84,3000;0,5187
84,6650;0,4504;80,1100;0,6995
85,0425;0,4358;83,6100;0,5520
85,2600;0,4281;85,8700;0,4714
85,8800;0,4130;84,5700;0,5039
86,0900;0,4065;86,1800;0,4494
86,4225;0,3957;85,8200;0,4960
86,4400;0,3891;86,3400;0,4460
86,9075;0,3819;87,7900;0,3858
87,0525;0,3745;88,6100;0,3851
87,1875;0,3745;87,3900;0,4103
87,5925;0,3612;87,4100;0,4240
87,6475;0,3569;87,5800;0,3902
87,9125;0,3507;86,6200;0,4513
88,1350;0,3456;87,3600;0,4074
88,4200;0,3389;88,0900;0,3908
88,1900;0,3386;86,9500;0,4228
88,5725;0,3350;88,4600;0,3658
88,5600;0,3306;88,6200;0,3506
88,6800;0,3266;89,2800;0,3299
88,4275;0,3296;86,2700;0,4322
88,8850;0,3244;90,0200;0,3194
89,1450;0,3173;88,6300;0,3597
89,1425;0,3141;89,1700;0,3675
89,2000;0,3118;88,9800;0,3438
89,6450;0,3023;89,2800;0,3362
89,4525;0,3070;87,6900;0,4091
89,5250;0,3026;88,8100;0,3580
89,9450;0,2934;87,5600;0,4126
89,7625;0,2985;89,4000;0,3388
89,8825;0,2955;88,2500;0,3754
90,0800;0,2876;87,7700;0,4126
89,9600;0,2922;89,0600;0,3381
90,2800;0,2849;88,2300;0,3945
90,1600;0,2860;89,5700;0,3413
90,3075;0,2836;90,3700;0,3221
90,3825;0,2789;87,2100;0,4285
90,4625;0,2806;87,6300;0,3955
90,2200;0,2800;89,7900;0,3299
90,7500;0,2723;89,7100;0,3333
90,5875;0,2736;90,1500;0,3109
90,5550;0,2714;87,6600;0,4150
91,0325;0,2650;85,8500;0,4753
91,0750;0,2671;89,6200;0,3381
90,8350;0,2692;87,6200;0,4032
90,7975;0,2666;89,6000;0,3349
91,1975;0,2570;88,1500;0,3804
90,9200;0,2627;88,2100;0,3973
91,3625;0,2543;89,0600;0,3741
91,0675;0,2600;88,1700;0,3810
91,4400;0,2523;89,7200;0,3314
91,2100;0,2524;89,7300;0,3266
91,2300;0,2561;88,6300;0,3673
91,3525;0,2519;89,8900;0,3243
91,4125;0,2503;89,1300;0,3629
91,3825;0,2513;88,4300;0,3745
91,5000;0,2503;89,7400;0,3465
91,4000;0,2491;86,7500;0,4377
91,3450;0,2512;88,9100;0,3557
91,6600;0,2460;89,3400;0,3570
91,5875;0,2483;90,7300;0,2885
91,6300;0,2429;88,8200;0,3629
91,5775;0,2492;90,1900;0,3157
91,9125;0,2408;89,3600;0,3491
91,9325;0,2397;90,3500;0,3116
91,5625;0,2432;88,6700;0,3708
91,4950;0,2454;89,8800;0,3253
91,8175;0,2390;90,1500;0,3120
91,8750;0,2363;90,1200;0,3215
96,3650;0,1111;94,1600;0,2047
97,3250;0,0834;94,0400;0,2092
97,7425;0,0723;94,1600;0,2048
97,9775;0,0635;93,7300;0,2200
98,3300;0,0568;94,3600;0,2135
98,2050;0,0561;94,0300;0,2205
98,3900;0,0522;94,1700;0,2192
98,5550;0,0475;93,7000;0,2318
98,4550;0,0494;94,0000;0,2270
98,5550;0,0473;93,5800;0,2475
98,9450;0,0368;94,1200;0,2283
99,0925;0,0326;94,3200;0,2183
99,1625;0,0304;94,1900;0,2201
99,2000;0,0288;94,3500;0,2172
99,2300;0,0270;94,5500;0,2173
