train_accuracy;train_loss;valid_accuracy;valid_loss
25,4160;2,0028;26,7500;2,6648
37,4720;1,7171;43,8600;1,6859
45,3580;1,5108;52,1700;1,4026
51,4440;1,3548;59,1600;1,2996
55,5220;1,2485;60,1700;1,2231
59,3340;1,1448;66,5200;1,1114
62,5200;1,0559;66,1600;1,0896
65,0260;0,9811;74,3100;0,8080
67,4500;0,9204;71,9500;0,8884
68,9400;0,8796;75,2000;0,7748
59,8620;1,1323;65,3600;1,3013
62,8260;1,0482;68,8400;1,0119
65,3240;0,9856;74,3400;0,7919
66,5140;0,9474;72,6400;0,9380
68,3060;0,8981;72,0400;0,9065
69,4420;0,8671;78,1900;0,7166
70,9380;0,8235;78,1800;0,7293
71,7640;0,7996;79,7200;0,6553
73,1800;0,7602;78,6800;0,7098
73,6800;0,7415;81,4600;0,6174
74,9920;0,7101;83,1200;0,5464
75,8700;0,6837;85,2000;0,4891
76,9260;0,6558;83,5100;0,5856
77,7080;0,6303;86,2700;0,4275
78,2820;0,6134;87,3700;0,4131
79,0240;0,5965;88,4100;0,3767
79,8520;0,5738;87,9300;0,3736
80,2400;0,5617;88,6100;0,3573
80,9340;0,5439;88,7100;0,3596
81,0460;0,5403;88,6200;0,3698
72,7640;0,7706;73,4700;0,9587
73,4540;0,7536;84,9600;0,5005
74,0980;0,7362;77,0900;0,8502
74,6680;0,7135;84,8300;0,5419
75,4780;0,6935;81,2200;0,6107
76,2500;0,6754;82,7000;0,6527
76,3640;0,6679;84,1500;0,5131
77,2480;0,6409;85,0500;0,5234
77,4060;0,6388;82,7700;0,6124
78,1620;0,6180;83,1500;0,6022
78,5880;0,6063;87,1400;0,4401
78,6800;0,6008;85,9100;0,4982
79,2080;0,5849;86,1000;0,4473
79,5520;0,5784;87,2200;0,4276
79,8100;0,5682;87,5500;0,4083
80,5040;0,5506;89,2800;0,3884
80,9700;0,5377;89,0600;0,3997
81,1840;0,5306;87,7200;0,4491
81,7240;0,5161;86,9500;0,4653
82,2640;0,5074;86,5500;0,5088
82,8320;0,4910;88,1100;0,4660
82,7300;0,4887;90,1100;0,3829
83,2220;0,4746;90,2900;0,3557
83,3900;0,4632;89,5100;0,4075
84,2220;0,4498;90,2000;0,3699
84,4300;0,4433;91,8000;0,2981
84,9800;0,4292;92,1700;0,2795
85,1920;0,4217;91,5800;0,3000
85,4220;0,4119;91,4100;0,3342
85,8260;0,4039;93,0400;0,2480
86,0760;0,3937;92,4800;0,2758
86,4720;0,3830;92,6800;0,2660
86,8600;0,3758;93,5200;0,2489
86,8440;0,3713;93,1100;0,2545
86,7640;0,3696;92,9200;0,2540
87,0720;0,3670;93,4100;0,2528
87,4800;0,3611;93,4000;0,2477
87,6440;0,3519;93,3300;0,2449
87,6760;0,3500;93,3400;0,2420
87,7880;0,3505;93,3300;0,2469
80,1080;0,5657;85,1000;0,6108
80,1300;0,5642;89,0700;0,3765
80,7620;0,5443;89,4700;0,3625
80,4860;0,5522;82,3100;0,7103
80,7880;0,5382;88,4100;0,4396
81,3200;0,5289;88,0300;0,4415
81,3440;0,5313;88,5400;0,4206
81,2900;0,5289;86,6500;0,5261
81,8280;0,5103;88,9200;0,4237
82,0760;0,5048;89,9200;0,3351
81,9560;0,5090;90,6000;0,3499
82,1040;0,5046;87,8600;0,4638
82,4940;0,4942;90,8300;0,3263
82,8200;0,4878;88,7800;0,4385
82,7260;0,4864;90,9300;0,3183
83,1340;0,4795;90,2100;0,3803
83,2420;0,4743;92,3700;0,2991
83,5160;0,4699;91,1300;0,3247
83,7940;0,4611;90,6100;0,3623
83,8160;0,4524;91,6400;0,2934
83,9680;0,4548;92,0000;0,2777
84,3140;0,4500;91,0500;0,3088
84,3580;0,4437;91,1200;0,3277
84,4380;0,4409;88,2300;0,4541
84,6680;0,4386;90,2000;0,3771
84,8100;0,4270;89,5800;0,4235
84,8440;0,4320;91,9700;0,3061
85,3820;0,4177;92,4500;0,2777
85,4160;0,4105;93,2600;0,2665
85,5680;0,4123;92,4800;0,2697
85,9180;0,4023;92,8200;0,2959
85,8820;0,3983;93,4700;0,2450
86,2380;0,3918;92,5900;0,2958
86,1580;0,3923;92,5900;0,2664
86,5240;0,3833;92,8400;0,2834
86,1900;0,3882;92,1400;0,3111
86,2660;0,3837;93,1600;0,2675
86,5980;0,3813;92,4200;0,2949
87,0900;0,3666;92,2400;0,3004
87,4240;0,3618;92,4700;0,3003
87,3300;0,3570;92,3200;0,3138
87,4920;0,3551;92,9000;0,2883
87,8680;0,3470;93,7500;0,2337
87,9200;0,3441;93,8800;0,2402
87,8980;0,3423;94,0700;0,2253
88,1940;0,3320;94,2800;0,2471
88,6400;0,3248;93,9200;0,2640
88,5220;0,3229;93,7100;0,2582
88,8500;0,3182;94,6100;0,2190
88,8240;0,3168;94,5400;0,2107
88,7760;0,3130;94,6600;0,2066
89,0280;0,3145;94,6800;0,1990
89,3940;0,2996;95,0200;0,1967
89,3500;0,3033;94,7900;0,2119
89,7780;0,2922;94,7700;0,2125
89,8980;0,2897;95,4400;0,1901
90,2400;0,2808;94,9400;0,2027
90,1760;0,2810;95,0400;0,2046
90,2700;0,2773;94,8100;0,2152
90,4920;0,2720;95,1100;0,2081
90,2840;0,2749;95,0400;0,1998
90,5840;0,2654;95,1800;0,1980
90,9780;0,2596;95,4700;0,1846
90,9080;0,2584;95,4200;0,1883
91,2300;0,2541;95,4200;0,1842
91,1320;0,2537;95,4700;0,1842
91,4340;0,2436;95,4600;0,1815
91,1620;0,2511;95,4200;0,1900
91,2700;0,2483;95,6200;0,1816
91,2580;0,2475;95,6200;0,1835
91,2880;0,2430;95,5900;0,1810
91,5140;0,2419;95,7000;0,1827
91,6360;0,2373;95,7000;0,1762
91,6480;0,2376;95,7300;0,1728
91,5500;0,2413;95,7900;0,1778
91,8620;0,2312;95,7600;0,1783
91,5780;0,2378;95,7500;0,1735
91,8920;0,2341;95,8300;0,1732
91,8640;0,2300;95,8100;0,1738
91,7440;0,2353;95,8000;0,1759
84,1960;0,4489;90,1000;0,3421
83,8880;0,4555;89,7600;0,3789
83,8240;0,4581;90,9900;0,3366
84,2180;0,4504;90,2600;0,3635
84,3360;0,4436;91,7600;0,3110
84,4220;0,4422;91,1600;0,3038
84,5980;0,4352;92,3000;0,2749
84,5620;0,4361;91,0900;0,3305
84,9500;0,4328;92,3100;0,2945
84,6680;0,4341;92,0200;0,3039
84,8620;0,4269;91,7900;0,2852
85,1540;0,4219;90,3600;0,4023
85,2960;0,4184;91,8900;0,2842
84,9920;0,4242;92,2900;0,2709
85,0400;0,4270;90,9200;0,3417
85,5760;0,4087;92,5200;0,2678
85,6720;0,4092;92,3500;0,2750
85,6400;0,4102;91,8200;0,2929
85,4680;0,4096;91,5600;0,3046
85,4900;0,4124;91,4500;0,3006
85,7060;0,4086;91,9400;0,2955
86,0160;0,4019;88,4800;0,4337
85,7460;0,4057;91,0200;0,3210
85,6360;0,4050;91,9100;0,2719
85,9960;0,3950;91,9500;0,3032
86,3160;0,3875;92,7900;0,2400
85,8620;0,3969;92,3900;0,2812
86,2140;0,3937;91,6400;0,3099
86,2820;0,3885;93,2800;0,2520
86,3800;0,3901;92,8500;0,2455
86,4380;0,3865;92,8800;0,2412
86,3260;0,3887;91,7600;0,2894
86,4720;0,3840;91,9400;0,3078
86,2740;0,3899;93,6100;0,2327
86,7540;0,3762;93,0600;0,2749
86,7920;0,3754;91,1400;0,3320
86,7260;0,3769;93,9000;0,2113
86,6520;0,3802;92,4600;0,2663
87,1380;0,3668;93,3300;0,2466
87,1960;0,3660;92,8400;0,2596
87,2620;0,3624;93,4500;0,2319
87,2720;0,3645;92,7600;0,2707
87,2780;0,3628;92,4200;0,2825
86,8920;0,3706;93,0500;0,2610
87,2000;0,3659;92,2100;0,2765
87,3060;0,3648;93,3500;0,2529
87,6420;0,3567;93,0000;0,2516
87,4020;0,3573;92,8200;0,2759
87,6420;0,3509;92,6400;0,2735
87,7400;0,3504;93,1400;0,2495
87,6340;0,3531;92,9500;0,2464
87,5640;0,3546;93,3500;0,2418
87,9040;0,3487;93,1200;0,2503
87,7440;0,3488;93,0500;0,2631
87,7640;0,3481;92,7200;0,2586
87,9860;0,3439;93,0400;0,2558
88,0240;0,3431;94,2200;0,2165
88,2680;0,3359;93,9400;0,2232
88,4820;0,3276;93,8200;0,2356
88,0140;0,3413;93,3800;0,2361
88,2840;0,3330;94,3600;0,2120
88,4000;0,3319;92,8100;0,2945
88,4300;0,3297;92,5700;0,2806
88,4160;0,3311;93,2100;0,2612
88,6640;0,3236;93,7900;0,2456
88,7580;0,3207;94,2700;0,2162
88,8440;0,3196;93,1300;0,2776
89,0100;0,3140;93,8200;0,2317
88,8460;0,3131;94,3300;0,2081
88,8140;0,3137;94,1300;0,2150
89,2520;0,3078;94,1800;0,2096
89,1080;0,3055;93,5400;0,2522
89,3260;0,3062;94,0500;0,2356
89,2340;0,3064;94,2700;0,2185
89,2740;0,3112;94,1600;0,2362
89,5900;0,2966;93,5800;0,2442
89,4940;0,3004;94,5400;0,2064
89,2720;0,3041;93,6200;0,2529
89,4620;0,2977;93,8900;0,2442
89,6360;0,2943;94,3200;0,2202
90,0200;0,2851;94,7100;0,1984
89,9680;0,2871;94,4700;0,2158
90,1160;0,2832;94,3400;0,2130
90,0400;0,2837;94,8500;0,2072
90,0140;0,2871;94,4800;0,2299
90,2440;0,2797;94,6900;0,2046
90,2760;0,2764;94,8100;0,2043
90,5440;0,2699;94,8400;0,1973
90,3200;0,2754;94,5500;0,1994
90,3620;0,2748;94,4800;0,2198
90,4400;0,2709;94,3900;0,2083
90,6840;0,2637;94,7500;0,1997
90,7600;0,2622;94,4500;0,2202
90,8900;0,2589;94,9700;0,1913
