train_accuracy;train_loss;valid_accuracy;valid_loss
6,1900;4,2150;7,5300;4,1833
11,0020;3,8546;15,1000;3,6381
16,2980;3,5423;21,9200;3,1215
21,6180;3,2236;19,1600;3,3350
27,2460;2,9285;29,5900;2,8569
31,9640;2,6891;41,5500;2,2168
37,0700;2,4615;42,3700;2,1663
40,8300;2,2836;48,4900;1,8977
43,8600;2,1538;53,4100;1,6789
46,1800;2,0469;54,9800;1,5868
33,3120;2,6321;37,0400;2,5133
37,6900;2,4109;43,4900;2,1330
40,5060;2,2791;48,0000;1,9019
42,8560;2,1778;43,7000;2,1551
45,5200;2,0605;46,1800;2,0971
47,6100;1,9732;53,7300;1,6667
49,2240;1,9019;54,6800;1,6272
50,8920;1,8277;56,3500;1,5259
52,6920;1,7633;59,0400;1,4564
54,4120;1,6907;60,2100;1,3853
55,9900;1,6263;60,8500;1,3896
58,3840;1,5342;62,8400;1,3193
60,0020;1,4685;64,4000;1,2256
61,8680;1,3966;65,7300;1,1745
63,2220;1,3397;67,7900;1,1227
65,2120;1,2652;68,9300;1,0637
67,1720;1,1999;69,8000;1,0099
68,2980;1,1559;70,8600;0,9868
68,8380;1,1320;71,1700;0,9752
69,4820;1,1121;71,4800;0,9561
49,7620;1,8852;47,2400;2,0646
51,6120;1,8011;53,5200;1,6958
53,9620;1,7122;56,0100;1,5585
54,9120;1,6755;57,0100;1,5513
55,2740;1,6527;54,7900;1,6611
55,9360;1,6251;53,4200;1,7440
56,2900;1,6173;55,6600;1,7005
57,1740;1,5870;58,4100;1,5417
58,0120;1,5464;59,9500;1,4812
58,6760;1,5184;61,1400;1,3525
59,3700;1,4885;60,9600;1,4272
59,9180;1,4721;63,8900;1,2805
60,6400;1,4335;61,9100;1,3547
61,0100;1,4226;60,9700;1,4164
61,7980;1,3933;59,8700;1,4526
62,7000;1,3646;64,9100;1,2285
63,2440;1,3320;63,5400;1,3452
63,8580;1,3107;65,8700;1,1959
64,6500;1,2779;67,5800;1,1367
65,7960;1,2339;64,5900;1,2813
66,5880;1,2062;67,8300;1,1328
67,8640;1,1669;69,2600;1,0719
68,3560;1,1408;69,6800;1,0880
69,3720;1,1081;68,7200;1,1006
70,4740;1,0714;69,2500;1,1093
71,5180;1,0263;71,2200;1,0121
72,6480;0,9857;71,8200;0,9722
73,8580;0,9485;72,2700;0,9935
74,6440;0,9265;73,7000;0,9468
75,9660;0,8737;73,5300;0,9230
76,6640;0,8470;74,8800;0,8672
77,6820;0,8111;75,6600;0,8468
78,9940;0,7740;75,7200;0,8464
79,9880;0,7372;76,0000;0,8393
80,6500;0,7186;76,5900;0,8388
80,8760;0,7076;77,0600;0,8094
81,4500;0,6867;76,8100;0,8199
81,8460;0,6710;77,1400;0,8129
82,1080;0,6700;77,1800;0,8124
82,2200;0,6563;77,3100;0,8121
53,9520;1,7146;54,9500;1,6716
57,6580;1,5556;53,2500;1,8160
58,8900;1,5117;57,4600;1,5807
59,2260;1,4983;56,5500;1,6526
59,8900;1,4708;62,4300;1,3742
60,2880;1,4551;61,7400;1,3779
60,4340;1,4509;57,0400;1,5884
61,1280;1,4202;56,9000;1,6632
61,4540;1,4104;59,4100;1,4893
61,8020;1,3918;62,1400;1,3621
62,0800;1,3907;63,6000;1,3385
62,1980;1,3860;59,9700;1,4882
61,9840;1,3754;62,3300;1,3980
62,3620;1,3680;64,5100;1,2502
62,7760;1,3612;60,8300;1,4036
63,4440;1,3331;65,1600;1,2387
63,6140;1,3226;60,3500;1,5010
63,5820;1,3278;62,3000;1,3801
63,9000;1,3176;65,5900;1,2160
63,8120;1,3156;66,8400;1,1831
64,0960;1,3007;62,0300;1,3463
65,0020;1,2736;65,0100;1,2398
64,8300;1,2713;66,6000;1,1788
65,3440;1,2580;65,7100;1,2480
65,4260;1,2492;65,3100;1,2918
65,9180;1,2432;66,4800;1,1626
66,0060;1,2309;63,6500;1,3545
66,6220;1,2081;65,3800;1,2474
66,5020;1,2089;67,9600;1,1521
66,9540;1,1991;67,4500;1,1716
67,3260;1,1809;68,5500;1,1077
68,0520;1,1647;67,4000;1,1709
68,1780;1,1419;68,2000;1,1700
68,7060;1,1278;66,7100;1,2401
69,1700;1,1136;68,4300;1,1536
69,5260;1,0990;68,8000;1,1353
70,3460;1,0679;70,6700;1,0634
70,6420;1,0613;68,7200;1,1226
70,9140;1,0481;69,5100;1,0752
