train_accuracy;train_loss;valid_accuracy;valid_loss
28,9260;1,9444;26,4700;2,7617
41,1920;1,6347;43,9900;1,6122
48,2880;1,4418;58,5400;1,1306
53,4800;1,3091;65,5500;0,9915
57,1400;1,2014;53,0400;1,5382
60,6580;1,1119;71,5300;0,8130
62,6700;1,0555;72,0100;0,8323
64,1120;1,0204;68,8500;0,9012
65,7340;0,9732;76,2000;0,6999
66,6220;0,9474;74,5000;0,7535
67,3020;0,9309;78,4400;0,6144
68,3960;0,8996;77,1700;0,6741
68,6020;0,8923;76,0800;0,6876
69,2300;0,8762;81,5800;0,5330
69,5400;0,8643;75,2500;0,7142
69,8540;0,8526;76,4800;0,6855
70,1100;0,8489;79,5200;0,6272
70,5740;0,8359;82,0100;0,5295
70,8180;0,8306;82,6400;0,5178
71,2680;0,8205;77,2200;0,6553
70,9060;0,8228;81,3400;0,5433
71,4360;0,8148;78,8700;0,6448
71,5460;0,8060;80,5600;0,5631
71,9300;0,8008;82,0000;0,5330
72,0700;0,7962;81,8300;0,5083
71,8680;0,7955;81,0600;0,5457
72,2740;0,7964;82,9500;0,5049
72,5140;0,7837;83,7600;0,4753
72,6800;0,7837;82,2000;0,5394
72,5280;0,7815;81,2100;0,5456
72,4520;0,7812;84,7400;0,4386
72,6000;0,7804;81,1400;0,5749
72,4080;0,7771;81,1400;0,5666
73,0780;0,7741;79,4600;0,6186
73,1420;0,7712;79,6600;0,6039
72,9560;0,7681;74,9800;0,7688
73,2340;0,7639;79,8500;0,5911
73,0920;0,7677;79,0000;0,6573
73,2600;0,7565;81,1300;0,5722
73,4460;0,7534;84,1800;0,4560
73,6500;0,7517;80,1500;0,5805
73,6860;0,7518;83,0600;0,4899
73,8840;0,7437;81,3800;0,5469
73,8140;0,7443;83,3100;0,4875
73,6620;0,7501;77,8700;0,6587
73,9760;0,7427;81,9300;0,5559
74,0380;0,7379;83,7600;0,4614
74,1060;0,7398;84,7700;0,4327
74,1400;0,7358;84,3200;0,4610
74,4220;0,7327;82,5700;0,5374
74,0380;0,7348;84,7100;0,4539
74,0240;0,7374;81,9700;0,5375
74,3160;0,7264;79,1700;0,6099
74,2640;0,7301;82,3800;0,5449
74,7060;0,7232;83,6000;0,4586
74,7500;0,7196;84,3800;0,4556
74,9000;0,7175;83,5900;0,4912
75,0680;0,7118;83,0200;0,4792
74,6740;0,7191;81,7100;0,5453
75,0480;0,7120;82,9900;0,4823
75,0180;0,7126;84,1600;0,4471
74,8720;0,7115;84,1200;0,4894
75,0240;0,7099;84,6000;0,4582
75,4920;0,6998;78,2600;0,6756
75,1620;0,7092;83,0600;0,5127
75,5580;0,7011;85,6200;0,3993
75,4060;0,6963;85,4100;0,4244
75,5120;0,7000;83,5200;0,4968
75,2560;0,6952;85,9200;0,4118
75,5920;0,6969;85,8000;0,4297
75,5760;0,6947;83,3600;0,4830
75,6880;0,6930;84,6900;0,4816
75,5160;0,6929;82,8200;0,5349
75,8560;0,6936;86,0200;0,4500
75,7320;0,6908;85,6600;0,4064
75,9940;0,6798;82,6000;0,5181
75,7120;0,6894;80,2600;0,5678
75,9200;0,6878;84,2600;0,4655
75,9680;0,6856;81,2700;0,5853
75,8940;0,6846;81,0700;0,5444
75,7580;0,6852;84,6200;0,4475
75,9660;0,6819;84,2500;0,4576
76,1540;0,6797;81,1800;0,5870
76,0240;0,6856;84,7500;0,4481
75,9380;0,6830;83,5600;0,4941
80,8400;0,5454;92,0800;0,2366
82,6780;0,4908;92,5000;0,2163
83,5380;0,4685;92,7700;0,2175
84,0480;0,4540;92,9200;0,2035
84,2700;0,4485;93,0900;0,1986
84,4620;0,4397;93,2400;0,1990
84,8460;0,4323;93,1200;0,1936
84,8060;0,4309;93,4000;0,1984
85,0180;0,4253;93,1300;0,1947
85,2740;0,4177;93,6500;0,1806
86,0580;0,3978;93,9800;0,1854
86,2940;0,3884;93,8500;0,1806
86,0700;0,3925;93,7400;0,1784
86,5220;0,3870;93,8600;0,1796
86,3680;0,3881;93,8500;0,1768
