train_accuracy;train_loss;valid_accuracy;valid_loss
79,4540;0,6738;63,6600;1,4466
80,3540;0,6443;63,3100;1,4213
81,5700;0,6033;65,5700;1,3471
83,2860;0,5485;65,7900;1,3385
83,8740;0,5252;61,9900;1,5574
85,4760;0,4834;67,1500;1,3304
86,3900;0,4444;67,2700;1,3835
88,0960;0,3893;69,0500;1,2450
89,2680;0,3557;68,2800;1,2830
90,5460;0,3161;70,1600;1,2340
91,6800;0,2787;70,4400;1,1969
92,8940;0,2430;71,7800;1,1904
94,1280;0,2088;71,2000;1,1965
94,8880;0,1799;72,0400;1,1857
95,6680;0,1557;72,0800;1,1877
96,5660;0,1315;72,3800;1,1859
97,0040;0,1184;72,9500;1,1408
97,1480;0,1094;73,0800;1,1054
97,6020;0,0989;73,1600;1,1072
97,8940;0,0884;73,4500;1,1010
97,9640;0,0858;73,2100;1,1315
98,0600;0,0825;73,4400;1,1041
98,1500;0,0793;73,5300;1,0912
64,6400;1,2297;55,4200;1,7449
68,6960;1,0613;56,2900;1,7355
70,9960;0,9744;58,0800;1,5786
72,1180;0,9399;52,5600;1,9508
72,6960;0,9224;55,8800;1,7446
73,5100;0,8921;60,5100;1,5252
74,2200;0,8625;50,4000;2,1830
74,7460;0,8458;59,2700;1,6344
74,7380;0,8401;60,4000;1,5981
74,8520;0,8360;61,2700;1,5195
75,4300;0,8125;49,0000;2,1614
75,5840;0,8059;61,1200;1,4976
76,1700;0,7915;56,5300;1,8159
76,5380;0,7801;61,0300;1,5868
76,4220;0,7784;59,6800;1,5729
77,0300;0,7635;61,8200;1,5105
76,9680;0,7595;62,9600;1,4599
78,0980;0,7206;63,7000;1,4346
78,0700;0,7260;62,2400;1,4558
78,3120;0,7063;62,2600;1,4941
79,0440;0,6872;57,0500;1,7503
79,3380;0,6815;62,4300;1,4598
79,0200;0,6826;61,0900;1,5542
79,8200;0,6634;67,1300;1,2936
80,3480;0,6374;66,1000;1,3596
80,7080;0,6288;62,6800;1,4799
80,9920;0,6216;63,5700;1,4184
81,2840;0,6085;63,7700;1,4580
81,4760;0,6081;62,2900;1,5444
81,5260;0,5991;66,3900;1,3501
82,8460;0,5634;64,0200;1,4859
83,0560;0,5500;65,1100;1,4085
83,5080;0,5369;61,0300;1,6207
84,2800;0,5194;65,9000;1,3332
84,6200;0,5037;65,3600;1,4243
85,2660;0,4760;66,9800;1,3676
85,3680;0,4721;66,3200;1,3675
86,2040;0,4499;66,6900;1,3517
86,7960;0,4269;65,4300;1,4431
87,2600;0,4145;65,2700;1,4641
87,8360;0,3968;66,8800;1,3683
88,2620;0,3890;68,4800;1,3128
89,0900;0,3572;68,1100;1,3317
90,1100;0,3276;68,6000;1,3071
90,1680;0,3203;67,8700;1,2955
90,4560;0,3113;68,5600;1,3655
91,1980;0,2899;69,8400;1,2796
91,7320;0,2742;69,3600;1,3003
92,7160;0,2458;70,7400;1,2309
92,6620;0,2431;69,3700;1,2797
93,5600;0,2203;70,1900;1,3185
93,9020;0,2096;70,9900;1,2861
94,7800;0,1828;70,8800;1,2570
95,1100;0,1686;71,6700;1,1965
95,7480;0,1529;72,0700;1,2167
96,2360;0,1370;72,3600;1,1642
96,6020;0,1218;72,8000;1,1979
96,8540;0,1160;72,9800;1,1366
97,4060;0,0989;72,9200;1,1457
97,3340;0,1009;73,2800;1,1417
97,6580;0,0903;73,4700;1,2178
97,9080;0,0851;74,2700;1,1150
98,0300;0,0781;74,0300;1,1217
98,3120;0,0698;74,5500;1,0841
98,5160;0,0607;74,7000;1,1041
98,6840;0,0573;74,7800;1,0646
98,6700;0,0544;74,8000;1,0948
98,7640;0,0517;74,9600;1,0819
99,0280;0,0457;75,4300;1,0476
99,0780;0,0416;75,2400;1,0940
99,1180;0,0400;75,5200;1,0678
99,1240;0,0394;75,4800;1,0482
99,1420;0,0378;75,5100;1,0580
99,2360;0,0364;75,3900;1,0729
99,2420;0,0350;75,8700;1,0337
99,2540;0,0343;75,7600;1,0458
99,2320;0,0341;75,6600;1,0648
99,2580;0,0336;75,6800;1,0673
99,2820;0,0321;75,5500;1,0451
99,3240;0,0337;75,6900;1,0284
