train_accuracy;train_loss;valid_accuracy;valid_loss
10,4500;3,8683;10,9700;4,0423
21,3540;3,1829;19,9400;3,4181
30,6520;2,6921;25,9200;3,0878
39,1020;2,2863;38,3900;2,3339
45,9640;1,9852;39,3200;2,3982
51,7600;1,7358;44,9700;2,0469
56,6740;1,5386;51,7500;1,8089
61,3760;1,3565;55,6600;1,6183
65,4300;1,2099;59,8000;1,4297
68,3840;1,1045;61,3400;1,3838
50,7000;1,7743;38,8000;2,5481
55,2340;1,5741;45,2500;2,0972
58,9900;1,4420;48,8100;1,9287
61,3620;1,3358;52,2900;1,7418
63,7980;1,2455;55,1300;1,6027
66,2260;1,1621;51,4800;1,9091
67,9740;1,0867;56,0700;1,6214
70,2460;1,0090;59,0400;1,4876
72,3180;0,9312;58,0300;1,6034
74,3060;0,8579;62,5600;1,3670
76,8080;0,7666;64,4700;1,3147
79,5000;0,6798;64,4000;1,3664
81,8700;0,5966;67,0200;1,2659
84,9960;0,5027;67,7400;1,2559
87,2600;0,4231;68,8800;1,1824
89,8940;0,3462;69,5800;1,1255
92,1520;0,2815;70,5900;1,1416
93,4920;0,2401;70,8800;1,1065
94,6120;0,2094;71,5200;1,1246
95,0520;0,1966;71,5200;1,0899
65,4020;1,1824;54,3300;1,6904
69,2240;1,0341;55,5100;1,7597
71,0940;0,9649;58,3800;1,5120
72,6920;0,9066;55,9000;1,8184
73,5460;0,8780;58,9200;1,5759
74,8920;0,8298;51,5900;1,9258
75,6600;0,8020;58,9000;1,5759
76,7760;0,7641;58,4100;1,6208
77,1820;0,7481;52,9100;1,9338
78,2440;0,7158;59,4300;1,6229
79,4720;0,6742;63,5600;1,3714
80,0740;0,6498;58,4500;1,6651
80,5940;0,6276;65,0700;1,3449
81,7700;0,5820;63,5900;1,4078
82,3120;0,5711;63,3300;1,4702
83,5480;0,5294;62,0300;1,5824
84,5980;0,4965;62,4300;1,4940
85,2740;0,4709;65,9500;1,3258
87,5460;0,4033;65,1500;1,4749
88,1680;0,3792;64,2900;1,4352
89,2340;0,3461;65,1800;1,4472
90,1980;0,3146;65,9400;1,4318
91,6400;0,2742;69,4400;1,3310
