train_accuracy;train_loss;valid_accuracy;valid_loss
6,9080;4,1499;9,1700;4,0127
14,6800;3,5937;19,3200;3,3784
23,1100;3,1024;22,2700;3,2052
31,0280;2,6957;27,2900;3,0846
37,7720;2,3696;37,9500;2,4171
43,1160;2,1186;38,6500;2,4125
48,0660;1,9152;48,2100;1,9099
52,2700;1,7412;54,0300;1,6708
55,5380;1,6042;58,0000;1,4693
57,9620;1,5106;59,5100;1,3955
42,9860;2,1239;36,5600;2,5766
47,9840;1,9188;41,6000;2,2348
50,7360;1,7964;48,1900;2,0135
53,1720;1,6939;48,7500;1,9517
54,8640;1,6182;50,0200;1,9066
57,0580;1,5288;52,0700;1,7809
59,0960;1,4477;54,6100;1,6881
60,7180;1,3815;53,9500;1,7536
62,7620;1,3002;59,6900;1,3957
64,6020;1,2285;61,2100;1,4265
66,5700;1,1524;62,2300;1,3850
68,8540;1,0763;62,1200;1,3757
70,4780;1,0072;66,0600;1,2017
72,8560;0,9231;65,9600;1,2407
75,1100;0,8406;68,8500;1,1237
77,2560;0,7735;70,3600;1,0697
79,1440;0,7057;71,4200;1,0200
80,7340;0,6591;71,9300;0,9994
81,7740;0,6212;72,4900;0,9824
82,5920;0,5993;72,3300;0,9576
58,2500;1,4798;53,5700;1,7160
61,4220;1,3499;55,2700;1,6617
62,9340;1,2995;51,2500;1,9477
63,8180;1,2581;57,1300;1,5634
64,8780;1,2164;59,9700;1,4651
65,8360;1,1857;60,8300;1,4469
66,3520;1,1563;58,0200;1,6111
67,3380;1,1279;59,2100;1,5501
67,9660;1,1070;56,9600;1,7056
68,6480;1,0820;54,9500;2,0285
69,9360;1,0395;57,5700;1,5945
70,2380;1,0263;64,0200;1,3118
71,3300;0,9816;61,8100;1,4134
71,7060;0,9601;60,2800;1,5426
72,1060;0,9460;64,4400;1,3171
73,1780;0,9029;63,4300;1,3781
74,3040;0,8722;64,9400;1,2752
75,4260;0,8330;65,2300;1,2999
75,9580;0,8058;66,4000;1,2100
77,3580;0,7547;67,1300;1,2022
78,1120;0,7261;67,1000;1,2494
79,4640;0,6864;67,9900;1,2265
80,4560;0,6521;67,7500;1,2824
81,3820;0,6209;68,3900;1,2028
82,7980;0,5669;70,1200;1,1435
84,2680;0,5216;71,7500;1,0808
85,4600;0,4787;70,6000;1,1224
86,7780;0,4388;71,3900;1,0813
88,1180;0,4012;72,5300;1,0386
89,2400;0,3616;72,7700;1,0306
90,4020;0,3266;74,1300;1,0067
91,5840;0,2916;73,6700;1,0148
92,5060;0,2638;74,7000;0,9961
93,3800;0,2347;74,7000;0,9757
93,9840;0,2155;75,3400;0,9859
94,6600;0,1949;75,3500;0,9666
95,0560;0,1856;75,4700;0,9462
95,0680;0,1806;75,7300;0,9863
