train_accuracy;train_loss;valid_accuracy;valid_loss
6,7060;4,3597;10,9700;3,8155
14,2380;3,5836;16,3900;3,5412
21,8060;3,1359;24,1000;3,0522
30,4420;2,6936;31,9100;2,6888
37,9800;2,3227;37,1800;2,4788
45,4260;2,0026;43,5200;2,0640
51,2620;1,7550;48,2300;1,9809
56,2820;1,5558;52,9800;1,7088
60,3760;1,4043;56,3500;1,5937
63,1160;1,3029;57,9000;1,4771
46,0780;1,9713;39,4400;2,3696
51,4220;1,7435;49,0800;1,8746
55,3540;1,5806;45,7500;2,1520
58,9040;1,4498;49,4800;1,8863
61,8460;1,3328;54,6000;1,6557
63,8820;1,2509;53,4600;1,8284
66,5600;1,1525;56,2500;1,6466
69,1440;1,0627;58,6400;1,5341
71,3440;0,9812;59,4900;1,5126
73,6260;0,8990;62,8000;1,3349
76,1000;0,8129;63,4900;1,3669
78,5140;0,7251;66,2300;1,2104
80,8380;0,6521;66,6900;1,2248
83,6260;0,5603;69,8400;1,0983
86,2840;0,4848;69,5400;1,1097
88,7480;0,4110;71,4300;1,0473
90,5920;0,3579;71,8600;1,0315
92,2300;0,3151;72,5900;1,0010
93,2600;0,2871;72,9000;1,0107
93,7220;0,2749;73,1300;1,0139
65,8000;1,1603;50,2400;2,0279
69,4520;1,0333;56,0600;1,6654
71,3400;0,9626;59,3300;1,5085
73,3100;0,9015;55,1900;1,7758
74,2640;0,8632;60,0200;1,4845
75,3240;0,8253;59,8800;1,5763
76,4380;0,7907;62,5100;1,4022
77,3860;0,7563;63,6900;1,3389
78,3720;0,7260;60,5500;1,5279
80,0560;0,6753;64,7100;1,3268
80,5140;0,6531;62,9300;1,4195
81,3480;0,6171;64,1800;1,3682
82,4980;0,5812;61,6600;1,5640
84,2060;0,5242;65,6400;1,3355
84,7320;0,5098;63,7300;1,4199
86,1360;0,4626;64,5400;1,4011
87,4100;0,4240;64,1500;1,5478
88,5740;0,3847;64,2700;1,4001
90,3500;0,3343;67,6300;1,3165
91,9260;0,2869;67,7400;1,2742
92,7580;0,2592;68,4600;1,2568
