train_accuracy;train_loss;valid_accuracy;valid_loss
6,2920;4,2964;9,9300;3,9195
13,0560;3,6492;16,2500;3,5527
21,1360;3,1827;21,2200;3,2893
28,9680;2,7596;30,2200;2,7671
37,0440;2,3787;30,2800;2,8682
42,9300;2,0956;41,4400;2,2874
49,0080;1,8469;47,6600;1,9638
53,8460;1,6429;53,5800;1,6588
58,2980;1,4881;57,5800;1,5300
60,8020;1,3909;58,8300;1,4548
44,2940;2,0400;38,6000;2,4341
49,6460;1,8122;44,5500;2,1839
53,6360;1,6482;50,4000;1,8530
57,1600;1,5167;53,3800;1,8020
59,7460;1,4159;52,2000;1,7268
62,1680;1,3203;56,1800;1,6163
64,7020;1,2225;57,6400;1,5457
66,6940;1,1499;60,6800;1,3906
68,8520;1,0662;62,8200;1,3204
71,3540;0,9802;65,1800;1,2540
73,1400;0,9105;64,9700;1,2433
75,6340;0,8309;67,1700;1,1661
77,7080;0,7575;67,3800;1,1778
80,2260;0,6762;70,4500;1,0516
82,3400;0,6053;70,6000;1,0702
84,2620;0,5413;71,8900;0,9560
86,1960;0,4881;73,5000;0,9130
87,8660;0,4435;74,1100;0,9056
88,6580;0,4159;74,4800;0,9080
89,2760;0,4012;74,4200;0,9036
64,3120;1,2239;54,1700;1,7127
67,5640;1,1205;54,4000;1,7691
68,9300;1,0572;58,4700;1,5972
70,0200;1,0169;59,9100;1,4978
71,7680;0,9632;59,6700;1,4849
72,3900;0,9360;61,4300;1,4260
73,4780;0,9003;62,8100;1,4136
74,0780;0,8743;61,9600;1,4816
74,8300;0,8481;58,2500;1,6741
76,0880;0,8083;62,1100;1,3814
76,9080;0,7819;64,1300;1,3898
77,2560;0,7619;60,5900;1,5465
78,4400;0,7264;64,7200;1,3444
79,9640;0,6776;63,5000;1,4170
80,3040;0,6585;64,5100;1,3516
81,7360;0,6188;68,7000;1,1439
82,5480;0,5873;63,5700;1,5034
83,7940;0,5495;67,0900;1,2746
85,1660;0,5059;67,9600;1,2609
86,1140;0,4674;69,7800;1,1362
88,2000;0,4109;69,0900;1,2171
88,5620;0,3940;70,2900;1,1244
89,9760;0,3503;69,7100;1,1710
91,2380;0,3142;70,0300;1,1755
92,5660;0,2757;73,0500;1,0203
93,5320;0,2445;73,2900;0,9950
94,7740;0,2050;74,0700;1,0167
95,3980;0,1827;73,8300;0,9853
96,3740;0,1571;74,8800;0,9330
