train_accuracy;train_loss;valid_accuracy;valid_loss
7,5700;4,0680;10,3100;3,8367
10,4400;3,8639;13,3700;3,6425
14,3260;3,6472;19,7800;3,4236
18,4940;3,4008;25,1600;2,9492
22,3860;3,1839;28,9800;2,9258
26,9620;2,9659;31,8500;2,9197
30,8120;2,7648;38,4400;2,3653
34,5360;2,5766;44,8300;2,0510
36,7020;2,4785;48,5100;1,9001
25,2540;3,0380;32,2500;2,6261
29,9880;2,7952;34,5500;2,5419
33,2480;2,6348;38,0600;2,4604
36,0900;2,4999;39,2000;2,3637
38,4900;2,3958;36,8700;2,6449
40,8900;2,2820;47,3600;1,9992
42,8020;2,1963;50,9700;1,8363
45,0100;2,1071;52,9500;1,7487
46,9260;2,0189;53,4000;1,7494
48,5300;1,9575;57,5300;1,5322
50,4560;1,8761;60,3800;1,4189
51,8360;1,7967;60,0700;1,4150
53,6860;1,7256;62,0900;1,3574
55,6920;1,6544;63,7600;1,2633
57,4920;1,5854;65,7800;1,1777
59,0660;1,5251;67,8700;1,1241
60,4100;1,4832;68,5800;1,1134
61,7140;1,4294;70,2900;1,0177
62,2600;1,3960;70,7300;1,0281
63,1400;1,3678;70,8000;0,9997
45,2720;2,0894;49,2600;1,8910
47,3180;1,9972;48,8600;1,9494
48,6580;1,9503;53,6600;1,7120
49,8120;1,8963;53,4300;1,7573
50,8860;1,8549;56,4600;1,5615
51,6480;1,8211;52,1400;1,8614
52,1100;1,8035;57,8300;1,5856
53,2460;1,7640;59,9000;1,4613
53,0940;1,7612;58,1900;1,5821
54,2740;1,7120;57,7800;1,5526
54,8500;1,6884;58,7900;1,5192
55,2680;1,6705;62,0900;1,3289
55,9980;1,6422;60,3200;1,4423
57,0960;1,6024;62,3800;1,3470
57,1540;1,5904;61,6000;1,4206
58,1220;1,5567;60,8900;1,4254
58,7700;1,5327;66,6900;1,2097
60,1600;1,4819;64,9400;1,2277
60,4560;1,4632;64,5600;1,2855
61,4200;1,4363;66,3700;1,2579
62,1500;1,4040;66,4600;1,2334
63,1720;1,3596;66,7500;1,2080
64,0020;1,3253;68,6300;1,0925
65,0740;1,2874;70,9000;1,0237
65,7960;1,2597;70,3700;1,0439
67,2480;1,2134;70,8300;1,0784
67,9180;1,1830;71,7400;1,0089
69,0800;1,1433;72,9800;0,9608
70,2840;1,0950;74,5500;0,8999
70,8560;1,0706;74,4400;0,8827
72,0100;1,0292;75,2100;0,8556
73,2280;0,9906;75,4600;0,8399
74,2100;0,9529;76,3500;0,8166
74,9820;0,9214;77,0600;0,7737
76,2100;0,8956;77,4100;0,7586
76,7340;0,8719;77,3100;0,7636
77,0660;0,8672;77,6000;0,7567
77,4300;0,8398;77,8300;0,7607
77,5840;0,8459;77,9700;0,7664
77,5040;0,8401;77,8200;0,7576
51,0780;1,8505;49,9800;2,0446
53,7480;1,7404;47,9500;2,2881
55,1220;1,6855;54,9700;1,7639
55,8180;1,6502;55,3200;1,8263
56,6520;1,6188;60,5500;1,4704
57,2120;1,6038;60,8400;1,4441
57,8900;1,5803;57,8800;1,5708
57,8500;1,5763;56,5100;1,7053
58,1080;1,5594;60,0700;1,5721
58,8620;1,5286;61,9700;1,4452
59,2420;1,5203;63,5800;1,3907
59,3840;1,5170;62,1000;1,4310
58,9660;1,5198;57,7700;1,6979
59,8500;1,4949;60,3600;1,4981
59,3860;1,5011;60,4300;1,5287
60,1660;1,4832;64,6000;1,3572
60,2240;1,4636;62,3700;1,4052
60,9860;1,4556;64,4000;1,3424
60,8580;1,4512;65,1900;1,3164
61,1640;1,4367;65,5300;1,2374
61,9940;1,4142;63,4700;1,3768
62,0380;1,4171;63,7600;1,3701
62,4340;1,3893;64,8200;1,3136
62,4440;1,3922;67,3800;1,1822
62,6640;1,3716;64,7800;1,3589
63,1960;1,3564;63,0600;1,3944
63,6560;1,3466;64,3200;1,3233
63,3700;1,3490;66,0300;1,2496
63,9400;1,3245;67,0000;1,1977
64,4360;1,3099;63,6600;1,3647
65,0480;1,2876;64,0000;1,3505
65,0440;1,2911;64,8300;1,3550
65,7760;1,2688;68,0300;1,1373
65,7520;1,2580;68,1200;1,1886
66,4920;1,2273;70,7100;1,0383
67,0740;1,2157;67,8700;1,1880
67,1800;1,2089;68,1200;1,2009
67,4780;1,1950;68,0300;1,1681
68,3700;1,1724;69,3300;1,1406
68,7420;1,1524;70,8900;1,0714
68,7840;1,1507;66,8700;1,2940
69,2280;1,1334;71,2800;1,0334
70,3900;1,0979;71,7300;1,0416
70,6980;1,0824;71,7400;1,0405
70,9740;1,0707;70,6400;1,1199
71,6340;1,0445;73,2800;1,0187
72,1780;1,0377;74,0500;0,9040
72,9800;1,0001;73,4600;0,9815
73,2100;0,9878;73,7700;0,9498
73,8540;0,9654;74,1100;0,9302
74,2560;0,9491;73,7900;0,9870
74,9420;0,9278;74,1900;0,9197
75,6360;0,9016;75,8500;0,8665
76,6220;0,8673;75,9200;0,8501
76,9600;0,8615;76,1300;0,8908
77,5120;0,8419;76,1800;0,8488
77,9600;0,8222;76,4400;0,8419
78,2500;0,8158;76,3400;0,8452
79,1160;0,7862;76,1400;0,8436
79,5960;0,7643;77,7700;0,7863
80,2360;0,7464;77,9700;0,7783
80,6880;0,7278;78,0900;0,8017
81,5180;0,6971;78,4500;0,7967
81,5700;0,6986;78,4500;0,7966
82,1840;0,6774;78,9700;0,7594
82,8500;0,6534;78,8400;0,7441
83,2980;0,6368;79,1100;0,7327
83,5700;0,6238;79,4600;0,7177
84,1700;0,6089;79,5800;0,7179
84,6040;0,5926;79,8200;0,7363
84,8020;0,5818;79,8800;0,7144
84,9560;0,5822;80,0100;0,6920
85,2220;0,5698;80,1100;0,7002
85,1600;0,5714;80,4200;0,6963
85,6480;0,5479;80,3400;0,6824
85,6340;0,5538;80,3000;0,6922
86,0780;0,5363;80,3700;0,6810
85,9640;0,5419;80,4000;0,6901
86,2180;0,5363;80,4000;0,6825
86,0540;0,5387;80,5600;0,7004
