train_accuracy;train_loss;valid_accuracy;valid_loss
6,9000;4,2670;9,6400;3,8542
14,2980;3,5655;15,9900;3,5961
22,7980;3,0919;21,3700;3,5319
31,0700;2,6322;29,5100;2,8933
39,1080;2,2641;34,7400;2,6252
45,6280;1,9701;41,5600;2,2699
51,7260;1,7195;48,8200;1,9585
57,2860;1,5032;50,0500;1,8764
61,4280;1,3444;54,0200;1,6682
64,3860;1,2451;56,3800;1,5707
46,9520;1,9264;34,0500;2,8489
52,7380;1,6853;46,1200;2,1008
56,6980;1,5185;42,6600;2,2582
59,9080;1,3982;51,0900;1,8642
62,9640;1,2874;50,1900;1,9970
65,7660;1,1829;57,3200;1,5752
67,7540;1,1014;57,0300;1,6181
70,1660;1,0110;56,6200;1,5924
72,3100;0,9385;60,9600;1,4910
74,7960;0,8473;62,0800;1,3853
76,7640;0,7777;60,7900;1,5074
79,3780;0,6910;64,6100;1,2898
81,9520;0,6111;66,1900;1,2857
84,7100;0,5277;66,9400;1,2253
87,1720;0,4483;68,6900;1,1506
89,6280;0,3806;70,1200;1,1149
91,5980;0,3272;71,3100;1,0710
92,8140;0,2892;70,8700;1,0726
93,9100;0,2644;71,6500;1,0616
94,3520;0,2520;71,7100;1,0854
66,3100;1,1518;51,6100;1,9617
69,8980;1,0136;56,7100;1,7245
72,1500;0,9354;57,2200;1,7214
73,4560;0,8823;52,1200;2,1415
74,8680;0,8442;62,8400;1,3987
76,0700;0,8014;57,3300;1,7080
76,9820;0,7718;61,4400;1,4699
77,4900;0,7465;60,1500;1,5283
78,6540;0,7137;57,5800;1,7668
79,3000;0,6899;61,1700;1,6077
80,2360;0,6614;63,5100;1,3750
81,2720;0,6182;58,2500;1,7760
82,4180;0,5811;62,4100;1,4966
83,8360;0,5353;59,2200;1,6784
84,5880;0,5068;61,6800;1,5669
85,5060;0,4788;63,4000;1,4583
87,1340;0,4300;61,9300;1,5716
88,0360;0,3977;64,5100;1,4218
89,8800;0,3464;66,2900;1,3622
91,1280;0,3081;66,1200;1,3510
92,5880;0,2624;68,0400;1,3115
94,3000;0,2164;68,9800;1,2925
95,4840;0,1802;67,8800;1,2804
96,5860;0,1454;70,3700;1,2483
97,7980;0,1104;72,3900;1,1119
98,4680;0,0851;71,7400;1,1631
