train_accuracy;train_loss;valid_accuracy;valid_loss
5,1860;4,5058;8,2300;3,9763
11,6020;3,7475;12,0000;3,7117
17,7700;3,3746;20,0900;3,3429
24,9980;2,9951;21,2100;3,4679
31,7140;2,6268;29,4800;2,8993
38,4340;2,3152;32,7600;2,7784
44,4020;2,0523;39,8800;2,4698
49,4920;1,8331;44,2300;2,1816
54,2700;1,6495;45,7700;2,1725
57,1280;1,5366;49,7200;1,9588
40,8880;2,2039;30,2500;3,1047
46,8220;1,9429;32,1300;2,9399
51,0000;1,7745;36,6600;2,6740
54,0540;1,6380;45,9000;2,2149
57,6080;1,5102;49,5300;1,9313
59,7420;1,4054;49,4000;1,9829
62,4480;1,3119;49,3500;1,9945
64,4620;1,2373;50,7700;2,0169
66,7420;1,1430;53,2400;1,7994
69,2180;1,0594;53,5500;1,8439
71,3120;0,9809;56,2000;1,7515
73,5480;0,8959;57,0300;1,6853
76,4440;0,8019;60,2500;1,5222
78,7620;0,7225;63,3600;1,3730
81,0820;0,6452;63,1500;1,3962
83,6420;0,5688;63,8000;1,4192
85,8140;0,5074;65,1200;1,3615
87,6520;0,4546;65,5400;1,3572
88,8140;0,4205;66,1800;1,2725
89,5820;0,4027;66,2200;1,3105
62,3900;1,3047;38,4500;3,0533
66,0800;1,1634;50,1700;2,0571
68,0820;1,0998;53,3500;1,8890
69,1620;1,0522;52,7100;1,9179
69,9420;1,0175;51,7400;1,9723
71,2980;0,9707;50,7400;2,1837
72,2300;0,9400;54,6600;1,8530
73,2180;0,9041;54,7400;1,8982
74,1160;0,8673;56,2200;1,7884
74,8700;0,8464;55,9500;1,7919
75,9780;0,8056;58,3400;1,6995
77,1760;0,7650;60,9300;1,5338
78,0860;0,7359;54,5900;1,9480
78,8200;0,7098;58,1500;1,7665
79,9100;0,6738;59,8000;1,6471
81,3020;0,6248;59,7700;1,6339
82,5940;0,5820;61,6900;1,5388
83,7640;0,5403;61,2500;1,6264
85,2840;0,4916;62,2400;1,5926
86,7340;0,4503;62,5300;1,4804
88,0120;0,4078;63,0500;1,5507
89,5800;0,3609;63,0300;1,6374
91,0380;0,3150;65,5200;1,4090
92,6520;0,2643;66,4800;1,4073
94,1520;0,2212;66,5600;1,4303
95,6260;0,1793;66,4100;1,4606
96,9480;0,1390;69,3300;1,2774
97,6720;0,1135;68,7400;1,3174
98,2720;0,0944;69,4900;1,2768
98,8660;0,0758;70,6000;1,2128
99,1720;0,0606;70,6900;1,2068
99,3880;0,0524;70,9700;1,2022
99,5380;0,0465;70,8300;1,2380
99,6100;0,0417;70,9300;1,2019
99,7020;0,0384;70,9800;1,2178
99,7080;0,0362;71,2900;1,1954
99,7440;0,0346;71,3100;1,1912
99,8040;0,0326;71,1000;1,1992
99,7860;0,0329;71,3000;1,1796
99,8180;0,0321;71,6200;1,2026
67,2260;1,1472;48,8200;2,1004
69,9460;1,0251;47,1900;2,3796
73,0340;0,9142;51,9400;2,0615
75,7900;0,8229;56,4000;1,8919
75,8420;0,8071;49,8300;2,3134
77,0720;0,7661;58,0300;1,7289
78,0960;0,7295;58,5900;1,7593
78,6800;0,7102;55,4900;1,8728
79,7820;0,6770;56,5400;1,8689
80,4820;0,6519;53,4900;2,0423
80,1180;0,6594;53,8600;1,9067
81,4040;0,6202;59,5800;1,6379
81,3920;0,6168;59,5300;1,7333
81,4780;0,6119;53,7000;2,0348
82,0920;0,5896;59,3400;1,6721
82,4360;0,5773;59,1700;1,7395
83,1020;0,5587;58,0900;1,8205
83,9960;0,5326;54,5100;2,0411
83,9520;0,5289;54,8600;1,9316
84,9620;0,4940;58,7600;1,7832
85,2780;0,4854;57,9200;1,8370
85,4160;0,4847;58,5200;1,9225
86,1900;0,4602;59,5900;1,7444
87,0080;0,4314;58,4700;1,9148
87,1540;0,4252;59,6100;1,7770
87,7600;0,4118;56,8700;1,9999
88,3100;0,3851;62,9800;1,6304
88,6480;0,3736;60,8900;1,7028
89,4260;0,3619;61,5400;1,6268
89,6900;0,3449;58,6300;1,8827
90,7400;0,3164;62,9300;1,6521
90,9240;0,3114;60,4800;1,8632
91,4380;0,2962;60,0600;1,7181
91,8260;0,2810;60,9000;1,8521
92,4100;0,2658;62,6300;1,6540
93,6640;0,2314;62,7600;1,6086
93,6340;0,2265;62,6200;1,6616
93,9940;0,2207;63,9300;1,6173
94,7060;0,1933;63,1100;1,6723
94,8520;0,1926;65,3800;1,4972
96,3220;0,1458;66,8700;1,4812
96,8400;0,1296;68,1900;1,4099
97,2900;0,1178;67,8100;1,3731
97,6220;0,1063;67,1500;1,4255
97,8200;0,0994;67,1700;1,5074
98,2800;0,0839;68,4000;1,3771
98,5360;0,0750;68,5300;1,4017
98,7460;0,0646;69,2000;1,3825
99,2360;0,0506;70,8800;1,2442
99,3920;0,0438;69,8300;1,2763
99,4640;0,0399;70,0700;1,2300
99,6000;0,0337;71,3500;1,2406
99,6640;0,0296;71,2200;1,2200
99,7600;0,0279;70,7000;1,1788
99,8460;0,0222;71,6300;1,2005
99,7640;0,0244;71,4100;1,1639
99,8620;0,0200;71,7900;1,2057
99,8900;0,0178;72,3800;1,1506
99,8960;0,0170;72,1500;1,1680
99,9140;0,0163;71,9000;1,1215
99,9300;0,0146;71,7000;1,1248
99,9380;0,0142;72,1100;1,1103
99,9200;0,0137;72,0500;1,1537
