train_accuracy;train_loss;valid_accuracy;valid_loss
6,0800;4,3499;9,3200;3,9081
12,8620;3,6550;15,0100;3,5572
20,0960;3,2424;21,3600;3,2238
28,5600;2,7852;22,8600;3,2371
35,8280;2,4221;30,5500;2,8448
42,5720;2,1235;35,8800;2,6106
48,0460;1,8808;40,0200;2,4111
53,2560;1,6784;45,1000;2,1722
57,2440;1,5267;48,6700;1,9711
59,9720;1,4294;49,5800;1,9720
44,0500;2,0534;39,7600;2,3677
49,0360;1,8366;42,6600;2,2887
52,8240;1,6780;39,0900;2,4988
56,2340;1,5491;39,0600;2,5953
59,0480;1,4391;49,5900;1,9013
61,8260;1,3352;51,5800;1,9014
63,9080;1,2568;53,2100;1,7407
66,2760;1,1678;51,2000;1,9764
68,2340;1,0875;52,6600;1,8428
70,8520;0,9973;57,3700;1,6246
73,3180;0,9104;53,3200;1,8364
75,6660;0,8255;58,1600;1,6691
78,0740;0,7451;60,6000;1,5309
80,6740;0,6602;58,1700;1,6876
83,2500;0,5778;60,4000;1,5089
85,8580;0,5064;63,0500;1,4082
87,9640;0,4445;62,9300;1,4596
89,6600;0,3972;62,6800;1,4240
90,8900;0,3658;63,9800;1,3883
91,4020;0,3498;63,2300;1,4469
64,1520;1,2316;43,6700;2,4093
67,5800;1,1069;52,1000;1,8723
69,2900;1,0551;53,2200;1,7745
71,0060;0,9836;52,7400;1,9102
72,3000;0,9406;53,4700;1,9030
73,4540;0,8985;48,7600;2,2336
74,3480;0,8568;52,6300;2,0533
75,5020;0,8221;57,1500;1,6638
76,1900;0,7965;55,8300;1,7979
77,0720;0,7689;54,2800;1,9263
78,5720;0,7202;55,4300;1,8523
79,8040;0,6748;55,1500;1,8955
80,5680;0,6481;54,7200;1,8878
82,3820;0,5943;56,8200;1,7994
83,1660;0,5580;53,9300;1,8612
85,0000;0,5029;53,0100;1,9948
85,5580;0,4862;52,2500;2,1460
86,9700;0,4359;57,5500;1,7902
88,5140;0,3938;53,6900;2,0897
90,2400;0,3403;55,8500;1,9825
91,7860;0,2895;57,1500;1,8113
93,4240;0,2463;60,8200;1,6261
95,1000;0,1948;58,7900;1,8083
96,3880;0,1555;59,3500;1,6896
97,4960;0,1201;64,4200;1,4682
98,3860;0,0925;61,6100;1,6582
98,9120;0,0742;64,1700;1,5121
99,3060;0,0575;61,7400;1,6979
99,3960;0,0497;64,0200;1,4720
99,6780;0,0394;63,4200;1,5955
99,7660;0,0345;63,7500;1,5752
99,7920;0,0309;63,5000;1,5556
99,8380;0,0281;63,6300;1,5495
99,8980;0,0257;64,2600;1,4864
99,8920;0,0249;63,9100;1,5178
99,9160;0,0233;64,0700;1,5115
99,9440;0,0229;64,1000;1,5122
99,9240;0,0226;64,0900;1,5016
99,9140;0,0225;64,0700;1,5228
99,9260;0,0221;64,2100;1,5083
70,6400;1,0332;38,1300;2,9949
69,8040;1,0233;52,1100;1,9699
74,5660;0,8666;54,1600;1,7599
76,8080;0,7759;56,6700;1,6778
78,2460;0,7214;49,8500;2,1360
79,1220;0,6979;52,8400;2,0154
79,8040;0,6640;56,1500;1,7582
81,2800;0,6155;48,4700;2,3007
82,2740;0,5929;50,4200;2,1021
81,6220;0,6026;52,6200;2,0307
82,7200;0,5669;49,8100;2,2363
83,4660;0,5450;48,2200;2,3918
83,1100;0,5518;51,6100;2,2563
84,4400;0,5124;49,7400;2,2776
84,8120;0,4994;53,4600;2,0936
85,2440;0,4851;49,0400;2,3711
86,2460;0,4552;52,9100;2,0647
87,4080;0,4224;52,2400;2,1203
86,6700;0,4424;53,9100;2,0274
87,2220;0,4241;55,5700;1,9078
89,2600;0,3627;54,6400;2,0354
88,1980;0,3917;53,9900;2,0327
88,9260;0,3720;51,8700;2,2924
89,5780;0,3466;54,3000;2,1707
89,7260;0,3477;52,7900;2,1587
90,3620;0,3299;56,0800;1,9735
91,3120;0,3009;60,0300;1,6958
91,4380;0,2960;55,7400;1,9693
92,3260;0,2665;58,9000;1,7042
92,3520;0,2632;57,4300;1,9480
93,4340;0,2334;58,1500;1,8286
93,7240;0,2284;53,9000;2,1660
93,0640;0,2485;51,5100;2,2871
94,4340;0,2022;58,2600;1,8483
95,3380;0,1756;57,5500;1,8512
95,5700;0,1717;58,3700;1,9197
95,6160;0,1712;55,2100;2,0312
96,1320;0,1517;63,1600;1,6701
96,9460;0,1258;58,1200;1,9214
98,0120;0,0959;58,2000;1,9407
97,9340;0,1003;58,6100;1,8909
98,3240;0,0858;61,3500;1,6838
98,4480;0,0819;61,5100;1,6262
98,9380;0,0624;62,5500;1,6224
99,2600;0,0502;63,7700;1,5719
99,4820;0,0416;64,2900;1,5415
99,5020;0,0388;63,4500;1,5571
99,7320;0,0280;63,9400;1,5353
99,7940;0,0242;65,1900;1,4492
99,7940;0,0233;64,9700;1,4915
99,7780;0,0242;65,5400;1,3907
99,8500;0,0210;66,2200;1,4125
99,8900;0,0176;65,8600;1,4177
99,9100;0,0174;66,4600;1,3603
99,9040;0,0171;65,9000;1,3724
99,9380;0,0144;67,1300;1,3608
99,9340;0,0138;66,7100;1,3464
99,9360;0,0137;65,5700;1,3955
99,9540;0,0130;66,5500;1,3519
99,9440;0,0133;66,0200;1,3659
99,9440;0,0126;66,0700;1,3687
99,9400;0,0125;67,0000;1,3200
99,9460;0,0121;66,8600;1,3228
99,9620;0,0114;67,0800;1,2892
99,9540;0,0112;66,9100;1,3507
99,9600;0,0114;67,3100;1,3085
99,9700;0,0109;66,7900;1,3475
99,9640;0,0110;66,8400;1,3454
99,9540;0,0111;67,2300;1,2859
99,9700;0,0106;66,8000;1,3512
99,9640;0,0106;66,9100;1,3310
99,9620;0,0106;66,7800;1,3958
99,9720;0,0103;67,1100;1,3490
99,9660;0,0103;67,2000;1,2999
99,9760;0,0099;67,1700;1,3059
99,9620;0,0101;67,0600;1,3457
99,9800;0,0101;67,0800;1,3410
99,9660;0,0100;67,2400;1,3026
99,9680;0,0102;66,8000;1,3617
99,9680;0,0100;67,0800;1,3393
