train_accuracy;train_loss;valid_accuracy;valid_loss
5,1880;4,4552;9,4600;3,9250
11,0340;3,8861;14,4000;3,5560
16,6080;3,6063;20,5100;3,3234
22,0040;3,3653;25,1000;3,0531
26,6840;3,1890;32,5800;2,6371
33,3360;2,8589;35,1400;2,4729
39,2660;2,5940;42,5600;2,1800
43,0560;2,5098;47,0400;1,9919
46,5880;2,3546;50,6600;1,7983
48,5320;2,3623;51,7200;1,8081
35,1300;2,8136;35,0300;2,5625
39,3500;2,6931;41,3200;2,2137
44,3480;2,4539;47,5400;1,9183
45,9060;2,4310;43,7800;2,1772
49,3940;2,2634;51,6300;1,8028
50,6200;2,2351;51,1900;1,8337
53,5540;2,1189;54,5700;1,6301
54,6380;2,1485;58,2000;1,5215
58,3260;1,9156;57,6300;1,5488
60,0220;1,8145;59,2800;1,4530
59,4660;1,9241;59,8900;1,4486
63,1520;1,7953;63,5400;1,3245
64,1100;1,8138;66,0800;1,2110
66,3320;1,6854;66,3400;1,1950
69,8720;1,4969;67,5600;1,1576
71,2740;1,5294;68,7000;1,1054
75,3260;1,3467;70,0700;1,0559
73,6000;1,4959;70,5900;1,0704
76,6800;1,3463;70,9900;1,0293
76,0960;1,3699;70,8300;1,0365
54,2540;2,1347;54,1700;1,6798
57,6140;1,9859;55,6300;1,6535
58,6520;1,9327;55,3800;1,6811
62,0520;1,8011;58,2100;1,5522
62,4520;1,8138;58,5600;1,5259
62,8540;1,8064;60,7100;1,4597
64,7320;1,7594;58,8200;1,4995
64,5780;1,7582;59,9800;1,4475
67,4700;1,5315;58,5500;1,5293
66,4080;1,6054;63,4000;1,3084
66,4200;1,7477;59,7000;1,5220
67,8180;1,5761;61,1900;1,4670
70,6560;1,5035;64,0400;1,3003
71,5860;1,4595;62,7100;1,4149
69,7520;1,5889;63,2900;1,3395
70,9340;1,5303;61,6000;1,4569
72,0840;1,5466;65,9400;1,2495
74,4760;1,3965;68,3000;1,1614
75,5560;1,4022;66,7900;1,2223
74,3880;1,4589;67,4900;1,1972
79,1500;1,2206;67,3900;1,2163
79,0460;1,3226;69,3100;1,1125
78,9260;1,3521;69,2600;1,1353
81,6440;1,1686;70,5100;1,0955
83,7840;1,1464;70,4400;1,1222
84,8180;1,0617;70,9100;1,0623
86,4560;1,0641;71,9900;1,0128
86,2440;1,0814;72,6700;1,0066
87,5140;1,0561;72,9100;1,0116
89,4880;0,8792;73,7300;0,9700
89,2220;0,9670;74,0500;0,9568
89,1820;0,9713;74,7600;0,9428
91,5980;0,8666;75,4000;0,9113
90,6900;0,9589;74,9100;0,9937
92,7380;0,8302;75,4900;0,9031
94,1340;0,7365;75,6300;0,9253
92,3560;0,9106;75,0700;0,9635
91,6100;0,8894;75,4100;0,9572
92,5980;0,8492;75,6100;0,9518
91,6180;0,8961;75,7700;0,9110
59,7060;1,9510;50,5300;1,9453
63,9180;1,6603;54,4700;1,7841
66,0880;1,7337;59,6700;1,5301
67,3680;1,6964;62,7300;1,3951
71,4660;1,4717;57,0100;1,6179
69,0180;1,6182;58,4700;1,6077
72,0600;1,4236;58,8800;1,5817
72,8760;1,4744;60,8900;1,4888
72,0040;1,5014;64,1400;1,3687
73,9360;1,4156;62,4700;1,4155
70,7540;1,5195;60,6100;1,4538
74,2520;1,3968;63,5100;1,3645
71,7740;1,5822;60,4300;1,5396
72,7400;1,5140;63,3500;1,4160
74,7380;1,4139;61,0200;1,4842
73,8960;1,4498;64,8800;1,3220
74,4020;1,4146;63,7800;1,3636
76,4720;1,3484;65,5400;1,2982
74,8240;1,3696;64,0200;1,3481
77,1280;1,3045;61,7400;1,4614
76,4020;1,3514;59,8700;1,5223
74,7940;1,4672;62,2600;1,3999
79,7340;1,2356;64,2800;1,3688
79,9100;1,2009;61,2000;1,4601
77,8460;1,2836;65,5100;1,3176
79,9360;1,2526;65,2400;1,3052
79,5500;1,2036;67,3200;1,2125
80,5400;1,1701;66,1500;1,2589
77,3360;1,3810;67,3700;1,2380
80,7080;1,1993;66,6800;1,2544
81,7940;1,2387;67,0600;1,2635
82,4480;1,1226;65,7500;1,2960
82,7740;1,1533;65,0000;1,2961
81,6040;1,2225;64,2700;1,3793
84,0200;1,1540;64,6900;1,3415
84,2700;1,1445;68,1400;1,2121
84,0080;1,1508;66,3700;1,3282
84,2680;1,0861;67,7900;1,2503
82,9260;1,2129;68,4700;1,2171
86,8180;0,9511;68,6600;1,2025
85,9900;1,0903;68,5800;1,2125
