train_accuracy;train_loss;valid_accuracy;valid_loss
5,7300;4,2065;8,4300;4,0852
11,2720;3,7862;5,0600;4,8277
16,4520;3,4634;8,5100;5,2668
22,3760;3,1138;12,7500;4,7876
28,2600;2,8016;13,3000;4,6576
33,2200;2,5548;24,4600;3,6568
37,5240;2,3542;26,1600;3,5601
41,6160;2,1799;29,4100;3,4957
44,9900;2,0363;35,3500;2,9587
46,9920;1,9545;37,3200;2,9851
34,8420;2,4872;25,6500;3,5178
39,8860;2,2509;14,5400;5,1062
42,6340;2,1204;22,7600;4,7105
45,9040;1,9813;37,0400;2,7651
48,1800;1,8899;38,9100;2,6464
50,2680;1,7947;46,8600;2,2928
52,7400;1,7058;44,8500;2,5287
54,5660;1,6300;48,9800;2,1729
56,2780;1,5578;47,5700;2,3564
58,3440;1,4716;53,9700;1,9013
60,4100;1,3918;53,6300;2,0980
62,3500;1,3227;55,2200;2,0329
64,1040;1,2425;56,5300;1,9460
66,1480;1,1712;62,9100;1,5677
67,9280;1,1021;60,4600;1,7649
69,7900;1,0317;65,4800;1,4636
71,7880;0,9682;64,2400;1,5614
73,3740;0,9135;65,1400;1,5638
74,3560;0,8801;65,6900;1,5072
74,7240;0,8591;65,3700;1,5523
54,0320;1,6535;49,3300;2,0507
57,2440;1,5360;39,3000;3,2212
57,8660;1,4890;49,3400;2,0301
59,0740;1,4514;53,7800;1,8353
60,1020;1,4054;53,7200;2,0527
60,8780;1,3771;40,8100;2,8848
61,6560;1,3553;50,7600;2,1097
62,6040;1,3153;58,7800;1,6033
63,1360;1,2921;42,7400;2,8954
63,8740;1,2644;51,9500;2,1739
64,4220;1,2423;57,7200;1,7210
65,1920;1,2086;55,8000;1,8883
66,4640;1,1699;53,0300;2,0841
66,8980;1,1527;56,7000;1,7866
68,0780;1,1081;62,2200;1,4583
68,2840;1,1024;59,2100;1,7252
69,2320;1,0594;61,7500;1,5046
70,4940;1,0227;62,4400;1,5202
71,1260;0,9919;62,1200;1,5730
72,2360;0,9540;60,5500;1,6421
72,9140;0,9150;67,6700;1,3161
74,1340;0,8759;63,0900;1,5077
75,1140;0,8435;64,7600;1,4633
76,0080;0,8080;66,1600;1,4428
77,2860;0,7643;66,1500;1,3989
78,7980;0,7167;68,1200;1,3331
79,9280;0,6778;70,8800;1,1629
80,8300;0,6390;68,4800;1,2793
82,0040;0,6030;72,5500;1,1154
82,9220;0,5707;71,0600;1,1762
84,0720;0,5300;73,3600;1,1217
85,4700;0,4920;74,3300;1,0559
86,3280;0,4642;74,9100;1,0220
87,4600;0,4304;74,6000;1,0510
87,9400;0,4094;75,1700;1,0179
88,8760;0,3820;75,4500;1,0323
89,1000;0,3715;75,8700;1,0087
89,7260;0,3587;75,9100;1,0175
89,8960;0,3517;76,1300;0,9892
89,9840;0,3472;75,9600;0,9847
60,6600;1,3915;48,0600;2,2412
63,6980;1,2738;55,5300;1,9594
65,2040;1,2159;54,8300;1,9749
65,8120;1,1903;47,3100;2,2855
66,6240;1,1632;54,5000;1,9370
66,9220;1,1495;56,0700;1,9020
67,3180;1,1312;60,7900;1,5054
68,0960;1,1014;58,6200;1,6624
68,3320;1,0956;53,4300;2,0574
68,7060;1,0841;52,2500;2,2895
69,1360;1,0713;60,1400;1,6760
69,1880;1,0708;60,3400;1,6377
69,3180;1,0603;55,1100;1,9250
70,0800;1,0321;58,5200;1,8422
70,5860;1,0155;57,9300;1,7915
69,9400;1,0331;55,1500;1,9264
70,3740;1,0205;54,0300;2,0769
70,5620;1,0139;56,2100;1,9438
71,1600;0,9938;59,1100;1,6434
71,6660;0,9770;57,8200;1,9706
71,7480;0,9663;61,9500;1,6039
71,9940;0,9593;59,0100;1,7478
72,4420;0,9483;60,8700;1,6979
72,5660;0,9394;63,4800;1,4716
73,3840;0,9155;58,7300;1,8532
73,7260;0,9043;62,7400;1,4827
73,8520;0,8902;63,6600;1,4757
73,9860;0,8823;58,3300;1,8856
74,4680;0,8707;56,2300;2,0834
74,8980;0,8564;60,9800;1,8303
75,0560;0,8433;59,4900;1,8820
75,5140;0,8332;64,9100;1,4812
76,2320;0,8094;65,0200;1,4904
76,2320;0,7985;63,1700;1,6377
76,6500;0,7857;60,1800;1,8468
77,1360;0,7663;63,2000;1,6193
77,6720;0,7626;65,7800;1,5726
78,1820;0,7359;67,3000;1,3800
78,6520;0,7171;57,4600;2,2025
79,1460;0,7047;66,8000;1,3504
79,5600;0,6879;65,7100;1,5383
79,8740;0,6744;66,7200;1,4213
80,4360;0,6535;65,1700;1,5317
81,0740;0,6318;66,7500;1,4920
81,6160;0,6145;66,7500;1,4790
82,7000;0,5770;68,1400;1,4251
82,9500;0,5711;67,5500;1,4542
83,5280;0,5464;68,7900;1,3438
84,2380;0,5292;70,3200;1,2626
84,6220;0,5192;69,6000;1,3420
85,2940;0,4901;68,0600;1,3600
86,1080;0,4650;69,9100;1,3144
86,5500;0,4496;69,6000;1,3361
87,4280;0,4255;70,1800;1,3853
87,8680;0,4118;72,6600;1,2140
88,3780;0,3894;72,1200;1,2389
89,0460;0,3696;72,9100;1,1774
89,6560;0,3493;72,7000;1,3123
90,6180;0,3243;73,2800;1,2420
90,9060;0,3153;72,4900;1,2703
91,5740;0,2913;75,2500;1,1019
92,0600;0,2724;74,2900;1,2113
92,4160;0,2648;74,8300;1,1844
92,9100;0,2516;74,1400;1,1728
93,4440;0,2305;75,1300;1,1278
93,9380;0,2184;75,0900;1,1597
94,4060;0,2054;75,1800;1,1446
94,5780;0,1989;75,4400;1,1404
94,7380;0,1921;75,4500;1,1974
95,1300;0,1789;76,0100;1,1124
95,5600;0,1664;76,2000;1,1378
95,5520;0,1656;76,4500;1,1046
95,8560;0,1580;76,5600;1,0893
95,9320;0,1539;76,7500;1,1372
96,0720;0,1526;76,5500;1,1155
96,1900;0,1466;76,4100;1,1224
96,2540;0,1467;76,5500;1,1250
96,3860;0,1416;76,3000;1,1069
96,2160;0,1442;76,4300;1,1164
96,1880;0,1465;76,6300;1,0844
