train_accuracy;train_loss;valid_accuracy;valid_loss
7,6580;4,0457;6,0800;4,6305
14,5480;3,5488;14,8400;3,7940
21,9760;3,1454;12,8600;4,4140
28,3540;2,7994;7,9100;6,2594
33,9980;2,5183;19,1100;4,3657
38,9320;2,2822;20,8500;4,4087
43,2620;2,0923;22,0100;4,6646
47,5700;1,9222;32,9300;3,2767
51,1800;1,7734;27,4600;4,1395
53,4600;1,6819;31,3600;3,6803
39,6240;2,2527;18,5400;5,3649
44,7660;2,0100;27,8300;4,1998
48,5280;1,8736;32,4400;3,2696
50,9940;1,7631;28,6300;3,7797
53,5920;1,6512;36,0000;3,0620
56,0660;1,5607;36,0200;3,2432
58,1560;1,4757;46,7700;2,3092
60,0680;1,3998;46,9300;2,7646
62,1640;1,3198;51,0500;2,1225
64,0360;1,2477;51,2200;2,1897
66,0740;1,1698;48,1000;2,4186
68,2520;1,0875;54,2700;2,0107
70,2200;1,0093;59,2700;1,7432
72,0960;0,9420;61,0200;1,7667
74,6420;0,8573;62,7600;1,6618
76,6640;0,7840;64,2500;1,6243
78,6540;0,7149;65,7000;1,5666
80,5080;0,6564;66,4200;1,5101
81,4000;0,6217;67,0300;1,5653
82,2120;0,6015;66,6400;1,5183
58,6720;1,4479;46,2100;2,4414
61,8240;1,3272;49,2100;2,1724
63,3560;1,2794;47,7100;2,3559
64,4800;1,2307;47,9800;2,2942
65,2680;1,1972;43,6800;2,7602
66,1380;1,1624;54,4400;1,9455
66,9120;1,1307;53,7700;1,8684
67,7740;1,0997;53,4900;1,9051
68,9160;1,0588;57,1300;1,7945
69,3840;1,0358;53,9000;1,9880
69,9060;1,0195;49,6500;2,2707
71,1760;0,9773;54,3100;1,9965
71,8380;0,9527;58,0400;1,7639
72,1020;0,9398;61,0200;1,5352
73,2640;0,8950;60,4000;1,5981
74,0820;0,8691;60,0100;1,6725
75,3180;0,8242;61,0500;1,6539
76,1620;0,7956;62,1200;1,6001
77,4480;0,7491;62,3100;1,5971
78,5680;0,7142;64,9100;1,5052
79,0220;0,6880;63,1500;1,5998
80,4100;0,6427;64,8500;1,5012
81,5080;0,6095;65,0800;1,5782
83,1660;0,5485;65,1600;1,6271
84,3160;0,5139;65,1900;1,6129
85,5260;0,4732;62,7100;1,7255
86,7880;0,4353;67,3800;1,4953
88,1160;0,3897;68,5700;1,4157
89,2780;0,3515;69,4500;1,3972
90,9100;0,3101;68,0800;1,4866
92,0340;0,2760;70,7200;1,3393
92,9840;0,2426;70,6300;1,3681
93,9060;0,2203;71,3000;1,4168
94,7520;0,1933;71,8700;1,3349
95,3260;0,1786;72,1000;1,3368
95,7240;0,1646;72,0100;1,3243
96,0680;0,1533;72,0500;1,3395
96,3300;0,1455;72,5700;1,3547
96,3580;0,1443;72,6900;1,2719
96,5740;0,1398;72,5200;1,3215
64,1280;1,2403;49,2300;2,3131
68,1980;1,0871;45,6400;2,5885
69,7060;1,0270;53,0800;2,0509
70,7200;0,9865;50,2000;2,1836
71,5620;0,9602;56,8800;1,8158
72,1900;0,9325;42,5200;2,7806
72,0800;0,9408;57,0800;1,7723
73,4960;0,8922;56,4700;1,8787
73,2960;0,8934;58,3700;1,7368
73,5060;0,8848;50,3100;2,4003
74,3380;0,8617;55,5400;2,0770
74,6040;0,8539;62,0000;1,6018
74,6320;0,8444;54,7000;1,9673
75,2460;0,8267;52,6400;2,2874
75,0160;0,8362;58,9000;1,9061
75,5460;0,8195;60,8900;1,7469
75,8820;0,8037;60,5900;1,7313
76,7060;0,7742;60,6100;1,6764
76,5100;0,7794;59,0000;1,9525
77,3400;0,7563;52,8900;2,2625
77,3180;0,7533;57,6800;1,8715
77,3020;0,7495;52,7300;2,3057
78,0620;0,7286;54,3000;2,2686
78,4040;0,7184;64,1400;1,5343
78,9820;0,6944;62,5700;1,6564
79,0860;0,6939;60,1400;1,8834
79,4120;0,6845;60,3800;1,8239
79,4580;0,6750;58,3900;1,9454
80,1340;0,6495;54,7600;2,3222
80,8400;0,6279;59,2000;1,9924
81,2540;0,6137;63,4500;1,5807
81,7380;0,6029;62,1000;1,7178
81,9880;0,5902;61,3300;1,8745
82,8720;0,5637;58,6000;1,8967
82,8840;0,5605;62,1600;1,7879
83,2340;0,5452;62,0900;1,7674
84,2200;0,5107;60,6700;1,8477
84,6520;0,5034;58,6500;2,0299
84,6120;0,5022;63,4100;1,7595
85,6520;0,4679;64,6400;1,6845
86,2080;0,4526;62,7000;1,8439
86,7200;0,4350;65,3700;1,7198
87,1600;0,4208;63,2700;1,8328
87,6020;0,4067;65,5300;1,6596
88,5400;0,3788;64,2000;1,7405
88,7320;0,3703;63,3200;1,8277
89,9120;0,3348;66,6700;1,6619
90,6900;0,3138;64,3700;1,8206
91,2220;0,2942;68,4100;1,5021
91,7980;0,2779;65,5700;1,8015
92,1360;0,2670;64,9500;1,7670
92,9760;0,2394;67,5000;1,6138
93,8640;0,2131;69,0800;1,4905
93,9900;0,2068;69,3400;1,5054
94,7880;0,1864;68,4300;1,6434
95,0440;0,1776;69,0600;1,5402
95,7760;0,1543;66,9500;1,7150
96,2360;0,1420;68,6600;1,5838
96,7780;0,1271;70,8200;1,5163
97,0340;0,1154;70,3800;1,4954
97,3340;0,1071;70,1700;1,5004
97,6220;0,0968;70,4700;1,5527
97,9400;0,0874;71,2700;1,5216
98,1880;0,0796;70,9800;1,5388
98,5020;0,0709;71,2400;1,4808
98,6180;0,0665;71,9700;1,4560
98,5860;0,0647;71,8100;1,5174
98,8800;0,0563;72,5600;1,4098
98,9280;0,0542;72,3000;1,4266
99,1800;0,0483;72,7100;1,4181
99,0860;0,0490;72,2700;1,4711
99,1200;0,0463;72,6000;1,4058
99,2340;0,0434;72,4800;1,4471
99,2360;0,0427;72,4700;1,4210
99,3200;0,0413;72,2900;1,4735
99,3460;0,0406;72,5300;1,4209
99,2880;0,0403;72,4300;1,4175
99,3640;0,0393;72,3400;1,4300
99,3660;0,0393;72,2900;1,4590
99,3960;0,0388;72,3200;1,4205
