train_accuracy;train_loss;valid_accuracy;valid_loss
59,5380;1,4194;46,6200;2,7723
61,3800;1,3578;53,7100;2,0585
63,4260;1,2710;58,7400;1,6937
65,3120;1,2041;49,1400;2,6380
67,0380;1,1436;58,5200;1,8461
69,5340;1,0530;59,1700;1,8377
71,2760;0,9856;62,3100;1,7430
73,1120;0,9242;62,6500;1,6897
74,4540;0,8723;62,7400;1,7422
75,4360;0,8383;64,2300;1,6316
75,9640;0,8219;64,7400;1,6160
54,7880;1,6136;36,5900;3,1548
57,6540;1,4949;50,8700;2,1936
59,1940;1,4490;46,3600;2,3482
60,1880;1,4062;42,5100;2,8155
61,1220;1,3697;49,0900;2,3109
61,6900;1,3400;49,7000;2,3729
62,2940;1,3198;53,7900;2,0152
63,1100;1,2890;45,2900;2,4806
63,9680;1,2538;56,7500;1,7264
64,5860;1,2286;57,6800;1,6796
65,3420;1,2080;54,5400;1,8436
65,8020;1,1846;55,6700;1,8871
66,9280;1,1423;53,5800;1,9363
67,3540;1,1275;57,7300;1,8777
68,2220;1,0948;59,5700;1,7050
69,3200;1,0618;62,1000;1,5271
69,7520;1,0357;59,4300;1,7061
71,0000;0,9978;55,5400;2,0153
71,5040;0,9693;63,2800;1,5184
72,5480;0,9376;62,2300;1,5360
73,7520;0,8971;64,0000;1,4684
74,6760;0,8584;63,9800;1,5597
75,7820;0,8188;66,5600;1,3868
76,6600;0,7848;65,3200;1,4209
77,6360;0,7517;66,9300;1,3746
78,6500;0,7126;65,1900;1,4862
79,9660;0,6646;67,9700;1,3586
81,7220;0,6155;68,0700;1,3769
82,6520;0,5816;69,3500;1,2815
83,9320;0,5410;70,3400;1,3294
84,9860;0,5042;69,7300;1,3407
86,1160;0,4719;71,1200;1,3100
87,2420;0,4355;71,2200;1,3591
87,9020;0,4059;71,8100;1,2452
89,1680;0,3767;72,6400;1,2260
89,9520;0,3540;72,9400;1,2390
90,0700;0,3439;72,9200;1,2159
90,6640;0,3296;73,5000;1,1786
90,8780;0,3214;73,4800;1,1831
90,9060;0,3180;73,4600;1,1572
60,4020;1,3890;44,8500;2,6130
63,6600;1,2588;52,7000;2,0894
64,8300;1,2225;48,4900;2,3544
65,9320;1,1768;58,7600;1,7073
67,1060;1,1389;51,7100;2,1455
67,1920;1,1379;50,3000;2,2914
67,6100;1,1215;56,7400;1,7730
68,1320;1,0962;53,2600;2,1570
68,1340;1,0974;54,1900;2,2204
69,1020;1,0638;51,5300;2,1406
68,9800;1,0629;59,2700;1,6695
69,3760;1,0474;57,1500;1,7984
69,6140;1,0377;55,4200;2,0857
69,7440;1,0410;57,5000;1,7799
70,6180;1,0057;58,0700;1,8292
70,3720;1,0095;58,8100;1,7934
70,5840;1,0072;58,4700;1,7785
71,0020;0,9965;60,8100;1,6244
71,7700;0,9682;50,0200;2,4473
71,6380;0,9698;58,1800;1,8849
72,1980;0,9503;59,6000;1,7082
72,0120;0,9526;60,5800;1,6881
72,6620;0,9335;54,9700;2,0649
73,1060;0,9191;60,3800;1,6767
73,4100;0,9069;59,4600;1,7905
73,5060;0,9031;55,4300;2,0030
74,0360;0,8824;61,1900;1,6881
74,2200;0,8723;59,8900;1,8326
75,2080;0,8432;61,2400;1,8215
74,9720;0,8394;60,0300;1,8886
75,4560;0,8315;58,9800;1,9288
75,9200;0,8130;55,3300;2,1376
76,1240;0,8033;64,2200;1,5020
76,3120;0,7941;61,4700;1,6708
76,9220;0,7776;63,1400;1,5964
77,6940;0,7608;58,4300;1,9695
78,2960;0,7285;65,4000;1,4654
78,7000;0,7171;62,5700;1,7242
78,7860;0,7100;63,2000;1,6383
79,8960;0,6711;65,3600;1,5080
80,0440;0,6713;63,6100;1,6603
80,3120;0,6548;66,0900;1,4927
81,1720;0,6292;60,2700;2,0039
81,2660;0,6240;57,1400;2,1487
81,9100;0,6017;68,2400;1,4032
82,9540;0,5690;66,2500;1,5556
83,8960;0,5403;66,2800;1,5901
84,2320;0,5282;67,1800;1,4942
84,8120;0,5142;67,0300;1,5283
85,2860;0,4928;67,6000;1,4910
86,0520;0,4657;65,8000;1,5793
86,6560;0,4503;68,0400;1,5255
87,1100;0,4302;69,5300;1,4749
87,8800;0,4082;69,3300;1,4225
88,7560;0,3840;69,2500;1,4787
89,2960;0,3613;70,3900;1,3856
89,8020;0,3419;70,2400;1,4229
90,6520;0,3197;68,9700;1,4803
91,2020;0,2984;68,3000;1,6301
91,8700;0,2839;70,6500;1,4145
92,3040;0,2691;70,6300;1,4370
92,7660;0,2536;70,6400;1,4634
93,3280;0,2415;71,5500;1,4145
93,7680;0,2206;71,9200;1,3661
94,2980;0,2046;72,3400;1,3466
94,6560;0,1961;72,4200;1,3664
95,0800;0,1841;71,7500;1,4547
95,3480;0,1751;73,3200;1,3759
95,5520;0,1687;73,3500;1,3476
95,8780;0,1573;73,6300;1,3465
95,9840;0,1545;73,6800;1,3568
96,3380;0,1451;73,7100;1,3244
96,4820;0,1391;73,9500;1,3133
96,4860;0,1370;73,9300;1,3331
96,5620;0,1350;73,9500;1,3047
96,7260;0,1328;74,2200;1,2634
96,8560;0,1287;74,1800;1,2989
96,8700;0,1263;74,0800;1,3148
96,8360;0,1259;73,9500;1,3440
96,7820;0,1257;73,7300;1,3722
