train_accuracy;train_loss;valid_accuracy;valid_loss
6,9060;4,0711;4,9500;5,1135
14,6660;3,5498;11,0800;4,0480
21,7320;3,1519;16,3300;3,5950
28,8360;2,7766;17,8100;4,1463
35,1820;2,4591;22,7300;3,6551
41,0000;2,1897;23,4600;3,9914
46,3060;1,9610;23,7500;4,2728
50,7900;1,7757;34,7500;3,2131
54,3740;1,6251;34,4600;3,4967
56,9520;1,5280;35,2800;3,4785
43,2100;2,0830;29,3500;3,4985
48,3780;1,8634;34,2200;3,2554
51,9960;1,7042;34,9000;3,4433
54,8440;1,5880;30,5900;3,8306
57,6920;1,4781;40,0400;2,7956
59,8220;1,4004;42,1100;2,7043
62,0820;1,3122;50,7300;2,1111
64,1140;1,2313;47,9100;2,4188
66,3800;1,1494;55,0600;1,9047
68,6060;1,0687;52,7000;2,2636
70,4160;1,0033;57,0200;1,9534
72,5880;0,9213;55,8700;2,0070
74,9720;0,8394;58,2400;1,8770
77,2400;0,7607;59,8500;1,9122
79,5160;0,6806;64,1700;1,6389
81,7100;0,6072;64,7400;1,6760
83,5140;0,5492;66,4000;1,6032
85,2360;0,4961;66,7400;1,5430
86,3600;0,4595;67,1900;1,5631
87,0660;0,4436;67,8200;1,5617
62,2320;1,2991;50,9500;2,0872
65,4480;1,1737;52,3200;2,0158
67,1660;1,1149;51,5100;2,0083
68,5280;1,0667;52,1400;2,0648
69,4520;1,0380;45,7100;2,5769
70,3700;1,0003;51,2900;2,1784
71,0940;0,9740;56,4100;1,7621
72,3760;0,9325;53,0200;2,0365
72,4840;0,9200;55,2500;1,9127
73,6860;0,8858;60,3800;1,6291
74,1680;0,8610;52,9500;2,2651
74,6600;0,8433;57,7700;1,8961
75,4180;0,8124;53,3900;2,1878
76,9320;0,7676;61,6100;1,6377
77,3420;0,7457;58,1200;1,8924
78,6620;0,7032;60,3400;1,8646
79,2180;0,6816;58,9400;1,8300
80,6040;0,6412;64,0100;1,5104
81,3840;0,6045;63,6300;1,6106
82,3580;0,5726;63,5800;1,5705
83,5180;0,5355;64,4600;1,5689
85,1100;0,4864;64,5900;1,5511
86,2860;0,4485;67,6800;1,3817
87,3260;0,4140;68,0300;1,3887
88,6440;0,3728;68,2600;1,3896
89,5620;0,3423;66,7300;1,5810
90,7800;0,3011;68,9400;1,4034
92,1260;0,2652;70,9500;1,3395
93,4660;0,2259;71,0600;1,3517
94,6780;0,1913;71,8900;1,3112
95,5100;0,1655;72,4000;1,3291
96,3740;0,1388;72,1900;1,2842
97,0640;0,1211;73,0800;1,2742
97,4180;0,1078;72,2700;1,3253
97,8220;0,0962;73,6600;1,3478
98,2100;0,0881;73,2700;1,3183
98,2600;0,0837;73,3300;1,2874
