train_accuracy;train_loss;valid_accuracy;valid_loss
7,4000;4,0527;7,5600;4,1455
14,2160;3,5520;7,0000;4,9564
21,3040;3,1732;16,9200;3,7316
27,5020;2,8240;19,5000;3,7462
33,5580;2,5434;18,6600;4,2362
38,7200;2,3038;23,3800;3,9985
43,2220;2,0995;34,1500;3,0404
47,6560;1,9151;27,7500;4,0721
50,9780;1,7758;35,0300;3,3145
53,6260;1,6766;31,7100;3,7012
40,1860;2,2210;27,0300;3,6056
45,4280;1,9933;34,5800;3,1278
48,9220;1,8458;21,6400;5,3209
51,8660;1,7254;34,8100;3,2611
54,1080;1,6335;41,8700;2,6351
56,2540;1,5511;39,4200;2,7991
58,7460;1,4512;39,6300;3,2208
60,5420;1,3727;46,5200;2,4864
62,5120;1,3059;43,9600;2,6968
64,4380;1,2279;43,2700;2,8554
66,3480;1,1560;52,9900;2,0948
68,6900;1,0710;43,5300;3,0315
70,6980;0,9981;57,5500;1,8645
72,8600;0,9101;59,6800;1,7650
74,8720;0,8447;56,5600;2,0203
76,9340;0,7716;57,5700;2,0634
79,1260;0,7014;63,2600;1,6743
80,8220;0,6466;62,9900;1,7743
81,9800;0,6102;62,8300;1,7620
82,6300;0,5897;63,3500;1,8076
59,1460;1,4261;42,1600;2,8040
61,7720;1,3222;39,9500;3,5066
63,3780;1,2597;46,8700;2,3158
64,8420;1,2148;43,4700;2,6646
65,2980;1,1920;47,8900;2,3159
66,0020;1,1672;42,7500;2,7602
67,5400;1,1131;46,8200;2,4511
68,1340;1,0840;52,7500;1,9420
68,8960;1,0655;38,3000;3,3291
69,9180;1,0309;52,6400;2,0802
70,1480;1,0019;49,7600;2,2479
71,1720;0,9602;56,4500;1,8933
71,9940;0,9488;55,4100;1,9633
72,8380;0,9122;52,3500;2,1158
73,6520;0,8902;52,2900;2,2226
74,6880;0,8492;57,5100;1,8688
75,4100;0,8222;56,3900;1,9138
76,4160;0,7885;57,5000;1,8524
78,0440;0,7333;58,1500;1,8518
78,4820;0,7131;58,9800;1,7824
79,8020;0,6675;57,2600;2,0536
80,5440;0,6386;62,5200;1,6959
81,8800;0,5998;57,5700;2,0653
82,9460;0,5619;62,0900;1,6884
84,2120;0,5201;60,8100;1,8098
85,6220;0,4730;63,5100;1,6824
86,8920;0,4312;63,7700;1,6623
88,3740;0,3820;65,3600;1,6216
89,8100;0,3419;66,5400;1,5770
90,9220;0,3048;66,4000;1,6284
92,2680;0,2672;65,9800;1,6643
93,0920;0,2431;67,6500;1,5439
94,1100;0,2123;68,5700;1,5263
94,8720;0,1898;69,3000;1,4419
95,4540;0,1727;69,5700;1,4559
96,0420;0,1581;70,0100;1,5052
96,3000;0,1466;69,5300;1,4812
96,3560;0,1442;69,6000;1,5061
96,7160;0,1369;69,9300;1,4933
96,7900;0,1338;69,7200;1,4905
64,2020;1,2389;44,9800;2,6971
68,4380;1,0771;44,4800;2,6232
69,5720;1,0317;41,0100;3,1728
70,8800;0,9848;48,6000;2,4148
71,6860;0,9517;53,6600;2,0718
72,7800;0,9139;51,2100;2,1130
72,5160;0,9237;50,2400;2,1754
73,2960;0,8984;53,2400;2,0794
73,5680;0,8923;54,6400;2,1590
73,8480;0,8816;59,8700;1,6703
74,5260;0,8556;46,8600;2,7480
74,4860;0,8486;57,1400;1,8751
75,2180;0,8313;52,4500;2,1841
75,1480;0,8248;53,4300;2,2716
75,5360;0,8167;49,9800;2,2629
75,5040;0,8154;56,1800;2,0095
76,2180;0,7930;48,7700;2,5479
76,4340;0,7824;57,0600;1,9989
76,9520;0,7650;53,7000;2,1199
77,7260;0,7417;50,4700;2,3908
77,0320;0,7545;56,3000;1,9964
77,8880;0,7346;54,5100;2,2060
78,3380;0,7230;46,3600;2,8003
78,2820;0,7198;61,3000;1,6933
78,8420;0,6947;53,9000;2,1989
79,3540;0,6799;57,0100;2,1608
79,9040;0,6605;55,3700;2,1665
79,9660;0,6632;57,8000;1,9456
80,3120;0,6485;59,1700;1,9455
80,6200;0,6416;52,0700;2,3978
81,5960;0,6090;55,7300;2,2207
81,4400;0,6069;59,3300;1,8379
82,2840;0,5820;50,1300;2,7390
82,7700;0,5687;55,0300;2,3386
82,8160;0,5595;57,9000;2,0321
84,1460;0,5137;53,1400;2,4653
84,1160;0,5177;57,4900;2,0967
84,6900;0,4960;57,2700;2,1893
85,0140;0,4870;60,0500;1,9049
85,8960;0,4596;59,7100;1,9909
86,3440;0,4520;60,7400;1,9718
87,0260;0,4253;58,9200;2,1490
87,6280;0,4064;58,5000;2,1649
87,8660;0,3967;63,6800;1,7148
88,9980;0,3596;58,2500;2,1140
89,3180;0,3515;64,7100;1,7274
90,1240;0,3295;65,1700;1,6322
90,6620;0,3131;63,5000;1,8017
91,0340;0,2980;65,4400;1,6857
92,0140;0,2677;64,9100;1,7159
92,6200;0,2499;63,3400;1,8773
93,2960;0,2284;64,8300;1,7936
93,6000;0,2180;66,3000;1,7349
94,8080;0,1840;66,4300;1,7980
95,0080;0,1790;65,3900;1,8252
95,6720;0,1608;66,0700;1,8724
96,2540;0,1392;67,4000;1,7045
96,6160;0,1282;67,3500;1,7634
97,1760;0,1118;67,7800;1,7444
97,3940;0,1042;68,2100;1,7111
97,6140;0,0982;67,4500;1,7689
98,0740;0,0840;68,7700;1,7079
98,3260;0,0769;68,7500;1,6488
98,5440;0,0694;69,3400;1,6469
98,7640;0,0623;69,6300;1,6604
98,9080;0,0571;69,8800;1,5988
99,0640;0,0521;70,9600;1,5557
99,1480;0,0481;69,9000;1,6364
99,2480;0,0455;69,4100;1,6768
99,3340;0,0429;69,9500;1,5723
99,3540;0,0417;70,5300;1,6048
99,3420;0,0406;70,0200;1,6409
99,4420;0,0386;70,1900;1,5976
99,4740;0,0359;70,3600;1,5876
99,5140;0,0360;70,4800;1,5620
99,5180;0,0349;70,7500;1,5768
99,4900;0,0355;70,2200;1,5664
99,5520;0,0339;70,3600;1,5833
99,5440;0,0338;70,7300;1,6141
99,4740;0,0346;70,4300;1,6099
