train_accuracy;train_loss;valid_accuracy;valid_loss
4,5250;4,8266;6,3500;4,6800
11,1850;4,2100;13,9000;3,9322
17,0680;3,7990;19,0800;3,6124
20,9230;3,5361;20,4300;3,6059
25,4460;3,2959;26,8000;3,2363
28,2250;3,1353;28,6700;3,0678
31,8860;2,9341;32,9100;2,8341
34,8190;2,7819;36,2800;2,6538
38,2060;2,6147;41,0700;2,4324
39,8390;2,5390;41,2500;2,4375
27,0290;3,2134;24,5200;3,5704
30,2540;3,0296;27,3500;3,2664
32,0100;2,9337;15,0500;4,5426
34,2860;2,8173;36,8300;2,6359
37,1630;2,6573;34,2000;2,8215
37,3240;2,6529;37,7200;2,6165
38,0490;2,6302;38,7100;2,6236
40,2470;2,5168;35,1800;2,8648
42,2390;2,4152;43,5100;2,3266
42,9010;2,3793;44,3000;2,3108
44,7440;2,2851;40,1400;2,5662
47,2280;2,1787;38,7400;2,6738
48,0530;2,1478;49,4700;2,0456
50,8680;2,0057;50,3900;2,0611
52,6010;1,9559;53,2500;1,9103
54,9820;1,8237;52,8900;1,9765
56,7730;1,7531;54,8100;1,8273
59,1300;1,6351;56,3400;1,8115
62,1770;1,5125;56,8300;1,7870
62,4720;1,5152;57,2100;1,7418
38,5590;2,5945;34,9200;2,8175
40,0290;2,5150;38,7400;2,5931
41,4120;2,4498;25,1600;3,7667
40,8370;2,5074;37,7500;2,6704
42,2530;2,4107;37,3800;2,7572
42,8760;2,3847;41,1200;2,4971
43,2000;2,3712;38,9700;2,6616
44,0390;2,3328;43,4800;2,3823
45,0520;2,2959;35,4300;2,8895
42,8790;2,4272;36,3600;2,7743
44,5970;2,3065;43,9000;2,3811
45,7810;2,2607;40,7800;2,5001
45,6090;2,2544;43,0900;2,4512
48,1120;2,1325;41,2500;2,4853
47,9540;2,1370;46,4100;2,3038
47,0300;2,1887;49,0300;2,1104
51,3920;1,9761;34,7600;3,0566
49,1410;2,0937;41,1700;2,5912
51,3350;1,9831;46,6200;2,2743
52,4700;1,9253;50,7900;2,0256
