train_accuracy;train_loss;valid_accuracy;valid_loss
6,7810;4,5816;9,2100;4,5093
18,0340;3,6842;18,9200;3,6550
25,9540;3,1982;25,3800;3,2495
32,0220;2,8752;27,8700;3,1795
36,6440;2,6357;32,9400;2,8523
41,2730;2,4165;38,7900;2,5401
45,5340;2,2116;40,0200;2,5029
50,1330;2,0142;44,7600;2,2834
54,0530;1,8383;47,7100;2,1376
57,3050;1,7012;49,8000;2,0677
38,7920;2,5213;35,7400;2,7675
43,1220;2,3202;38,2000;2,5919
45,5340;2,2074;36,3700;2,7249
47,5410;2,1069;36,6800;2,7400
49,4180;2,0253;40,4800;2,5531
51,1290;1,9478;40,8600;2,5062
53,0370;1,8621;44,9200;2,3376
54,5320;1,7803;44,8200;2,3039
56,6570;1,6943;45,4900;2,2962
58,8910;1,6020;46,6300;2,2188
60,8670;1,5065;48,0900;2,1463
63,5140;1,3926;48,0700;2,2015
66,4570;1,2758;51,2400;2,0819
69,5210;1,1522;53,8200;1,9258
72,7950;1,0229;54,3200;1,9388
76,5610;0,8810;55,6200;1,8854
80,1720;0,7493;57,4100;1,8662
83,5330;0,6339;57,5800;1,8278
85,9210;0,5564;58,2000;1,8024
87,4940;0,5093;58,6100;1,7931
47,4270;2,0979;36,9200;2,8324
52,8540;1,8572;40,7100;2,5219
54,4230;1,7890;42,7800;2,4578
55,5440;1,7380;40,9900;2,5838
56,1700;1,7136;42,2000;2,5377
56,7040;1,6876;41,8000;2,5069
57,3730;1,6613;44,6600;2,4501
57,9590;1,6316;43,1800;2,4564
58,5980;1,6054;44,5000;2,4000
59,2530;1,5734;41,7900;2,5491
60,2110;1,5318;43,9000;2,4425
60,5000;1,5218;46,5000;2,2869
61,5060;1,4777;46,4400;2,2350
62,3470;1,4414;48,7500;2,1892
63,1690;1,4003;45,4200;2,3843
64,0790;1,3598;45,5800;2,4541
65,1310;1,3200;48,7200;2,1971
66,2960;1,2701;48,9000;2,1655
67,3440;1,2270;49,9800;2,1349
68,5210;1,1743;51,0400;2,0579
69,8990;1,1201;52,1600;2,1251
71,4800;1,0547;48,6900;2,2654
73,0600;0,9930;51,5100;2,0519
74,6490;0,9292;48,3200;2,3831
76,2010;0,8640;53,9500;2,0172
78,3370;0,7851;54,2300;2,0498
80,5250;0,7095;55,4400;1,9938
82,8220;0,6254;55,7700;1,9905
84,9700;0,5496;57,1700;1,9562
87,4470;0,4650;57,6600;1,9231
89,7900;0,3860;58,5800;1,9395
92,0900;0,3093;59,4300;1,9094
93,9780;0,2510;60,2700;1,8469
95,6530;0,1966;60,4400;1,8383
96,7030;0,1619;60,4000;1,8382
97,4700;0,1365;60,8200;1,8411
97,9610;0,1183;61,2700;1,8522
98,3160;0,1071;61,2800;1,8520
98,4620;0,1016;61,2500;1,8553
98,5170;0,0987;61,2500;1,8591
48,4360;2,0735;41,8100;2,5878
55,4280;1,7321;44,3200;2,4178
57,8820;1,6293;43,0000;2,5032
58,9350;1,5801;43,1500;2,4860
59,7350;1,5507;42,4500;2,4903
60,1960;1,5248;45,6700;2,3465
60,6100;1,5114;44,2100;2,3442
60,8000;1,5011;41,8400;2,6172
61,2130;1,4824;47,6800;2,2771
61,4980;1,4714;48,0900;2,2415
61,9160;1,4561;41,6500;2,5612
62,0570;1,4508;41,5500;2,6119
62,3130;1,4368;47,6500;2,2197
62,7410;1,4231;46,4700;2,2969
62,9570;1,4039;45,5600;2,4862
63,0640;1,4058;48,1800;2,2148
63,4920;1,3897;46,5500;2,2811
64,0100;1,3708;47,3000;2,3019
64,3450;1,3519;49,3000;2,2081
64,6280;1,3419;47,1600;2,3577
64,6430;1,3317;45,3700;2,3609
65,2880;1,3146;50,5400;2,1062
65,6840;1,2954;46,7900;2,3536
65,8280;1,2841;46,9000;2,3147
66,4530;1,2629;43,5100;2,4868
66,4770;1,2533;49,0800;2,1687
67,1580;1,2252;48,6000;2,1681
67,4710;1,2176;49,9900;2,1628
68,2490;1,1855;49,0100;2,2324
68,6370;1,1705;51,0100;2,0950
68,7880;1,1561;50,1600;2,1311
69,6590;1,1255;51,1600;2,1562
70,3260;1,1006;46,1800;2,4101
70,8080;1,0765;49,6700;2,1162
71,2370;1,0588;47,9600;2,3145
71,6110;1,0399;47,9500;2,3472
72,6180;1,0016;52,1600;2,1370
73,1620;0,9777;49,1200;2,2990
73,6520;0,9568;52,0600;2,1281
74,5090;0,9230;52,5400;2,0839
75,3400;0,8928;53,5900;2,0316
76,1110;0,8620;50,9900;2,2382
76,8300;0,8306;53,2600;2,0968
77,7340;0,7984;53,6600;2,0374
78,4270;0,7671;54,4800;2,0431
79,6050;0,7276;54,4000;2,0027
80,7710;0,6878;55,1900;2,0336
81,6620;0,6542;55,2100;2,0166
82,3780;0,6233;54,7100;2,0903
83,3820;0,5863;55,8000;1,9728
84,8180;0,5421;57,4000;1,8923
86,2160;0,4954;55,2100;2,0914
86,9450;0,4675;57,5200;1,9816
88,3110;0,4192;56,5700;2,0569
89,6720;0,3735;57,2200;1,9576
90,6190;0,3416;56,6300;2,0697
92,0640;0,2991;57,8100;1,9533
93,1630;0,2622;57,6300;2,0600
94,4560;0,2233;57,9100;2,0370
95,4170;0,1894;59,1900;1,9432
96,5530;0,1574;59,8900;1,9335
97,2370;0,1316;60,4200;1,9143
98,0320;0,1075;60,2700;1,9679
98,5330;0,0889;60,7400;1,8712
98,7620;0,0793;61,5000;1,8372
99,0710;0,0664;61,4800;1,8232
99,3140;0,0575;62,1700;1,8535
99,3790;0,0518;62,0700;1,7918
99,5440;0,0453;62,2800;1,8118
99,6070;0,0417;62,3800;1,7922
99,6590;0,0392;62,2600;1,7751
99,6930;0,0368;62,1900;1,8370
99,7130;0,0354;62,6500;1,7918
99,7340;0,0335;62,5000;1,7933
99,7490;0,0326;62,5900;1,7759
99,7700;0,0317;62,5800;1,7567
99,7850;0,0302;62,5600;1,8486
99,8010;0,0304;62,4300;1,7659
99,8030;0,0299;62,5300;1,7740
99,7770;0,0301;62,5800;1,7591
