train_accuracy;train_loss;valid_accuracy;valid_loss
4,4730;4,8322;4,8500;5,1467
11,0030;4,2210;13,9600;3,9390
16,7870;3,8127;11,2900;4,4794
21,2110;3,5280;21,6500;3,4037
25,1370;3,3043;26,7200;3,1994
28,5280;3,1134;31,9900;2,9043
31,7760;2,9326;32,9000;2,8214
35,1780;2,7689;38,5400;2,5448
38,3960;2,6154;43,3700;2,3108
40,1290;2,5237;44,6300;2,2871
27,5230;3,1689;28,1500;3,1049
30,5970;3,0040;33,9300;2,7891
32,4570;2,9003;35,4600;2,7307
34,0280;2,8219;34,8700;2,7777
35,3520;2,7508;39,5900;2,5461
37,1400;2,6641;39,6400;2,4861
38,6190;2,5871;35,8600;2,7512
40,0500;2,5164;40,0100;2,5377
41,5260;2,4388;44,7000;2,3004
43,1930;2,3596;43,9600;2,3536
44,7980;2,2811;44,7800;2,2973
46,7570;2,1964;47,2700;2,1900
48,6940;2,1020;51,1600;1,9705
50,8630;2,0052;52,6000;1,9275
52,9090;1,9069;53,6300;1,8543
55,0380;1,8162;56,2900;1,7690
57,3250;1,7209;57,6100;1,7144
59,1570;1,6345;58,7200;1,6636
60,8250;1,5741;58,7600;1,6620
61,7640;1,5323;59,5100;1,6064
37,1130;2,6693;34,5000;2,8539
40,5210;2,5026;33,3700;2,9864
41,3420;2,4538;33,2400;2,8990
41,8240;2,4287;42,3100;2,4401
42,6510;2,3885;40,7100;2,5569
43,4790;2,3601;43,6200;2,3607
43,9080;2,3388;40,9100;2,5784
44,2400;2,3116;44,3800;2,3695
44,7350;2,2877;44,8600;2,2779
45,2610;2,2625;45,1400;2,3110
45,8970;2,2366;45,9800;2,2401
46,6200;2,1939;44,0300;2,4031
47,1820;2,1686;44,8100;2,3541
47,9730;2,1385;45,9300;2,2647
48,5590;2,1054;47,7400;2,2161
49,0480;2,0842;50,1100;2,0414
49,8610;2,0459;49,9100;2,0905
50,9130;1,9990;50,5000;2,0589
51,3140;1,9740;44,9900;2,2808
52,2350;1,9341;53,3100;1,8791
53,2180;1,8862;53,7700;1,8867
54,4380;1,8356;51,2700;2,0213
55,3750;1,7934;53,4400;1,9108
56,2100;1,7505;53,8300;1,8916
57,6520;1,6949;55,3800;1,8422
58,5060;1,6486;56,2200;1,7930
59,7670;1,5978;57,7100;1,6641
61,3620;1,5312;58,9800;1,6703
62,5030;1,4772;59,7600;1,6574
63,9930;1,4136;60,7600;1,5857
65,3490;1,3559;60,3500;1,6037
67,1160;1,2940;61,5700;1,5762
68,6070;1,2294;62,9100;1,5566
70,1000;1,1707;63,2700;1,5400
71,4580;1,1171;63,9200;1,4875
72,8800;1,0712;64,4000;1,4335
73,7480;1,0292;64,7600;1,4498
74,8330;0,9930;64,8900;1,4553
75,3170;0,9773;64,9700;1,4522
75,4700;0,9652;65,0600;1,4652
39,2540;2,5555;39,2400;2,6005
44,5600;2,2953;41,9900;2,4803
45,8540;2,2321;41,3600;2,4972
46,4450;2,2089;44,7800;2,3608
47,0200;2,1800;44,3800;2,3617
47,1980;2,1644;40,0000;2,6402
47,4490;2,1532;38,7900;2,7215
47,5820;2,1479;44,9800;2,3157
48,1770;2,1305;43,7700;2,4008
48,1330;2,1311;44,5700;2,3171
48,0520;2,1266;49,8900;2,1004
48,4020;2,1108;44,9800;2,3081
48,8530;2,0984;48,9300;2,1573
48,9720;2,0884;44,8100;2,3496
49,1000;2,0801;47,9100;2,1368
49,4370;2,0634;47,7000;2,1828
49,5030;2,0609;46,4500;2,2245
49,7410;2,0490;47,2800;2,2208
49,8820;2,0459;50,7300;1,9605
50,0250;2,0325;48,4000;2,1314
50,2770;2,0252;47,9700;2,1344
50,4730;2,0161;49,7800;2,0767
50,9740;1,9935;48,7200;2,1778
51,2140;1,9802;49,8500;2,0583
51,7280;1,9644;51,0000;2,0264
51,8980;1,9507;47,7200;2,2179
52,1480;1,9418;47,7400;2,2087
52,3940;1,9335;45,0300;2,3402
52,8650;1,9163;51,8400;1,9872
52,9680;1,8994;51,2100;1,9766
53,3430;1,8854;53,3300;1,9537
53,9990;1,8591;52,4100;1,9560
54,1340;1,8559;51,1500;2,0117
54,4410;1,8296;51,8100;1,9651
54,7800;1,8165;52,4200;1,9697
55,3340;1,7984;53,6600;1,8767
55,5570;1,7790;55,8300;1,7748
56,3530;1,7477;48,5000;2,1179
56,6040;1,7321;53,8800;1,9158
57,1670;1,7133;54,9200;1,8382
57,4550;1,6911;57,5400;1,7630
57,9970;1,6660;55,6700;1,8340
58,5820;1,6464;54,2500;1,8593
58,8390;1,6356;56,8300;1,7674
59,5860;1,6034;55,4500;1,8166
