train_accuracy;train_loss;valid_accuracy;valid_loss
7,3600;4,5391;7,7200;4,6932
19,0520;3,6159;15,2500;4,0225
26,8980;3,1507;22,8300;3,4698
32,6460;2,8397;28,2700;3,0664
37,7060;2,5913;34,3200;2,7890
42,1150;2,3723;36,0700;2,6907
46,4560;2,1740;42,8800;2,4152
50,7540;1,9745;45,6500;2,2258
55,1430;1,7889;48,7300;2,1042
58,4310;1,6542;50,3100;2,0018
39,3800;2,4871;33,7600;2,8215
43,6950;2,2898;34,5600;2,8123
46,1790;2,1754;40,3400;2,5066
48,0550;2,0791;39,3700;2,6416
50,0190;1,9908;40,3500;2,5425
51,8750;1,9127;40,0700;2,5881
53,4720;1,8306;43,8900;2,3831
55,5310;1,7416;44,9700;2,3037
57,3860;1,6586;38,9700;2,6862
59,7130;1,5591;46,6500;2,2811
61,7670;1,4668;50,2100;2,0643
64,4290;1,3515;50,8400;2,0521
67,2470;1,2404;50,5800;2,0964
70,4700;1,1078;53,9700;1,9517
74,1390;0,9691;55,0700;1,9173
78,1030;0,8270;56,5600;1,8244
81,7310;0,6936;57,4700;1,8541
85,0710;0,5817;58,6400;1,8383
87,5470;0,5004;58,7800;1,8336
88,9620;0,4598;58,6200;1,8033
47,9270;2,0741;31,7900;3,1404
53,3690;1,8208;40,3900;2,5527
55,0100;1,7536;44,6200;2,4462
56,0720;1,7090;37,9200;2,8507
56,7910;1,6805;43,4600;2,3943
57,3690;1,6490;38,0900;2,7411
58,0720;1,6229;43,3700;2,4578
58,6460;1,5961;42,3600;2,4183
59,1740;1,5682;45,6600;2,3842
60,1690;1,5342;43,8900;2,4560
60,7270;1,5048;45,0300;2,4043
61,6370;1,4690;44,9400;2,4297
62,3230;1,4366;45,3700;2,3126
63,1740;1,3993;46,2300;2,2957
64,1610;1,3608;49,0100;2,1091
65,0950;1,3201;46,9600;2,3217
66,3280;1,2695;49,1800;2,2117
66,9490;1,2373;49,9000;2,1182
68,2140;1,1858;50,5400;2,1368
69,8180;1,1226;49,2100;2,2315
70,8730;1,0765;50,0100;2,1609
72,4580;1,0160;53,1400;2,0456
73,8710;0,9525;51,0400;2,2033
75,6510;0,8880;52,9200;2,0784
77,6670;0,8093;53,0500;2,0388
79,6090;0,7398;53,8000;2,1271
81,8060;0,6599;54,3100;2,1358
83,6620;0,5868;56,1500;1,9616
86,1490;0,5016;55,3700;2,0077
88,9470;0,4133;57,3000;1,9424
91,1690;0,3389;58,3900;1,9329
93,3990;0,2661;58,5500;1,9398
95,2020;0,2069;59,7000;1,8633
96,4840;0,1652;59,8600;1,8680
97,5620;0,1308;60,1200;1,9198
98,2050;0,1083;60,5400;1,8704
98,6000;0,0932;60,5200;1,8796
98,8450;0,0850;60,6700;1,9208
98,9820;0,0791;60,6700;1,8752
99,0390;0,0775;60,6800;1,9215
48,3440;2,0802;40,7900;2,6513
55,9180;1,7039;41,1900;2,5644
57,9960;1,6078;42,2600;2,4496
59,6080;1,5500;40,2000;2,7079
60,1750;1,5233;45,7900;2,2817
60,9810;1,4972;47,0000;2,2226
61,1540;1,4816;38,1800;2,7528
61,8070;1,4637;46,6100;2,3566
61,9310;1,4506;44,5800;2,4989
62,2180;1,4347;44,8900;2,3592
62,5560;1,4256;46,0100;2,3687
62,9310;1,4100;43,5600;2,4800
63,0120;1,4033;44,9200;2,4162
63,3980;1,3867;39,8900;2,7115
63,8340;1,3732;46,2000;2,4527
64,0170;1,3614;46,0000;2,4064
64,3220;1,3476;46,2000;2,2697
64,3400;1,3477;44,4100;2,4361
64,8030;1,3244;47,3000;2,2818
65,4090;1,3055;49,1600;2,1761
65,6420;1,2884;46,5000;2,3630
65,9330;1,2812;46,5700;2,3984
66,1790;1,2651;48,5700;2,2752
66,6360;1,2473;49,6700;2,2028
67,0530;1,2286;47,6000;2,2313
67,6280;1,2083;45,8500;2,3769
67,9390;1,1899;48,3000;2,2594
68,3310;1,1759;49,4600;2,2057
69,0670;1,1494;48,0700;2,3173
69,6740;1,1268;48,2300;2,2863
69,7190;1,1115;51,2800;2,0634
70,4950;1,0802;48,0900;2,3138
70,8660;1,0657;48,5900;2,2845
71,2920;1,0494;49,0400;2,2223
72,0230;1,0190;47,0900;2,3361
72,7170;0,9930;51,0000;2,2725
73,5100;0,9665;51,6600;2,1765
74,1450;0,9369;50,4700;2,2049
74,9930;0,9096;53,1500;2,0825
75,4730;0,8797;49,8900;2,1936
76,3750;0,8480;51,8400;2,1133
77,0810;0,8228;54,2400;2,0641
77,8370;0,7902;52,0700;2,1262
78,6830;0,7610;53,4300;2,0859
79,7560;0,7196;55,2900;2,0520
80,7010;0,6878;52,7300;2,1447
81,8150;0,6431;52,6100;2,1539
82,5880;0,6147;54,6700;2,0908
83,4910;0,5821;55,9800;2,0095
84,9020;0,5356;56,4000;2,0175
85,9600;0,4944;55,1100;2,0805
87,1030;0,4556;55,9600;2,0863
88,3680;0,4203;56,5100;2,0269
89,4830;0,3800;56,0400;2,0593
90,7250;0,3390;55,9900;2,0597
92,1190;0,2957;55,8900;2,1394
93,3450;0,2565;58,4100;1,9687
94,4530;0,2194;58,6700;1,9927
95,5560;0,1845;59,8700;1,9326
96,6790;0,1520;59,4100;1,9301
97,5750;0,1204;60,9100;1,9240
98,1910;0,1000;60,4200;1,9507
98,7540;0,0809;61,5400;1,8669
99,0990;0,0656;61,5100;1,8837
99,3470;0,0560;61,7200;1,8256
99,4790;0,0486;62,1600;1,7949
99,6240;0,0421;62,2400;1,7935
99,7040;0,0373;62,4400;1,8071
99,7560;0,0346;62,4900;1,8086
99,8150;0,0314;62,2500;1,7968
99,8360;0,0294;62,2900;1,8322
99,8560;0,0279;62,6300;1,7865
99,8720;0,0268;62,3600;1,7871
99,8730;0,0258;62,5600;1,8063
99,9040;0,0248;62,4800;1,7981
99,8920;0,0245;62,4900;1,7511
99,9160;0,0239;62,4200;1,7537
99,8930;0,0239;62,5000;1,7961
99,9070;0,0236;62,6000;1,7896
99,8990;0,0236;62,6100;1,7849
