train_accuracy;train_loss;valid_accuracy;valid_loss
7,1490;4,5521;7,2400;4,8041
18,5450;3,6396;18,4100;3,6712
26,4910;3,1702;26,0800;3,2061
32,4490;2,8465;28,4000;3,1239
37,4080;2,5988;33,4500;2,8569
41,9370;2,3820;36,0500;2,6143
46,2250;2,1780;43,1800;2,3713
50,7370;1,9828;45,7000;2,2608
54,8180;1,8013;48,2600;2,1266
58,2300;1,6672;50,2300;2,0403
39,5700;2,4888;34,7600;2,7687
43,6680;2,2907;34,3900;2,8108
46,0730;2,1803;36,4600;2,7496
48,1860;2,0807;41,8100;2,4095
49,8250;1,9964;42,0900;2,4431
51,9220;1,9054;41,5000;2,5293
53,7920;1,8241;38,7700;2,7173
55,5510;1,7408;45,3300;2,3119
57,4820;1,6545;44,4200;2,3699
59,4590;1,5621;48,8100;2,1469
62,2810;1,4550;43,5800;2,4433
64,7230;1,3502;51,4000;2,0374
67,3510;1,2341;51,3100;2,0547
70,6660;1,1003;54,4400;1,9038
74,3490;0,9627;54,9900;1,9193
78,1760;0,8188;56,2400;1,8454
82,0960;0,6826;57,0700;1,8445
85,3480;0,5709;58,3400;1,8166
87,7730;0,4915;58,9000;1,7948
89,0490;0,4523;59,0400;1,7892
47,8980;2,0713;38,6400;2,7368
53,5070;1,8180;39,6600;2,6579
55,2410;1,7461;40,8300;2,5786
56,1450;1,7106;41,3600;2,4983
56,8210;1,6806;37,4000;2,8045
57,5700;1,6474;41,5600;2,5778
58,0220;1,6253;43,4600;2,4592
58,8380;1,5885;45,4300;2,3183
59,7740;1,5533;42,9500;2,4640
60,1040;1,5353;45,9900;2,2887
60,9520;1,4974;45,0300;2,3710
61,8410;1,4618;47,7900;2,1751
62,7440;1,4285;48,2700;2,2337
63,4510;1,3876;50,0300;2,1300
64,3520;1,3500;45,4300;2,4127
65,1130;1,3168;49,8700;2,1420
66,1830;1,2750;46,8200;2,3884
67,4740;1,2240;51,6000;2,0349
68,5650;1,1743;48,5600;2,2719
69,6250;1,1254;49,9600;2,1595
71,0860;1,0636;51,0100;2,1351
72,6590;1,0051;51,0300;2,2056
74,1630;0,9435;54,7200;1,9987
76,0800;0,8745;52,9400;2,0549
77,8240;0,8009;54,6800;1,9799
79,9280;0,7250;53,5800;2,0638
82,2320;0,6468;55,6700;1,9944
84,4390;0,5653;56,2900;1,9182
86,6780;0,4852;56,8600;1,9720
89,3090;0,3987;56,9700;1,9723
91,6820;0,3190;58,1700;1,9367
93,7910;0,2540;58,5800;1,9475
95,4800;0,1961;59,6300;1,9196
96,8250;0,1532;60,0800;1,8840
97,7820;0,1221;60,1700;1,8843
98,3190;0,1028;60,3700;1,9224
98,7220;0,0885;60,7800;1,9087
98,9470;0,0801;60,8200;1,8801
99,0650;0,0753;60,9800;1,8820
99,1140;0,0738;60,9200;1,8782
48,2980;2,0815;37,7500;2,7621
55,7230;1,7160;45,0400;2,3254
58,1210;1,6136;45,6300;2,3067
59,5530;1,5528;43,9300;2,4595
60,3420;1,5193;48,2000;2,2491
60,8830;1,4959;44,6900;2,4034
61,2730;1,4755;47,9500;2,2302
61,8140;1,4578;42,0800;2,5834
61,9870;1,4513;49,6600;2,0689
62,1700;1,4351;45,4600;2,2896
62,7600;1,4198;47,9200;2,2533
62,9540;1,4070;47,6800;2,2425
63,0140;1,4042;47,2400;2,2885
63,3430;1,3843;49,5200;2,0835
64,1230;1,3611;48,0600;2,2272
63,9000;1,3629;44,6300;2,4320
64,3320;1,3435;49,4100;2,1572
64,7560;1,3303;49,8800;2,0658
65,1170;1,3128;49,2800;2,2426
65,2110;1,3082;45,8000;2,3963
65,7410;1,2880;37,7200;2,8559
66,0140;1,2827;46,0700;2,3150
66,4340;1,2592;41,4700;2,7238
66,8370;1,2433;46,8800;2,3586
67,4590;1,2160;49,2900;2,1804
67,4560;1,2054;45,7600;2,4250
68,1100;1,1883;51,1000;2,0704
68,6860;1,1608;47,4700;2,2894
68,9850;1,1465;45,9600;2,4218
69,4160;1,1282;52,6300;2,0007
70,1720;1,1014;46,7600;2,4608
70,4940;1,0816;50,1300;2,1955
71,2510;1,0614;50,2200;2,1777
71,6880;1,0356;50,3000;2,2600
72,2250;1,0142;51,8600;2,1041
73,0630;0,9845;52,5200;2,0970
73,5380;0,9596;50,1500;2,2556
74,0720;0,9364;51,3300;2,2080
74,8880;0,9045;53,7700;2,0284
75,7100;0,8789;51,5900;2,1745
76,5440;0,8444;53,6500;2,0701
77,3390;0,8134;51,8100;2,1746
78,4650;0,7743;52,5600;2,1331
79,0410;0,7481;53,7400;2,1039
80,0110;0,7123;53,4500;2,0953
80,7330;0,6839;54,3200;2,0469
81,9070;0,6450;53,4400;2,2037
82,8050;0,6133;54,3500;2,1978
83,9010;0,5691;54,1400;2,1172
84,8600;0,5347;54,8700;2,1388
86,0430;0,4926;55,8700;1,9820
87,4160;0,4515;56,0300;2,0855
88,4220;0,4102;56,7500;2,0575
89,7980;0,3680;56,2300;2,0631
90,8620;0,3329;57,0400;2,0441
92,4890;0,2838;57,5100;2,0670
93,3620;0,2559;58,0000;2,0576
94,8480;0,2111;59,7200;1,9371
95,9160;0,1745;59,1300;2,0014
96,8680;0,1450;59,9600;1,9546
97,4840;0,1223;60,3900;1,8825
98,2220;0,0994;60,3500;1,9224
98,7320;0,0792;61,0000;1,9103
99,1270;0,0653;61,1800;1,8735
99,3500;0,0553;61,1500;1,8430
99,4800;0,0491;61,7800;1,8460
99,6220;0,0425;62,0000;1,8459
99,7030;0,0370;62,0600;1,8286
99,7720;0,0339;62,3000;1,7898
99,8090;0,0310;62,1200;1,8607
99,7970;0,0301;62,6600;1,8637
99,8440;0,0280;62,1700;1,8004
99,8530;0,0272;62,3900;1,8543
99,8590;0,0261;62,5300;1,7797
99,8720;0,0249;62,4600;1,8047
99,8790;0,0249;62,4700;1,8007
99,8930;0,0239;62,7800;1,7995
99,8880;0,0240;62,6100;1,7876
99,8910;0,0241;62,6600;1,8223
99,9130;0,0236;62,5700;1,8143
