train_accuracy;train_loss;valid_accuracy;valid_loss
6,9930;4,5679;10,0600;4,3079
17,9820;3,6774;17,7000;3,8114
25,8560;3,2101;24,6000;3,3095
31,7260;2,8912;29,2400;3,0192
36,3720;2,6466;30,8000;3,0135
40,7680;2,4364;36,7700;2,6903
45,0300;2,2387;39,4200;2,5840
49,3050;2,0505;41,4000;2,5012
53,1390;1,8738;45,2700;2,3117
56,4100;1,7425;46,6300;2,2970
38,4730;2,5337;32,2200;2,9744
42,5400;2,3500;32,8300;3,0237
44,8610;2,2403;37,9900;2,6549
46,8390;2,1502;37,6500;2,6873
48,4550;2,0654;40,7000;2,4889
50,2350;1,9799;34,7500;2,9305
51,8730;1,9042;39,0900;2,6800
53,9420;1,8213;41,6500;2,5234
55,6860;1,7342;43,7500;2,4310
57,8830;1,6461;42,4800;2,5024
60,0680;1,5469;46,7500;2,2316
62,4720;1,4430;49,6300;2,1310
65,1820;1,3279;51,0400;2,0491
68,4630;1,2053;52,1900;2,0802
71,6980;1,0725;53,0200;1,9938
75,0230;0,9385;53,6600;1,9863
78,8390;0,8050;55,0000;1,9554
82,0380;0,6910;55,6300;1,9649
84,4830;0,6108;55,4400;1,9387
85,8300;0,5670;55,2700;1,9445
46,8590;2,1300;39,2900;2,6187
52,1200;1,8900;41,7500;2,5065
53,8590;1,8169;41,7800;2,5042
54,6860;1,7799;40,2200;2,7073
55,2900;1,7515;42,6500;2,5101
56,0800;1,7147;39,3700;2,6752
56,7300;1,6861;43,0300;2,4830
57,3060;1,6627;45,7800;2,2625
57,8770;1,6353;44,1500;2,4263
58,3820;1,6086;46,3100;2,2300
59,3340;1,5776;45,1200;2,3574
59,9510;1,5424;48,1400;2,1848
60,5540;1,5102;45,4200;2,3745
61,6910;1,4705;44,8900;2,3852
62,4820;1,4379;46,1400;2,3935
63,5490;1,3889;48,1600;2,1842
64,3380;1,3538;49,9400;2,1844
65,2270;1,3145;51,7400;2,0422
66,4760;1,2608;50,2100;2,1249
67,7130;1,2080;49,2800;2,1862
68,9490;1,1564;51,0800;2,1883
70,2070;1,1022;49,5500;2,2212
71,9130;1,0391;50,4500;2,1761
73,5910;0,9708;49,5700;2,2862
75,4670;0,8995;50,4700;2,1982
77,1070;0,8334;51,6600;2,1960
79,2450;0,7510;53,0900;2,1206
81,4240;0,6760;52,5100;2,1913
83,7150;0,5931;54,8100;2,0981
86,2060;0,5077;56,3600;2,0148
88,5380;0,4277;56,0100;2,0809
90,7960;0,3516;56,2700;2,1047
92,9200;0,2862;56,8600;2,0589
94,6660;0,2307;57,7600;1,9983
96,0020;0,1896;57,4200;2,0510
96,8640;0,1602;58,6700;2,0121
97,4510;0,1398;58,4200;1,9973
97,8860;0,1257;58,4500;2,0119
