train_accuracy;train_loss;valid_accuracy;valid_loss
7,3250;4,5300;9,1800;4,5512
19,0070;3,6102;17,8100;3,7607
26,9380;3,1422;25,3400;3,2493
32,6830;2,8399;25,0800;3,3326
37,4320;2,6020;30,1700;3,0620
41,6500;2,3977;38,6000;2,5497
45,8720;2,1983;40,6100;2,4591
50,0200;2,0056;42,9400;2,3991
54,0820;1,8334;45,5600;2,2492
57,2660;1,7043;47,8100;2,1623
39,0260;2,5167;34,3300;2,8393
43,0400;2,3176;35,4600;2,7699
45,2220;2,2164;36,5800;2,7907
47,2900;2,1217;39,6700;2,6432
48,9510;2,0362;40,0600;2,5724
50,9010;1,9604;40,6900;2,4898
52,5960;1,8789;36,3000;2,8773
54,0770;1,8049;41,7800;2,5221
56,3560;1,7102;44,3300;2,3620
58,2180;1,6224;44,5300;2,4179
60,3900;1,5308;47,5400;2,2001
62,8950;1,4257;48,2200;2,1756
65,8090;1,3037;51,2800;2,0849
68,6260;1,1848;50,6200;2,2254
72,1740;1,0531;54,9000;1,9221
75,7360;0,9131;54,9100;1,9960
79,2360;0,7859;55,3600;1,9569
82,5750;0,6731;56,7700;1,9423
85,0020;0,5896;56,2900;1,9286
86,3400;0,5462;56,7800;1,9053
47,0640;2,1187;38,8500;2,6429
52,5430;1,8707;38,8100;2,7074
54,0910;1,8090;42,8900;2,4739
54,9470;1,7633;43,4400;2,4610
55,6530;1,7373;43,1900;2,4668
56,3330;1,7034;40,7600;2,6601
56,7210;1,6837;40,7600;2,5969
57,4770;1,6516;45,1200;2,3739
58,3490;1,6131;38,8400;2,7857
58,6650;1,6011;43,3500;2,5093
59,4890;1,5624;40,9600;2,5733
60,3870;1,5256;45,0000;2,4376
61,1400;1,4901;46,6500;2,3161
61,5350;1,4685;47,1700;2,2870
62,7720;1,4189;48,5800;2,2010
63,6410;1,3820;44,7800;2,4237
64,8630;1,3314;47,0800;2,3510
65,8200;1,2881;46,3600;2,3324
66,7560;1,2480;49,6000;2,1212
68,1540;1,1897;51,4500;2,0700
69,3910;1,1387;49,6900;2,2512
70,6110;1,0885;52,8100;2,0672
72,0540;1,0222;53,0700;1,9943
73,8950;0,9535;53,1900;2,0981
75,7220;0,8865;52,5200;2,1075
77,7230;0,8112;56,1900;1,9151
79,8590;0,7338;54,1200;2,0364
81,9110;0,6566;56,6700;1,9541
84,4840;0,5701;56,1100;2,0348
86,8960;0,4868;55,9400;2,0452
89,0900;0,4122;55,4600;2,1129
91,3500;0,3365;57,3400;2,0508
93,3760;0,2713;58,0800;2,0072
94,9670;0,2194;58,8500;1,9197
96,2250;0,1784;59,2700;1,9481
97,1600;0,1489;58,8200;1,9744
97,7200;0,1303;59,4900;1,9341
98,0110;0,1199;59,0900;1,9235
98,2440;0,1124;59,1700;1,9731
98,3800;0,1067;58,9900;1,9337
47,5130;2,1187;42,3700;2,4819
54,9230;1,7511;43,1100;2,4237
57,4590;1,6472;31,0000;3,4045
58,5320;1,6050;41,9900;2,5609
59,1090;1,5747;41,4500;2,4731
59,3740;1,5565;41,4800;2,5861
60,3720;1,5259;43,0100;2,5151
60,5130;1,5128;48,2300;2,2401
60,7890;1,4999;41,5300;2,6537
61,2740;1,4862;45,3400;2,3450
61,4130;1,4806;45,7400;2,4395
61,7760;1,4666;41,4200;2,6821
61,7730;1,4641;46,1700;2,3625
62,0290;1,4499;45,9200;2,3445
62,4340;1,4332;49,8600;2,1136
62,8490;1,4185;47,3500;2,2304
62,6370;1,4133;44,0400;2,4467
63,3730;1,3955;46,6900;2,3228
63,4660;1,3851;46,2100;2,3841
63,8950;1,3681;45,2000;2,4711
64,2030;1,3555;45,3600;2,4010
64,5550;1,3404;46,0600;2,4415
64,9580;1,3232;48,6300;2,2368
65,3230;1,3039;42,3400;2,5435
65,5480;1,2934;43,6700;2,5476
66,2490;1,2694;48,4300;2,2469
66,4880;1,2534;44,1000;2,4769
66,7230;1,2430;48,4900;2,2842
67,5210;1,2086;48,8500;2,1963
67,6890;1,1974;51,2800;2,1564
68,6000;1,1705;50,7000;2,1655
68,9850;1,1514;46,8400;2,4454
69,4250;1,1329;49,3800;2,2069
69,8310;1,1147;48,7200;2,2474
70,6070;1,0876;49,3000;2,2707
71,4970;1,0509;52,2800;2,0930
71,8350;1,0342;52,0300;2,1509
72,5550;0,9977;46,4300;2,4279
73,1050;0,9785;52,1400;2,1072
73,6830;0,9530;51,0400;2,1970
74,5570;0,9226;50,2800;2,2212
75,2560;0,8939;52,1600;2,1209
76,1530;0,8598;51,6800;2,2368
77,0880;0,8241;53,9300;2,0702
77,7250;0,7962;51,7500;2,3012
78,5570;0,7636;48,9400;2,4241
79,9080;0,7175;54,4700;2,0579
80,5110;0,6934;53,6600;2,0986
81,9980;0,6422;52,1600;2,2314
82,8710;0,6044;55,1500;2,0496
83,8740;0,5736;54,9300;2,0609
84,9940;0,5361;55,3100;2,0912
86,2820;0,4877;53,9600;2,1989
87,5950;0,4453;55,7500;2,0650
88,6630;0,4081;55,7100;2,0833
90,1290;0,3602;55,4400;2,1419
91,4990;0,3190;57,0000;2,1246
92,6940;0,2783;56,5800;2,0774
94,0740;0,2366;57,6000;2,1726
94,8400;0,2113;57,6000;2,0415
95,8780;0,1783;57,8100;2,1070
96,8200;0,1489;58,1600;2,0498
97,6890;0,1175;59,3700;2,0162
98,1530;0,1036;59,4500;1,9898
98,5960;0,0865;59,9300;1,9943
98,9550;0,0730;60,2800;1,9759
99,2650;0,0611;60,0400;1,9641
99,3790;0,0547;60,2300;1,9165
99,4870;0,0495;60,4000;1,9393
99,5780;0,0447;60,4500;1,9834
99,6630;0,0413;60,2200;1,9457
99,7150;0,0388;60,1200;1,9694
99,7500;0,0366;60,5000;1,9637
99,7760;0,0351;60,6000;1,9511
99,7900;0,0336;60,6800;1,9352
99,7920;0,0334;60,5800;1,8968
99,8040;0,0322;60,4300;1,9416
99,8310;0,0315;60,3300;1,9408
99,8300;0,0313;60,8000;1,9211
99,8260;0,0314;60,6300;1,9260
