train_accuracy;train_loss;valid_accuracy;valid_loss
68,8500;1,1590;50,3400;2,1253
69,5400;1,1339;51,8100;2,0909
69,7840;1,1153;48,4600;2,3346
70,3450;1,0913;51,1300;2,1688
70,6060;1,0756;51,3200;2,1486
71,7420;1,0401;50,9200;2,1628
71,9770;1,0247;48,9400;2,2990
72,7730;0,9966;50,8200;2,1504
73,5030;0,9688;48,0300;2,3350
73,9010;0,9444;51,5000;2,1679
74,6250;0,9213;53,1600;2,0515
75,4550;0,8860;54,0300;1,9663
76,3050;0,8535;50,1700;2,2724
76,9740;0,8242;53,1200;2,0590
77,8730;0,7925;51,9300;2,1135
78,6950;0,7588;53,1600;2,0727
79,5190;0,7274;54,2600;2,0585
80,6660;0,6917;54,5600;2,0007
81,7270;0,6511;54,8500;2,1288
82,6440;0,6155;54,5700;2,1316
83,4120;0,5838;54,9900;2,0817
84,6720;0,5433;55,4400;2,0607
85,8300;0,5009;55,7300;2,0843
87,0220;0,4641;56,9000;2,0861
88,3190;0,4187;56,6100;2,0081
89,4070;0,3804;57,1400;2,0439
90,8160;0,3361;57,1400;1,9980
91,8880;0,3008;58,3800;1,9382
92,9460;0,2674;58,0300;2,0398
94,3000;0,2243;58,6400;1,9965
95,5510;0,1860;59,1300;1,9555
96,5030;0,1557;60,3900;1,9444
97,4870;0,1247;60,2400;1,9042
98,1530;0,1022;60,9300;1,8606
98,6420;0,0829;60,9600;1,8632
99,0640;0,0681;61,5700;1,8401
99,3360;0,0557;61,7700;1,8364
99,5020;0,0485;62,0000;1,8046
99,5920;0,0438;62,3300;1,8410
99,6910;0,0383;62,3800;1,8352
99,7390;0,0350;62,4200;1,7736
99,8040;0,0322;62,2000;1,8046
99,8030;0,0306;62,6700;1,7541
99,8450;0,0290;62,6000;1,8653
99,8470;0,0272;62,5700;1,8010
99,8800;0,0262;62,6400;1,8229
99,8710;0,0257;62,6800;1,7932
99,9100;0,0246;62,5000;1,8587
99,9150;0,0244;62,4700;1,7831
99,9050;0,0242;62,4700;1,7762
99,9070;0,0239;62,7500;1,7539
99,9000;0,0241;62,6000;1,8103
