train_accuracy;train_loss;valid_accuracy;valid_loss
7,2320;4,5408;8,6300;4,7417
17,7200;3,7000;17,5800;3,7181
25,6860;3,2187;18,9200;3,7242
31,8120;2,8959;28,9000;3,0597
36,2110;2,6601;34,5000;2,7687
40,3680;2,4526;38,0900;2,5738
44,9100;2,2465;41,4600;2,4260
49,0830;2,0563;42,7900;2,3728
53,2780;1,8688;47,7400;2,1751
56,3620;1,7457;49,2100;2,1219
38,4400;2,5482;32,3900;2,9379
42,5240;2,3535;38,5100;2,5993
44,6320;2,2541;39,3600;2,5773
46,9320;2,1412;42,3800;2,3923
48,6060;2,0667;39,0800;2,6081
50,5360;1,9683;40,6000;2,5277
51,9920;1,9044;44,6800;2,2819
53,8490;1,8257;46,0100;2,2315
55,4640;1,7431;44,3400;2,3506
58,2870;1,6318;46,0400;2,3126
60,7290;1,5281;48,5200;2,1121
62,5670;1,4452;50,8600;2,0134
65,1730;1,3344;52,4300;1,9757
68,2670;1,2040;50,2000;2,0989
71,4550;1,0799;56,0000;1,8645
75,2190;0,9387;56,5800;1,8596
78,4740;0,8219;57,1400;1,8153
81,7610;0,7065;58,5600;1,7866
84,4560;0,6140;58,3400;1,7856
85,4210;0,5819;57,2700;1,9325
46,7070;2,1437;36,9500;2,8324
51,9630;1,9048;39,3100;2,7169
54,0160;1,8135;44,7300;2,3657
54,6320;1,7954;38,9600;2,7647
54,8140;1,7810;42,3900;2,5879
56,0450;1,7237;43,2200;2,4859
56,4180;1,6987;45,8900;2,2548
57,0630;1,6755;44,5200;2,4196
57,5110;1,6547;45,5100;2,3202
58,3400;1,6221;43,2600;2,4551
59,0140;1,5837;44,3500;2,3643
59,6070;1,5621;48,8900;2,1996
60,2150;1,5390;46,9900;2,3155
61,3530;1,4867;47,9800;2,2227
62,5810;1,4320;48,2900;2,1551
62,3960;1,4353;48,4000;2,1896
64,1290;1,3719;48,9600;2,2033
65,4220;1,3130;50,9100;2,0572
65,9260;1,2887;52,4400;2,0077
67,6710;1,2167;49,7800;2,2369
68,4940;1,1803;51,3600;2,0928
69,7640;1,1269;52,2600;2,1167
70,8580;1,0836;52,1800;2,0581
72,8690;1,0069;55,0700;1,9214
74,7530;0,9316;53,1400;2,0416
75,9740;0,8840;54,7400;2,0032
78,7700;0,7817;55,6400;1,8928
79,8900;0,7318;55,0700;1,9808
82,9650;0,6244;56,4000;1,9530
85,5520;0,5341;57,6400;1,8953
87,0610;0,4807;57,0400;2,0171
89,7190;0,3932;58,9200;1,8768
91,5880;0,3343;59,0900;1,8626
93,4840;0,2710;59,2800;1,9021
94,5730;0,2372;59,9800;1,8978
95,7910;0,1977;59,4300;1,9690
96,2760;0,1809;60,0600;1,8756
96,8560;0,1609;60,3000;1,8989
96,6480;0,1683;57,4300;1,9970
97,2590;0,1465;59,6400;1,9157
46,8780;2,1448;39,4100;2,6146
55,0060;1,7580;46,6200;2,2564
56,5550;1,6832;43,2200;2,4383
57,4310;1,6579;47,4500;2,2112
59,0960;1,5868;42,8600;2,4737
58,9900;1,5790;45,9200;2,2872
60,0480;1,5451;42,5900;2,4814
59,9420;1,5428;46,6100;2,3801
59,7640;1,5522;47,5000;2,3191
60,0930;1,5384;44,0600;2,4327
60,8980;1,5071;46,4600;2,2961
60,7160;1,5114;47,6700;2,2163
61,0840;1,5043;44,5600;2,4528
61,3020;1,4812;47,9100;2,2436
61,6040;1,4672;49,6900;2,0996
61,8510;1,4684;45,0900;2,3346
62,0160;1,4558;48,4300;2,2797
62,5750;1,4358;39,6000;2,8321
63,0640;1,4127;46,6700;2,2850
63,2500;1,3971;49,6400;2,2134
63,0170;1,4118;45,4000;2,3377
63,6090;1,3845;47,7300;2,2214
64,4410;1,3485;49,6700;2,1152
64,2960;1,3585;48,5100;2,2311
65,0870;1,3211;44,0800;2,5419
65,5510;1,2989;52,5000;1,9950
65,9920;1,2811;49,0600;2,2090
66,3520;1,2714;46,4800;2,3793
66,7130;1,2525;48,8600;2,2039
67,2870;1,2238;49,1600;2,2298
67,1380;1,2283;50,0000;2,1084
67,8920;1,1990;47,2500;2,3567
68,1320;1,1913;52,7100;2,0241
69,3540;1,1429;50,9500;2,1125
69,7540;1,1245;51,6500;2,1044
70,8500;1,0837;49,3700;2,1700
71,0080;1,0776;51,3400;2,2241
71,3770;1,0568;52,1200;2,0792
72,2430;1,0134;49,8600;2,2247
72,9450;0,9901;54,0300;2,0270
73,8110;0,9594;51,6300;2,2109
74,3830;0,9330;53,6900;2,1068
74,3050;0,9297;54,0400;1,9730
76,1760;0,8672;54,1300;2,0400
76,4040;0,8514;53,3000;2,1293
77,2020;0,8264;50,7400;2,2792
78,5980;0,7704;53,7700;2,1195
79,3550;0,7493;56,0300;1,9482
80,8290;0,6823;52,1400;2,1623
80,9090;0,6860;54,6600;2,0136
82,5540;0,6311;54,1000;2,1130
83,8430;0,5807;56,7600;1,9672
85,1580;0,5328;55,9900;2,0541
85,8160;0,5115;56,6800;1,9768
87,1130;0,4664;57,6400;1,9415
89,2000;0,3976;57,1300;2,0368
89,1190;0,4003;57,0500;2,0071
90,5500;0,3551;56,8000;2,0081
92,0290;0,3060;57,0800;2,1060
91,8830;0,3105;59,2700;1,9473
92,8860;0,2778;58,7300;2,0108
94,2610;0,2367;59,8000;1,8816
95,5070;0,1956;58,7700;1,9583
96,5050;0,1618;61,0400;1,9277
97,4090;0,1312;60,4300;1,8995
97,8560;0,1141;61,3100;1,8967
98,0630;0,1047;62,0900;1,8935
98,1760;0,1000;61,7100;1,8837
98,7970;0,0777;61,4400;1,8557
98,5290;0,0862;62,0300;1,8625
98,8890;0,0713;62,1900;1,8299
98,9850;0,0665;62,0300;1,8383
98,8260;0,0718;62,2400;1,8238
99,2830;0,0548;62,1500;1,8161
98,9770;0,0649;62,0700;1,8516
99,2340;0,0547;62,2600;1,8052
99,2290;0,0552;62,2300;1,7926
99,1900;0,0559;62,3800;1,8941
99,0780;0,0594;62,2100;1,8190
99,2320;0,0541;62,1600;1,8209
