train_accuracy;train_loss;valid_accuracy;valid_loss
6,3410;4,7075;8,2200;4,4549
16,3490;4,0208;17,6600;3,7570
23,4720;3,6112;19,5700;3,6559
28,8170;3,3858;26,4300;3,2028
32,5620;3,2531;31,2900;2,9213
37,0810;2,9861;36,4600;2,7269
40,6610;2,8445;36,1100;2,7532
44,1080;2,7081;42,4600;2,4177
47,8280;2,5725;43,8200;2,3406
50,4650;2,4849;45,0500;2,2976
34,6650;3,1100;31,1400;2,9430
38,8330;2,9089;32,6900;2,9480
40,8360;2,8423;33,2600;2,8774
41,5860;2,8516;38,9000;2,5616
43,4780;2,7903;39,5400;2,5234
45,7670;2,6608;40,4500;2,5611
46,6590;2,6024;43,3600;2,3539
48,8780;2,5063;44,6900;2,2858
50,3010;2,4604;44,5100;2,3206
51,5580;2,3965;45,2000;2,3161
53,0950;2,3658;42,2000;2,5396
55,4670;2,2422;50,0500;2,0767
58,3810;2,1232;50,0100;2,0642
60,8120;2,0015;49,7500;2,0657
62,3030;1,9795;53,8500;1,8995
65,6890;1,8721;52,9700;1,9967
67,0230;1,8266;56,8600;1,7757
70,9010;1,6945;57,2200;1,7799
74,1220;1,5391;57,2800;1,8094
71,7870;1,7394;57,0300;1,8416
45,1170;2,6575;36,2000;2,7912
46,8830;2,6193;36,9700;2,7482
48,4500;2,5097;41,0800;2,4939
48,8860;2,5437;43,3400;2,4361
50,1050;2,4730;40,1100;2,5906
50,9260;2,4114;43,3100;2,3963
50,4900;2,4706;44,1400;2,3694
50,8960;2,4214;42,2400;2,5111
50,9720;2,4633;46,3000;2,2847
52,4710;2,3417;44,6000;2,3584
53,6760;2,3519;40,5300;2,6058
51,5590;2,4163;45,5000;2,2786
53,6600;2,3033;42,1400;2,4264
54,8770;2,2605;43,5900;2,4232
56,6280;2,2184;48,7800;2,1394
55,5640;2,2644;48,1200;2,2039
58,0550;2,1231;44,2800;2,3402
57,8410;2,1377;49,1300;2,1375
58,6240;2,1276;47,5300;2,2394
59,6750;2,0510;50,4100;2,1043
61,9290;1,9515;50,1800;2,1092
61,2680;2,0180;51,1700;2,0651
64,5660;1,8194;52,9200;2,0010
64,7500;1,8780;51,9400;2,0415
65,8200;1,8789;52,5300;2,0442
67,5530;1,7666;51,5400;2,0601
68,3310;1,7514;54,4500;1,9287
71,0970;1,6769;56,6600;1,8038
73,2100;1,5789;56,2700;1,8615
75,2480;1,5068;57,6300;1,8284
75,3370;1,5540;56,6600;1,8903
78,8260;1,3567;59,4100;1,7339
80,8910;1,3440;58,4800;1,8117
78,7460;1,4139;59,0900;1,7858
82,8330;1,2994;60,3300;1,7058
84,3680;1,2206;60,0700;1,7482
85,1680;1,2134;60,2500;1,7551
83,4430;1,2975;60,5600;1,6967
86,4530;1,2015;60,0800;1,7458
85,6380;1,2476;59,2200;1,7947
