train_accuracy;train_loss;valid_accuracy;valid_loss
3,6840;4,9529;7,1900;4,4799
12,5080;4,0348;15,5000;3,8324
20,9110;3,4777;22,5200;3,4034
27,9250;3,0813;22,7800;3,5593
34,0580;2,7610;29,6300;3,0395
39,2530;2,5069;33,1000;2,8429
44,4530;2,2686;41,5900;2,4739
48,5400;2,0742;44,6300;2,2502
52,5960;1,9058;48,4500;2,0727
55,5390;1,7847;50,2700;2,0260
38,7840;2,5265;32,7200;2,9173
43,2200;2,3119;35,0800;2,8293
46,2890;2,1727;40,5800;2,4628
48,7540;2,0642;41,2700;2,5272
50,6510;1,9742;43,7400;2,3755
52,7390;1,8866;42,7900;2,3958
54,5140;1,8046;46,3300;2,2297
56,3360;1,7194;44,9900;2,3648
58,1270;1,6392;48,0900;2,1965
60,4270;1,5453;49,3800;2,1106
62,7640;1,4467;49,7700;2,1373
65,1700;1,3444;48,9300;2,1927
68,0870;1,2279;54,8200;1,9297
71,3240;1,1007;55,4200;1,8676
74,4230;0,9763;56,8400;1,7787
78,2620;0,8456;59,4000;1,6669
81,6220;0,7286;61,2800;1,6124
84,6940;0,6289;61,8600;1,6063
86,9590;0,5595;62,3700;1,5679
88,0870;0,5247;62,2500;1,6063
49,4730;2,0171;38,4800;2,7039
55,1710;1,7601;37,4000;2,7809
56,8730;1,6857;43,6400;2,4423
58,0040;1,6381;44,3500;2,3502
59,2430;1,5871;46,0400;2,3438
59,9640;1,5542;42,1600;2,5688
60,9690;1,5157;44,8300;2,4492
61,6190;1,4848;44,3100;2,3196
62,5210;1,4443;39,5800;2,8138
63,2410;1,4111;49,3800;2,1970
64,2870;1,3691;47,3400;2,2890
65,0570;1,3344;47,2400;2,2795
66,2500;1,2887;49,6800;2,1811
67,3520;1,2418;48,8200;2,2387
68,5000;1,1950;49,9500;2,1773
69,2960;1,1574;48,8800;2,2406
70,8110;1,0942;47,5500;2,3472
72,2120;1,0438;51,8600;2,1857
73,5750;0,9877;51,9300;2,1368
75,3430;0,9186;52,8100;2,0434
77,0810;0,8528;54,4500;2,0275
78,9360;0,7835;53,8900;2,0080
80,7540;0,7131;55,5000;1,9924
83,3460;0,6290;55,3000;1,9744
85,5410;0,5464;56,3800;1,9884
88,0290;0,4625;58,2100;1,9292
90,4650;0,3837;58,5700;1,8593
92,9310;0,3033;59,8900;1,8340
95,3980;0,2254;60,6600;1,7985
97,2140;0,1628;61,5100;1,6877
98,3480;0,1210;62,5400;1,7404
