train_accuracy;train_loss;valid_accuracy;valid_loss
4,3070;4,8870;6,8800;4,5909
13,4810;3,9812;15,6600;3,8654
21,7690;3,4340;20,8300;3,5391
28,8000;3,0428;26,7700;3,2882
34,8420;2,7272;33,5900;2,8748
40,0030;2,4686;37,1700;2,7053
44,9960;2,2371;40,0800;2,5077
49,4620;2,0343;45,2100;2,2425
53,5610;1,8604;48,4600;2,1581
56,5880;1,7412;50,4100;2,0286
39,3270;2,5038;35,1800;2,7821
44,2240;2,2733;37,2600;2,7021
46,9880;2,1454;39,4200;2,5574
49,2250;2,0357;39,4700;2,5962
51,1430;1,9495;41,2400;2,5625
53,3270;1,8603;45,8100;2,2824
54,8500;1,7812;45,1300;2,2942
56,9470;1,6999;46,1600;2,2100
58,7360;1,6129;47,1900;2,2235
61,0320;1,5190;45,3600;2,3367
63,2830;1,4221;48,4700;2,1421
66,0170;1,3144;50,7000;2,1356
68,6490;1,2008;55,0100;1,8497
71,8570;1,0774;56,2400;1,7944
75,3660;0,9465;56,6800;1,7946
78,8920;0,8168;59,3300;1,7377
82,5000;0,6946;60,3300;1,6446
85,5310;0,5976;61,4600;1,5999
87,6330;0,5311;62,0100;1,6158
88,7530;0,4942;61,8300;1,5859
50,0720;1,9922;40,3300;2,6116
55,4250;1,7405;41,5500;2,5930
57,4620;1,6654;42,8400;2,4711
58,6350;1,6038;43,2900;2,4438
59,5950;1,5713;39,1900;2,6593
60,4530;1,5355;44,1600;2,3952
61,0600;1,4969;46,6000;2,2877
62,2630;1,4577;44,7400;2,3203
62,7340;1,4301;46,8800;2,2565
63,7240;1,3882;44,1800;2,4559
64,7120;1,3562;44,9500;2,3881
65,6090;1,3133;49,6800;2,1639
66,7000;1,2686;45,1300;2,4555
67,6020;1,2362;50,4300;2,1479
68,5650;1,1851;46,7900;2,3338
69,7780;1,1333;52,9700;2,0129
71,1520;1,0800;49,7500;2,1773
72,4100;1,0308;50,0300;2,1323
74,1200;0,9641;54,0800;1,9169
75,7400;0,9079;53,6500;2,0437
77,1340;0,8484;52,6700;2,0568
79,1120;0,7742;53,7600;2,1197
81,2840;0,6943;55,1700;2,0124
83,4670;0,6173;56,3800;1,8690
86,1110;0,5300;56,4800;1,9895
88,4690;0,4482;58,0000;1,9400
91,1780;0,3601;58,6800;1,8554
93,6500;0,2806;60,3700;1,8280
95,7370;0,2113;60,6200;1,8155
97,4610;0,1524;61,2300;1,7992
98,5840;0,1106;62,3400;1,7393
99,1470;0,0848;63,0800;1,7039
99,5260;0,0674;63,0000;1,6975
99,7180;0,0564;63,2600;1,7162
99,7980;0,0489;63,1900;1,6972
99,8300;0,0452;63,3300;1,6816
99,8670;0,0420;63,5900;1,6601
99,8930;0,0403;63,6300;1,6322
99,8960;0,0395;63,6900;1,6649
99,9040;0,0388;63,7400;1,6508
51,0900;1,9712;40,3400;2,7570
58,5430;1,6069;43,7800;2,4507
61,9650;1,4634;43,0800;2,6372
63,7330;1,3893;46,4800;2,3221
64,7340;1,3476;44,4900;2,4889
65,4720;1,3146;42,3100;2,6249
66,0340;1,2947;43,0600;2,6088
66,6360;1,2686;44,4700;2,4458
67,1230;1,2533;44,3600;2,4330
67,4990;1,2313;45,9300;2,4522
67,9530;1,2111;47,8600;2,3426
68,4290;1,1917;45,4600;2,5125
68,7420;1,1788;47,3700;2,4567
68,9000;1,1706;48,5400;2,3350
69,6750;1,1421;47,3400;2,4130
69,8580;1,1348;48,7100;2,2379
70,0980;1,1231;46,4900;2,3878
70,5830;1,1046;49,3400;2,2466
71,0540;1,0798;46,2300;2,4422
71,2450;1,0713;48,0700;2,3298
71,9340;1,0467;48,5000;2,2903
72,5470;1,0268;47,5500;2,3596
72,6450;1,0153;48,4400;2,3861
73,4220;0,9830;47,1300;2,3880
73,9530;0,9642;52,3200;2,1473
74,4870;0,9440;50,0700;2,2362
74,8110;0,9303;49,5200;2,3506
75,5590;0,9027;46,1600;2,4942
76,2620;0,8744;48,5300;2,3634
76,4830;0,8636;50,6500;2,2707
77,5820;0,8264;51,4100;2,2059
78,0000;0,8066;51,9900;2,1847
78,8510;0,7724;50,6200;2,2936
79,7870;0,7432;51,3800;2,2296
80,3560;0,7168;51,0100;2,2642
80,8310;0,7004;49,2400;2,4848
81,8660;0,6632;52,8700;2,1139
82,7130;0,6279;51,5500;2,1652
83,5540;0,6023;53,6100;2,1817
84,5700;0,5618;51,8800;2,3288
85,5800;0,5304;54,6100;2,1397
86,3030;0,4984;55,9200;2,0794
87,5460;0,4584;52,3500;2,3302
88,4360;0,4326;55,0900;2,2269
89,3570;0,3996;55,6200;2,1023
90,2450;0,3698;55,3800;2,0949
91,5350;0,3265;55,0800;2,1204
92,4980;0,2970;55,8900;2,0256
93,7800;0,2555;55,6600;2,1420
94,7940;0,2206;56,9500;2,0392
95,6340;0,1934;57,2100;2,0746
96,7110;0,1595;58,7600;2,0249
97,5440;0,1315;59,3800;1,9404
98,3290;0,1045;61,1800;1,8341
98,8200;0,0819;61,7400;1,7994
99,3020;0,0643;61,6600;1,8194
99,4550;0,0561;62,3600;1,7674
99,6330;0,0458;62,8200;1,7435
99,7610;0,0388;62,8100;1,7345
99,8210;0,0335;63,2900;1,6928
99,8540;0,0309;63,4200;1,6744
99,8960;0,0270;63,9000;1,6691
99,9120;0,0255;63,5100;1,6671
99,9180;0,0246;64,1300;1,6209
99,9230;0,0236;63,7100;1,6655
99,9370;0,0221;63,8800;1,6543
99,9490;0,0209;64,1300;1,6098
99,9490;0,0202;64,4100;1,6582
99,9560;0,0196;64,2300;1,6258
99,9580;0,0190;64,2700;1,5835
99,9570;0,0185;64,2400;1,6031
99,9640;0,0180;64,3600;1,6126
99,9680;0,0176;64,1300;1,6056
99,9680;0,0171;64,2000;1,5907
99,9710;0,0171;64,1200;1,6125
99,9680;0,0167;64,0300;1,6422
99,9670;0,0166;64,0800;1,6412
99,9720;0,0166;63,9900;1,6232
99,9690;0,0167;63,8800;1,6094
99,9630;0,0163;64,1800;1,5809
