train_accuracy;train_loss;valid_accuracy;valid_loss
4,9330;4,8120;7,9500;4,3634
13,6600;3,9643;15,9600;3,8375
21,9360;3,4298;19,5700;3,6733
28,4480;3,0496;29,0400;3,0644
34,6070;2,7403;30,4500;3,0195
39,9550;2,4836;35,3500;2,7391
44,6410;2,2524;39,8100;2,5560
49,3030;2,0496;44,1900;2,3721
53,1890;1,8743;47,0400;2,1901
56,1860;1,7580;48,0500;2,1552
39,2830;2,5098;36,1000;2,7578
43,6960;2,2997;35,4000;2,7865
46,5630;2,1581;39,3300;2,5519
48,8010;2,0631;36,8500;2,7006
50,8330;1,9743;42,6400;2,3844
52,5500;1,8883;42,4600;2,4952
54,3450;1,8132;45,6100;2,3327
56,2400;1,7282;43,5400;2,3556
57,9010;1,6475;45,1600;2,3254
60,0960;1,5586;49,5500;2,0736
62,4410;1,4592;48,0800;2,2300
64,7310;1,3618;49,7000;2,1459
67,3980;1,2488;50,0900;2,1468
70,7270;1,1225;54,9700;1,8925
73,9410;0,9914;55,6600;1,8912
77,3740;0,8706;56,2300;1,8320
81,0730;0,7471;58,6800;1,7505
83,8930;0,6518;60,3200;1,6859
86,0490;0,5834;60,2100;1,7097
87,3220;0,5454;60,1300;1,6632
49,2630;2,0236;34,8100;2,9985
54,7860;1,7802;40,0100;2,6879
56,6520;1,6974;41,0400;2,7268
57,8370;1,6508;40,6700;2,6371
58,7540;1,6111;46,7500;2,3100
59,5530;1,5751;40,8700;2,7385
60,2700;1,5420;42,3300;2,6353
61,0250;1,5064;46,1600;2,3581
62,0150;1,4681;44,0000;2,4091
62,6840;1,4357;45,2100;2,3940
63,6030;1,3994;47,1500;2,3469
64,5470;1,3602;45,7400;2,5165
65,5450;1,3212;47,7300;2,3184
66,3130;1,2819;45,4700;2,4272
67,6120;1,2342;47,5200;2,3830
68,8640;1,1837;45,6000;2,3950
70,1110;1,1335;50,5100;2,2066
71,3030;1,0859;49,7600;2,2211
72,8090;1,0253;52,9000;2,0394
74,0560;0,9673;51,0300;2,1906
75,8480;0,9027;50,1900;2,1950
77,6230;0,8323;52,9900;2,1537
79,8130;0,7531;53,8000;2,1025
82,0410;0,6752;54,2000;2,0915
84,1700;0,5941;55,6700;2,0319
86,5290;0,5114;56,1200;2,0102
89,0750;0,4294;57,0200;2,0171
91,8650;0,3420;58,8200;1,9048
93,9810;0,2706;58,9100;1,9205
96,0270;0,2027;59,7600;1,8425
97,4160;0,1533;60,1700;1,8060
98,5350;0,1139;60,6900;1,7751
99,0540;0,0902;61,3900;1,8131
99,4200;0,0741;61,3700;1,8218
99,5750;0,0649;61,7500;1,7859
99,6770;0,0580;61,9000;1,7860
99,7660;0,0532;61,9600;1,7973
99,7790;0,0504;61,9600;1,7846
99,8130;0,0485;61,8400;1,7418
99,7980;0,0484;61,9600;1,7409
50,2150;2,0139;34,8500;3,1703
57,8700;1,6422;36,8000;2,9400
61,2520;1,4969;44,9800;2,4018
62,5690;1,4325;44,9600;2,3602
63,6640;1,3941;47,5900;2,3091
64,6770;1,3548;44,6300;2,4105
64,8510;1,3390;41,3600;2,7874
65,3840;1,3144;50,3500;2,1601
66,0190;1,2945;49,2700;2,2276
66,3740;1,2807;46,5100;2,3647
66,5150;1,2742;47,8300;2,3356
67,1910;1,2458;41,9500;2,7627
67,8200;1,2247;43,7500;2,5814
67,7120;1,2231;44,6300;2,5964
68,3170;1,1956;47,1700;2,4235
68,6740;1,1893;48,1700;2,2906
69,1150;1,1751;45,9200;2,4908
69,6760;1,1463;42,8100;2,7293
69,7720;1,1400;48,3000;2,3549
70,1950;1,1208;48,3100;2,3593
70,3520;1,1108;49,7600;2,2912
71,3340;1,0737;47,6900;2,3437
71,6350;1,0619;47,4800;2,4532
72,0670;1,0446;50,8900;2,2150
72,5360;1,0248;48,2000;2,3357
72,9690;1,0086;49,0100;2,4398
73,6590;0,9788;48,0300;2,3432
74,1420;0,9623;50,2100;2,2740
74,6800;0,9390;47,0500;2,5327
75,4700;0,9083;48,6300;2,3921
75,9570;0,8891;45,9600;2,6290
76,8280;0,8597;49,8100;2,3366
77,2220;0,8361;50,1500;2,3023
78,1740;0,8055;50,1100;2,4241
78,5920;0,7843;49,1300;2,3654
79,3520;0,7576;49,7200;2,3821
80,6480;0,7121;50,8700;2,2920
81,2260;0,6846;52,5500;2,2239
82,1700;0,6545;52,1800;2,3064
83,2460;0,6160;50,0700;2,3465
83,7780;0,5896;52,6300;2,3328
84,4220;0,5685;52,0500;2,2356
85,7970;0,5164;52,4900;2,3046
86,6580;0,4881;54,8500;2,1545
87,6770;0,4535;51,8500;2,3097
89,1580;0,4075;54,5000;2,1690
89,7650;0,3852;55,9700;2,1157
91,3130;0,3344;55,4800;2,2006
92,0630;0,3081;56,5700;2,1867
93,4200;0,2702;56,1700;2,1889
94,4750;0,2348;56,6000;2,1549
95,5500;0,1979;58,5000;1,9874
96,4820;0,1678;57,3400;2,1009
97,1880;0,1429;58,6700;2,0507
97,9790;0,1154;59,5500;1,9261
98,4690;0,0959;59,7400;1,9112
98,9540;0,0793;60,5400;1,9192
99,2740;0,0634;61,6600;1,8705
99,5290;0,0529;61,8300;1,8433
99,6820;0,0434;61,8500;1,8405
99,7470;0,0382;62,3000;1,7551
99,8310;0,0340;62,9700;1,7698
99,8340;0,0313;62,8300;1,7571
99,8830;0,0279;62,5100;1,7298
99,8610;0,0272;62,8300;1,7469
99,9030;0,0255;63,1300;1,6989
99,9270;0,0233;63,4200;1,7777
99,9300;0,0224;63,3800;1,7169
99,9510;0,0215;63,1600;1,7216
99,9470;0,0208;63,5400;1,7157
99,9360;0,0206;63,4200;1,6940
99,9530;0,0194;63,3600;1,7252
99,9550;0,0193;63,3100;1,7020
99,9610;0,0188;63,5100;1,7117
99,9600;0,0185;63,5600;1,7432
99,9560;0,0181;63,3300;1,6967
99,9680;0,0180;63,5200;1,6988
99,9580;0,0179;63,5700;1,7183
99,9630;0,0179;63,4900;1,6844
99,9640;0,0176;63,3100;1,7023
