train_accuracy;train_loss;valid_accuracy;valid_loss
4,6950;4,8336;6,5600;4,5464
12,9700;4,0088;14,7800;3,8898
20,7640;3,5058;17,4000;3,8297
27,1820;3,1351;20,9300;3,6897
32,8230;2,8404;22,5200;3,6873
37,9780;2,5927;25,3100;3,5822
42,3890;2,3783;31,7300;3,0852
46,5510;2,1762;30,6300;3,2426
50,3740;2,0091;33,7800;3,0562
53,3540;1,8893;36,2100;2,8441
37,2030;2,6202;23,8300;3,5803
41,3820;2,4105;26,0600;3,5409
44,4060;2,2711;25,7900;3,4463
46,7060;2,1643;32,5700;3,0096
48,5570;2,0840;32,0300;2,9965
50,4120;1,9902;32,8500;2,9694
51,8540;1,9190;28,0100;3,4025
53,8900;1,8395;35,8000;2,8336
55,8010;1,7530;33,7500;3,0174
57,9770;1,6596;37,9800;2,7567
60,0880;1,5613;37,8500;2,8130
62,5220;1,4575;42,1300;2,5430
65,4290;1,3378;42,2800;2,5268
68,1410;1,2280;45,3900;2,3613
71,4130;1,0994;44,2400;2,5010
74,9660;0,9724;43,5700;2,5508
78,4040;0,8469;48,3500;2,2147
81,3350;0,7475;47,2000;2,3791
83,6820;0,6752;46,9500;2,3976
85,0900;0,6348;47,7500;2,3637
47,4610;2,1062;28,5900;3,4457
53,1750;1,8575;33,8000;3,0065
55,1420;1,7769;32,9000;3,0509
55,9580;1,7338;39,1500;2,7953
57,1860;1,6891;30,8100;3,1663
57,7720;1,6550;38,3000;2,7448
58,8240;1,6128;44,3100;2,3352
59,3320;1,5833;38,2400;2,8463
60,4250;1,5481;38,1500;2,8065
61,1160;1,5125;41,3800;2,7182
62,0080;1,4782;40,9600;2,6648
63,0670;1,4244;35,6400;2,9669
63,7930;1,3975;39,1800;2,8120
64,6090;1,3580;39,6600;2,7816
65,9260;1,3005;40,1000;2,7336
67,0730;1,2587;43,7300;2,5776
67,9750;1,2134;40,2400;2,7880
69,5430;1,1527;45,0300;2,4605
71,1680;1,0923;47,0000;2,3377
72,5640;1,0329;37,7600;3,0236
74,2680;0,9685;41,6100;2,7479
75,9390;0,8987;45,0400;2,5994
77,8580;0,8289;46,4800;2,4631
80,0180;0,7497;40,7800;2,8693
82,2470;0,6657;41,9000;2,7603
84,8480;0,5762;47,3000;2,4661
87,4520;0,4880;45,1100;2,6098
89,9950;0,4044;46,0700;2,6236
92,4740;0,3248;48,5100;2,5140
94,9810;0,2448;47,3700;2,5178
96,7410;0,1849;49,7300;2,3922
97,9760;0,1395;48,5900;2,4796
98,6920;0,1118;49,4100;2,4116
99,1150;0,0920;50,4300;2,3859
99,3900;0,0783;49,8200;2,3960
99,5660;0,0690;49,9300;2,4022
99,6890;0,0624;49,6900;2,3930
99,7270;0,0597;49,5000;2,3946
99,7580;0,0573;49,8900;2,4118
99,7410;0,0568;49,8000;2,3978
49,1620;2,0662;24,1900;3,9677
56,5440;1,6954;36,3700;2,9695
60,0580;1,5510;39,5500;2,7427
61,4880;1,4889;34,7600;3,1916
62,2590;1,4494;40,9300;2,6400
62,9260;1,4267;31,7200;3,3983
63,8910;1,3918;43,1000;2,4857
64,1730;1,3790;34,9400;3,2596
64,4570;1,3555;33,1000;3,3443
64,9100;1,3459;37,1500;2,9692
65,5630;1,3213;39,2600;2,7550
65,8610;1,3052;45,0900;2,4197
66,0320;1,2963;39,8300;2,7821
66,3170;1,2851;40,1600;2,7203
66,8280;1,2675;35,7100;3,3319
67,2080;1,2552;37,8300;3,0605
67,4100;1,2271;34,5700;3,4459
67,8830;1,2189;40,1500;2,8352
68,5940;1,1888;40,7800;2,7925
68,8880;1,1834;41,4500;2,7294
69,0860;1,1656;36,8200;3,2987
69,5350;1,1483;36,0800;3,2702
70,1900;1,1210;39,7800;2,8495
70,8620;1,1013;41,3600;2,7764
70,9730;1,0891;36,8800;2,9996
71,2790;1,0778;44,9100;2,5099
72,1570;1,0419;41,5400;2,7582
72,9220;1,0141;35,9800;3,2411
73,3880;0,9932;39,6700;2,8895
73,7330;0,9821;43,1300;2,7465
74,4700;0,9460;37,2800;3,0404
75,1630;0,9155;46,4800;2,4129
76,0130;0,8897;43,1300;2,7321
76,4650;0,8667;44,7200;2,7384
77,1460;0,8445;44,9400;2,6448
78,3230;0,8006;41,7800;2,9498
78,8680;0,7753;40,7100;2,9158
79,7490;0,7433;42,7500;2,7906
80,5270;0,7119;43,0800;2,7108
81,6430;0,6744;47,7900;2,4642
82,5910;0,6377;43,7600;2,6456
83,1230;0,6114;40,1100;3,0725
84,3100;0,5747;45,2500;2,7328
85,5450;0,5304;46,0300;2,6248
86,7110;0,4943;44,5900;2,7705
87,7380;0,4609;44,1400;2,7409
88,8140;0,4210;46,8200;2,6604
89,8620;0,3827;43,1500;2,9043
91,1150;0,3434;44,9700;2,7391
92,3410;0,3028;46,1700;2,7644
93,6190;0,2644;47,3800;2,6054
94,4240;0,2361;48,9500;2,5582
95,7690;0,1946;46,9000;2,6810
96,8270;0,1585;49,6300;2,5523
97,5550;0,1320;51,3100;2,3719
98,1520;0,1097;50,6000;2,4648
98,6620;0,0896;51,2800;2,3938
99,0190;0,0751;53,0500;2,2947
99,4120;0,0600;53,0900;2,2400
99,5780;0,0510;52,3700;2,3013
99,6600;0,0450;53,4100;2,2218
99,7490;0,0390;53,5000;2,1815
99,8230;0,0342;53,7900;2,2562
99,8730;0,0310;54,2900;2,1769
99,8800;0,0287;53,1400;2,2369
99,9080;0,0266;53,7000;2,2121
99,9130;0,0258;53,9300;2,1438
99,9240;0,0241;53,9100;2,2050
99,9210;0,0235;54,0000;2,2229
99,9360;0,0220;54,4500;2,1618
99,9370;0,0217;54,1500;2,1852
99,9400;0,0210;54,5400;2,1604
99,9560;0,0204;54,2700;2,1454
99,9520;0,0201;54,3800;2,1667
99,9610;0,0196;54,4000;2,1768
99,9480;0,0192;54,3900;2,1751
99,9660;0,0189;54,0300;2,2270
99,9630;0,0188;54,3200;2,1718
99,9620;0,0190;54,1300;2,1854
99,9680;0,0188;54,3100;2,1757
