train_accuracy;train_loss;valid_accuracy;valid_loss
3,5220;5,0463;6,3600;4,6229
10,5490;4,3464;13,4200;3,8987
17,8820;3,8958;19,4100;3,5935
23,3860;3,6327;24,8100;3,2862
28,1520;3,4235;30,0500;2,9727
33,6290;3,1159;32,6700;2,8471
37,8480;2,9526;38,7700;2,5205
41,7930;2,7526;42,7600;2,3401
45,1090;2,6804;46,3800;2,1667
46,8530;2,5982;48,2800;2,1489
33,6210;3,1464;32,8500;2,8111
38,7720;2,8872;38,6900;2,5225
40,9990;2,8315;38,8900;2,5544
44,5350;2,6245;39,4500;2,5504
45,1850;2,6291;42,7300;2,3776
46,9730;2,5378;41,1100;2,3902
49,0700;2,4623;42,4800;2,4065
50,4220;2,4440;47,0200;2,1992
52,1580;2,3586;47,1400;2,2274
53,1780;2,2735;47,6200;2,1840
55,8660;2,1882;50,4700;2,0435
57,7540;2,1272;53,0700;1,8768
60,5350;2,0513;54,0000;1,8858
62,1130;1,9799;56,4400;1,7380
65,6000;1,8670;57,3900;1,7474
66,7490;1,7885;59,0300;1,6723
70,4100;1,6461;60,7600;1,5931
73,9000;1,5686;62,2300;1,5005
75,7280;1,4718;62,5200;1,5520
75,8680;1,5073;62,8100;1,5309
45,1210;2,6698;40,1800;2,5729
50,0210;2,4618;41,7200;2,4621
51,5380;2,4358;41,4700;2,5130
51,3660;2,4560;41,9000;2,5227
52,4640;2,3747;40,7600;2,5647
54,3480;2,2852;46,4500;2,1971
54,2070;2,2931;46,4500;2,2117
54,2070;2,3543;42,3100;2,4515
56,3830;2,2092;46,7800;2,2514
55,9210;2,2174;40,7200;2,6087
56,5400;2,2488;47,1400;2,1970
58,6890;2,0682;49,7300;2,0982
58,3910;2,1273;48,4100;2,1494
59,5360;2,0954;39,6200;2,7131
59,9250;2,0578;50,5300;2,0517
60,8020;2,0290;49,9800;2,0946
62,7620;1,9105;51,7800;2,0573
63,2660;2,0061;52,9000;1,9933
65,4180;1,8816;53,4600;1,9508
66,4960;1,8100;52,5700;1,9908
67,5620;1,7904;53,7300;1,9301
67,8820;1,7615;57,0500;1,7492
70,4620;1,6013;55,7800;1,8426
71,1840;1,6883;56,1700;1,8581
72,7640;1,6513;57,8200;1,7437
75,0390;1,5377;56,3800;1,7898
76,6800;1,4989;58,1200;1,7570
78,3300;1,4491;61,0900;1,6240
80,6720;1,3247;59,7700;1,6565
84,1270;1,1865;60,5700;1,6438
86,7270;1,1234;62,6600;1,5925
85,0400;1,2615;62,6400;1,5767
86,7630;1,1842;63,8200;1,5246
88,8320;1,0850;63,2100;1,5694
90,2150;1,0110;63,5100;1,5119
89,0260;1,0864;64,5800;1,4784
88,8610;1,0947;65,2000;1,4485
91,0840;0,9897;65,3300;1,4424
90,7570;0,9966;65,6900;1,4356
93,1960;0,8843;65,3100;1,4688
48,4040;2,5459;38,3500;2,6744
54,3110;2,2687;40,5800;2,5860
57,5220;2,1381;39,6300;2,6554
58,0920;2,0805;47,1600;2,2527
59,2500;2,0278;41,3300;2,5162
57,7960;2,2323;47,3600;2,2107
59,8900;1,9861;49,4000;2,1428
60,1050;2,0903;46,9700;2,2774
60,2980;2,0307;46,4700;2,2553
61,0670;2,0545;43,2000;2,4783
60,1110;2,0937;48,1300;2,2134
59,7040;2,1097;47,2800;2,2631
61,4720;2,0161;47,4000;2,2284
61,3610;2,0090;49,0400;2,2089
61,5310;1,9884;51,2100;2,0462
62,5270;1,9762;45,9200;2,3566
62,3490;1,9801;49,2000;2,1393
63,0420;1,9504;49,7200;2,1082
62,5360;1,9504;46,7000;2,3387
63,8500;1,8588;42,4100;2,6424
64,5940;1,8309;50,6700;2,1163
63,2720;2,0141;45,4400;2,3443
64,6990;1,8588;50,8500;2,0676
65,7860;1,8627;50,9200;2,0544
64,1020;1,9224;48,1800;2,1978
65,7480;1,8235;45,5400;2,3856
