train_accuracy;train_loss;valid_accuracy;valid_loss
3,4470;4,9800;6,1200;4,6152
8,8310;4,3649;11,3900;4,1602
13,4480;4,0309;15,9600;3,8256
18,7150;3,6676;21,1700;3,6265
22,1920;3,4870;25,1900;3,2707
27,1690;3,1935;30,2600;3,0075
31,3820;2,9727;34,9200;2,7510
35,8280;2,7261;37,4600;2,5775
38,3540;2,6138;42,2100;2,4229
40,9480;2,4971;43,2200;2,3546
27,0490;3,2055;23,5200;3,5038
31,6840;2,9487;30,9700;3,0471
34,3840;2,8033;37,1300;2,6356
36,2380;2,7149;35,5900;2,7988
39,0810;2,5656;36,4000;2,7218
40,4020;2,5012;38,4800;2,6350
42,4750;2,3938;39,9000;2,5458
43,7430;2,3432;38,9000;2,5641
45,1470;2,2701;44,5300;2,4313
47,4820;2,1655;42,6400;2,4485
47,7100;2,1555;48,8200;2,1174
51,6030;1,9718;44,3500;2,4375
52,5930;1,9321;48,3100;2,1870
54,4510;1,8438;53,1300;1,9083
55,1690;1,8192;54,5800;1,8873
58,4450;1,6805;58,4700;1,7087
61,5200;1,5419;59,6000;1,6336
63,8660;1,4588;61,1400;1,5598
65,5870;1,3736;61,5300;1,5255
66,9810;1,3209;61,9500;1,5243
40,1410;2,5072;36,9700;2,7191
42,3430;2,4159;31,9700;3,0411
44,0890;2,3336;38,6000;2,6551
45,8810;2,2510;39,4000;2,5635
46,6420;2,2008;40,9400;2,5864
47,8420;2,1549;44,7100;2,2950
48,4650;2,1205;44,1000;2,4102
48,8200;2,1144;40,6300;2,5540
49,6640;2,0679;45,6100;2,3959
51,1800;2,0011;46,1600;2,2499
49,6330;2,0660;44,3800;2,3087
50,7380;2,0357;40,0400;2,6189
51,9520;1,9679;42,7800;2,6243
50,9060;2,0287;48,8400;2,1573
53,3120;1,9052;52,2000;1,9644
55,5460;1,7994;49,0300;2,2258
54,4200;1,8483;47,9000;2,2004
56,9300;1,7313;43,2800;2,5931
56,2440;1,7632;51,8500;2,0659
57,7520;1,6992;54,9600;1,8661
58,6210;1,6646;50,8300;2,1159
59,7460;1,6093;50,4200;2,1244
61,0890;1,5582;54,7900;1,8447
62,4750;1,4902;56,7300;1,7995
63,8750;1,4381;59,3000;1,6796
64,8710;1,4018;57,7500;1,7969
65,3290;1,3900;56,6500;1,8782
68,2740;1,2618;59,9600;1,6530
70,0890;1,1858;61,6200;1,6006
72,4610;1,0845;60,9900;1,6139
73,3400;1,0531;63,7700;1,5165
74,3280;1,0217;63,9100;1,5122
78,9380;0,8406;64,6300;1,4835
78,6560;0,8579;64,9900;1,4836
79,7370;0,8206;64,9300;1,4443
81,7660;0,7544;66,1300;1,4056
81,8540;0,7422;66,8100;1,4018
82,7020;0,7202;66,3000;1,4492
83,8690;0,6729;66,8700;1,4213
83,6830;0,6821;67,0000;1,4124
42,4630;2,4090;34,8700;3,1109
49,7720;2,0515;41,9200;2,5259
52,7640;1,9212;47,9500;2,2168
49,8970;2,0753;39,2700;2,7067
50,9630;2,0065;42,7300;2,6577
52,6290;1,9288;42,3300;2,6104
51,1230;2,0077;47,1200;2,2893
54,0980;1,8604;49,1900;2,1463
54,8970;1,8296;38,9300;2,8976
52,7500;1,9433;48,0300;2,2380
52,4380;1,9538;37,0700;2,9881
52,5780;1,9297;45,3300;2,3895
53,1060;1,9317;40,2700;2,7003
53,6960;1,8863;48,8800;2,2371
54,8720;1,8339;49,3300;2,1013
54,7710;1,8471;43,7600;2,5517
54,5580;1,8476;48,8800;2,2575
55,5260;1,8027;51,7300;1,9991
57,0650;1,7351;48,7700;2,2680
56,2120;1,7774;48,7300;2,1831
55,9130;1,7974;46,3500;2,3930
57,0920;1,7417;52,8400;1,9577
57,5060;1,7251;52,6300;1,9528
57,9400;1,6914;40,5900;2,6992
58,2290;1,6947;53,0200;2,0078
59,1340;1,6409;49,2500;2,2156
60,0230;1,6023;51,7600;2,0323
57,2350;1,7437;49,0800;2,2657
58,0980;1,6991;46,4800;2,2984
58,4500;1,6734;51,9500;2,0896
59,7870;1,6248;54,2000;1,8881
61,0560;1,5572;53,1700;2,1029
61,0590;1,5624;48,0100;2,2801
59,7000;1,6343;52,7300;2,0440
60,5380;1,5923;51,6000;2,0341
61,1620;1,5535;52,2500;2,0871
62,3150;1,5025;54,0400;1,9836
64,2460;1,4219;54,3600;1,9824
64,2780;1,4218;50,7500;2,1505
65,6700;1,3585;54,5600;1,9581
64,4520;1,4101;55,6300;1,8408
65,4640;1,3684;55,7500;1,8547
67,4680;1,2900;58,8600;1,7982
68,0930;1,2551;55,3400;1,9044
66,2330;1,3515;55,7800;1,8791
67,6410;1,2879;56,4400;1,9297
68,1990;1,2613;59,0800;1,7532
69,0820;1,2159;58,4600;1,7480
70,4910;1,1591;58,6800;1,7787
71,8280;1,1090;60,3200;1,6727
72,1380;1,1107;58,5400;1,7894
70,6640;1,1778;60,8500;1,6545
73,7680;1,0285;60,3400;1,7827
74,1490;1,0259;62,6600;1,5603
76,0380;0,9443;61,1700;1,6748
77,2000;0,8975;63,4600;1,5602
78,7760;0,8402;61,7000;1,6517
78,6240;0,8482;63,5600;1,5170
79,3420;0,8321;61,1800;1,7263
79,9290;0,7931;62,5300;1,6240
82,9860;0,6825;63,7500;1,5637
82,8570;0,6969;64,3700;1,5320
84,7820;0,6196;64,6400;1,5752
84,7780;0,6237;65,2500;1,5355
84,3530;0,6351;62,9400;1,6358
84,9040;0,6164;65,3600;1,5340
86,4600;0,5634;64,5000;1,5837
87,7170;0,5120;66,4700;1,4538
88,2880;0,4941;66,7100;1,4846
89,7650;0,4336;66,6400;1,4520
90,3870;0,4171;66,9900;1,4534
90,0270;0,4288;67,2300;1,4069
89,1130;0,4610;67,5700;1,4061
89,9030;0,4309;67,9400;1,3762
91,6100;0,3701;67,5800;1,4106
90,9670;0,3881;68,0500;1,3733
92,5160;0,3309;68,1200;1,3440
89,9220;0,4287;68,0100;1,3913
92,1580;0,3396;66,0000;1,4614
92,2810;0,3409;67,5500;1,3888
