train_accuracy;train_loss;valid_accuracy;valid_loss
3,1500;5,0355;4,3100;4,9316
8,5470;4,4050;12,2500;4,0770
12,8160;4,0870;15,3100;3,8497
17,9160;3,7069;21,2700;3,4632
22,7920;3,4246;25,4500;3,2798
27,3280;3,1733;29,5900;3,0262
31,7480;2,9398;34,6000;2,7778
35,0230;2,7822;39,8500;2,5244
39,3150;2,5669;42,6500;2,3461
40,6040;2,5056;44,1500;2,2774
27,9380;3,1505;26,2900;3,2086
31,1540;2,9923;33,8100;2,8926
35,8600;2,7194;35,1500;2,7611
36,4760;2,7062;34,1000;2,9796
37,0010;2,6957;35,7700;2,9142
40,1110;2,5332;42,5000;2,4151
41,4870;2,4521;42,1500;2,3780
43,9890;2,3222;42,7200;2,4609
45,2620;2,2634;46,0400;2,2257
46,2630;2,2272;45,3800;2,2927
48,2800;2,1326;44,0600;2,3931
50,3650;2,0256;44,8500;2,3593
51,5550;1,9823;50,5300;2,0178
54,9950;1,8316;53,6600;1,8593
57,2140;1,7339;56,8900;1,7318
59,1210;1,6456;57,4200;1,7560
60,6540;1,5839;59,9800;1,5946
63,2530;1,4758;61,1200;1,5805
63,4250;1,4809;61,6800;1,5596
64,7790;1,4175;62,5100;1,5385
39,6490;2,5520;33,5900;3,1260
43,2850;2,3816;40,0000;2,5352
43,4500;2,3769;36,7300;2,8956
47,1950;2,1784;40,8700;2,5692
46,1650;2,2384;45,8600;2,2308
45,6290;2,2788;37,7200;2,7764
46,7760;2,2027;45,2000;2,3163
49,1990;2,0941;44,6700;2,3207
48,5420;2,1303;32,6000;3,4051
48,1640;2,1434;47,7900;2,1855
50,3930;2,0292;45,6300;2,2816
50,9920;2,0078;46,3200;2,2317
51,2430;1,9986;48,2400;2,2028
52,5280;1,9454;39,1500;2,7931
51,7750;1,9762;49,0300;2,1444
54,4370;1,8488;48,1100;2,2486
55,3050;1,8120;50,2200;2,1076
54,4930;1,8533;48,6600;2,2633
56,1060;1,7771;54,0500;1,8372
56,7700;1,7478;51,0000;2,0498
58,1950;1,6848;44,4400;2,4391
59,8760;1,6152;56,4400;1,8064
61,6130;1,5397;54,2400;2,0125
61,5840;1,5381;57,3800;1,7951
63,8110;1,4521;57,2800;1,7699
64,9140;1,3911;59,4400;1,7116
66,1840;1,3452;56,9900;1,8566
66,5100;1,3409;59,6300;1,6631
69,7330;1,1970;62,2100;1,5523
71,7140;1,1241;63,2900;1,5403
73,5870;1,0462;64,2500;1,4681
75,8080;0,9754;61,7800;1,6588
77,7080;0,8921;65,1200;1,4207
79,5090;0,8276;65,3000;1,4119
78,8110;0,8642;65,7900;1,4666
79,9370;0,8205;66,8800;1,4196
81,1570;0,7884;66,8600;1,4181
82,7870;0,7229;67,3600;1,3532
83,6550;0,6845;67,4300;1,3585
82,4930;0,7338;67,6900;1,3384
39,5320;2,5945;39,8100;2,6435
50,0910;2,0392;33,7900;3,2444
49,4470;2,0979;39,8300;2,7452
49,9490;2,0845;41,2400;2,7077
52,1460;1,9653;39,6800;2,7487
50,4900;2,0481;47,2300;2,2435
53,2150;1,9254;46,9900;2,2286
53,6870;1,9093;45,7600;2,3743
52,8600;1,9247;45,1100;2,4647
52,7050;1,9400;32,6300;3,2257
53,0950;1,9127;47,6800;2,2347
54,2030;1,8739;43,3900;2,4847
54,1420;1,8849;45,8000;2,4024
55,6530;1,7966;47,5500;2,2904
53,1550;1,9253;45,9400;2,3937
54,2700;1,8750;42,4000;2,5858
55,0400;1,8389;44,8000;2,3577
56,7010;1,7518;49,5200;2,1759
55,1400;1,8396;45,0500;2,3142
55,2350;1,8282;46,7100;2,3119
56,5580;1,7665;46,2800;2,2217
57,0990;1,7403;45,9200;2,3970
56,2160;1,7812;24,7800;4,2218
56,2870;1,7890;50,8800;2,0700
57,7950;1,7135;51,3600;2,1957
57,1460;1,7703;50,5500;2,1625
58,0760;1,7020;52,9100;1,9797
59,5260;1,6326;46,8800;2,5273
59,2190;1,6439;52,1300;1,9967
58,9660;1,6719;51,3900;2,0858
60,1070;1,6108;52,2200;2,0476
59,9410;1,6169;53,4700;1,9505
59,9500;1,6227;53,3800;1,9501
60,6250;1,5924;49,9100;2,2321
61,2870;1,5557;52,3500;2,0856
60,5630;1,6004;51,8100;2,1455
62,8440;1,4928;53,8500;2,0467
62,5540;1,5127;54,8400;1,8770
64,1930;1,4407;46,6800;2,3506
62,4040;1,5128;55,9800;1,8316
65,4440;1,3723;56,0400;1,8835
64,9350;1,4095;57,8100;1,7715
66,6390;1,3254;58,1400;1,7704
65,2690;1,3882;54,5400;2,0542
67,6550;1,2772;57,0500;1,8359
69,1600;1,2258;57,7500;1,7626
67,2360;1,3038;59,3800;1,8012
68,5750;1,2441;54,7800;2,0823
70,8260;1,1455;58,6400;1,8022
71,3940;1,1241;62,2900;1,5745
71,0320;1,1485;59,6500;1,6994
72,0140;1,1148;59,9400;1,7277
72,5560;1,0982;62,0300;1,5916
74,4370;1,0072;62,2100;1,6285
74,8910;0,9952;61,5400;1,6662
75,7490;0,9665;61,5000;1,6320
78,4080;0,8584;63,4200;1,5692
77,7600;0,8825;62,7400;1,5994
78,8310;0,8518;62,3700;1,6331
79,3820;0,8255;63,0500;1,6614
80,6080;0,7917;63,3200;1,6170
80,9460;0,7665;65,7500;1,4631
81,9550;0,7406;65,5700;1,5111
82,8600;0,7138;63,9800;1,5480
82,8550;0,7153;65,6100;1,5053
84,9040;0,6206;66,1100;1,4641
86,1980;0,5707;66,1100;1,4821
86,5930;0,5579;66,7600;1,4590
88,1150;0,5138;67,1400;1,4275
87,7300;0,5195;66,9500;1,3965
88,3590;0,5024;67,5300;1,4402
88,7340;0,4862;67,8100;1,3843
90,3730;0,4198;67,8600;1,3598
90,9280;0,3965;68,1700;1,3398
89,6870;0,4547;67,7600;1,3809
91,9920;0,3548;67,9200;1,3953
90,8870;0,3989;67,8700;1,3943
91,9630;0,3616;67,8400;1,4335
91,5980;0,3662;68,3100;1,3647
90,6410;0,4101;67,7800;1,3852
