train_accuracy;train_loss;valid_accuracy;valid_loss
4,6950;4,7663;3,8300;4,9575
11,5110;4,1171;13,3100;4,1400
17,5570;3,6956;13,7200;4,3991
22,1460;3,4117;18,6900;4,1247
26,0490;3,1972;21,4800;3,7628
29,5880;3,0052;23,3900;3,8203
33,3970;2,8133;29,5200;3,4161
36,6530;2,6555;30,6900;3,3617
39,7350;2,5039;34,2300;3,1808
42,1030;2,3983;36,1400;3,1339
29,9360;2,9942;26,5300;3,4409
33,0820;2,8218;19,2700;4,2010
35,3690;2,7168;32,1500;3,1676
37,4210;2,6238;29,4300;3,5461
38,6970;2,5550;35,8100;2,8045
40,1140;2,4822;33,4500;3,1308
41,3800;2,4272;32,7000;3,3421
43,1800;2,3351;39,3700;2,7460
44,3430;2,2854;40,9700;2,6622
46,0530;2,2015;42,3200;2,6028
47,7500;2,1232;44,9100;2,4914
49,4940;2,0375;46,2200;2,4772
51,6330;1,9476;48,7700;2,2992
53,2610;1,8680;49,2000;2,3007
55,5760;1,7725;52,0700;2,1208
57,9220;1,6699;54,1600;2,0595
59,7490;1,5865;56,0100;2,0242
61,5610;1,5143;57,1900;1,9184
63,4780;1,4335;57,2300;1,9283
64,3030;1,3956;58,0000;1,8600
40,4450;2,4633;27,1200;3,9751
43,1240;2,3438;35,2900;2,8960
44,0070;2,2965;40,6900;2,7002
44,8330;2,2630;38,5900;2,9288
45,6740;2,2229;39,7100;2,7088
45,9300;2,2112;34,2800;3,0247
47,1000;2,1623;37,6800;3,1686
47,0970;2,1596;41,2300;2,6227
47,6040;2,1275;42,2800;2,7036
48,5470;2,0930;43,2000;2,5109
48,8170;2,0791;40,0600;2,7938
49,2500;2,0540;41,4200;2,6466
49,9520;2,0261;44,2400;2,5061
50,8800;1,9803;44,5900;2,5591
51,4350;1,9584;46,1000;2,4420
52,3880;1,9152;45,0000;2,6224
52,4670;1,9101;44,2200;2,5971
53,6140;1,8564;48,4800;2,3211
54,5030;1,8138;46,9400;2,4098
55,2830;1,7810;48,1900;2,4122
56,0740;1,7421;47,2300;2,4269
56,9920;1,7040;49,5900;2,2120
58,3170;1,6449;51,2700;2,2027
59,2400;1,6090;49,9800;2,3289
60,2720;1,5585;49,3300;2,4081
61,3890;1,5157;53,4400;2,1044
62,8490;1,4509;54,4100;2,1178
63,8330;1,4014;55,1300;2,0285
65,1690;1,3535;55,1600;2,0659
66,3650;1,2977;56,7500;1,9501
67,7300;1,2419;56,5300;2,0270
69,2900;1,1788;58,0300;1,9506
70,5660;1,1294;58,3800;1,9394
72,3040;1,0607;59,7600;1,9280
73,5760;1,0157;59,4200;1,9291
74,7430;0,9715;59,2400;1,9846
75,7430;0,9349;60,1000;1,9484
76,3210;0,9134;61,4900;1,8516
77,4110;0,8731;60,7400;1,8627
77,1460;0,8810;61,1300;1,8316
42,8620;2,3522;40,3500;2,9539
47,1720;2,1420;43,8700;2,7086
48,5660;2,0847;39,9600;2,7166
49,0260;2,0651;33,0900;3,3386
49,7440;2,0352;42,5900;2,6975
