train_accuracy;train_loss;valid_accuracy;valid_loss
5,4430;4,6805;6,8100;4,5967
13,6470;3,9485;11,6800;4,3537
19,9920;3,5298;6,0100;5,9403
24,9950;3,2331;11,6300;5,1497
29,5010;2,9964;9,1100;5,7861
33,8910;2,7811;12,9300;5,4250
37,6310;2,5868;18,6700;4,7991
41,4960;2,4067;23,2500;4,3958
44,9200;2,2503;31,1400;3,6432
47,3670;2,1368;28,0800;4,1317
33,8280;2,7741;21,7700;4,1747
37,5980;2,5869;15,6500;5,7681
39,9090;2,4703;32,8800;3,0568
42,0720;2,3717;32,7400;3,2190
43,7750;2,2945;28,1800;3,7183
45,5780;2,2123;28,6600;3,7242
47,0040;2,1372;35,6500;2,9883
48,9040;2,0576;38,4000;2,7554
50,5860;1,9786;37,6500;2,9632
52,1120;1,9012;35,8900;3,0863
54,1790;1,8109;44,4900;2,5073
56,3370;1,7189;46,8400;2,4021
58,4590;1,6251;48,6000;2,4108
60,7910;1,5226;50,8000;2,2614
63,3220;1,4176;51,4500;2,1689
66,0160;1,3083;53,8300;2,1004
68,4390;1,2061;54,8400;2,1088
70,8110;1,1137;55,6900;2,0721
72,5780;1,0474;57,1100;1,9784
73,6910;1,0065;57,0800;1,9494
45,3470;2,2134;36,5900;2,9831
48,7080;2,0535;37,5100;2,9085
49,9860;2,0017;41,0900;2,6971
50,9590;1,9585;39,9100;2,7134
51,7270;1,9252;40,7700;2,7594
52,4570;1,8946;39,9400;2,8313
52,7660;1,8709;38,3000;2,9196
53,7510;1,8372;40,6700;2,7861
54,1570;1,8135;43,0200;2,5762
54,9480;1,7800;41,1800;2,7256
55,3750;1,7535;44,4200;2,6851
56,0250;1,7270;36,7600;3,2641
56,7500;1,6996;39,2200;3,0560
57,5670;1,6633;38,9800;2,8957
58,2760;1,6268;44,7500;2,6228
59,4290;1,5871;45,0400;2,6091
59,8990;1,5569;46,5400;2,3788
60,5740;1,5229;49,9700;2,2366
61,5320;1,4846;44,0600;2,7501
62,6990;1,4363;44,6400;2,6833
63,6520;1,3926;46,8700;2,4410
64,8550;1,3431;47,2000;2,6344
65,9540;1,2948;49,4900;2,4389
67,2720;1,2383;50,6500;2,3252
68,5910;1,1874;51,7900;2,3307
