train_accuracy;train_loss;valid_accuracy;valid_loss
5,8270;4,6383;6,0600;4,8538
14,4030;3,8908;8,8700;4,6368
20,9810;3,4697;14,4300;4,3506
26,3150;3,1655;14,1200;4,9772
30,9770;2,9201;16,9200;4,7115
35,1860;2,7103;23,3500;3,8174
38,9380;2,5169;29,0100;3,5639
43,1050;2,3338;36,0300;2,9580
46,5430;2,1736;35,8200;3,0825
49,0440;2,0572;35,5800;3,1986
34,8820;2,7189;27,1200;3,6104
38,5130;2,5406;25,0300;3,8136
40,9720;2,4201;27,5300;3,5424
42,7780;2,3342;29,9900;3,4477
44,6920;2,2500;34,4700;3,0536
46,2870;2,1711;39,1400;2,7398
48,0450;2,0950;33,3500;3,3977
49,6730;2,0148;41,8500;2,6210
51,3090;1,9435;30,1900;3,7242
53,2210;1,8550;44,2300;2,4993
55,2580;1,7655;41,9900;2,7392
57,1140;1,6790;46,0100;2,5169
59,4840;1,5818;46,7400;2,4677
62,0410;1,4759;50,7000;2,2630
64,4820;1,3678;53,5600;2,1350
66,9660;1,2616;54,3200;2,0653
69,7940;1,1544;54,9800;2,0969
72,1390;1,0625;56,4200;2,0044
74,0440;0,9926;57,8200;1,9612
75,2960;0,9494;57,9600;2,0105
45,7860;2,1898;34,4600;3,1963
49,1040;2,0284;36,4500;2,9296
51,0020;1,9558;33,0700;3,3299
51,5410;1,9307;38,6600;2,9288
52,3740;1,8878;39,4900;2,9389
52,9530;1,8681;37,8600;3,0089
53,4660;1,8384;40,9300;2,6824
54,3530;1,8059;37,8900;3,2327
54,7350;1,7861;42,1800;2,7684
55,4490;1,7508;40,7000;2,8419
55,9550;1,7251;37,3800;3,1046
56,6030;1,7016;42,6600;2,6842
57,6140;1,6621;38,9100;3,0317
57,9070;1,6399;45,1400;2,4814
58,7940;1,6075;41,1400;2,8467
59,4690;1,5752;43,1000;2,7384
60,4830;1,5345;40,3400;2,9762
61,3530;1,4917;42,1300;2,8080
62,3740;1,4526;47,6700;2,4482
63,3250;1,4093;48,4500;2,4577
64,3910;1,3621;50,4300;2,2805
65,4720;1,3154;48,2300;2,4023
66,6460;1,2673;51,1700;2,2892
67,9300;1,2145;52,2700;2,1886
69,3750;1,1561;50,7200;2,3080
70,7870;1,0948;52,6000;2,3977
72,2220;1,0382;53,2700;2,2458
73,8170;0,9740;52,1000;2,3779
75,5710;0,9076;55,3300;2,1705
77,3000;0,8410;54,2100;2,2360
79,3220;0,7683;56,6500;2,0929
80,9360;0,7060;56,4500;2,2006
82,7650;0,6441;56,9500;2,2372
84,4420;0,5839;58,0400;2,1473
86,0080;0,5302;59,3000;2,0756
87,3240;0,4882;58,5900;2,1704
88,4340;0,4553;58,9500;2,1730
89,0010;0,4305;59,2000;2,1454
89,6490;0,4148;59,3200;2,1185
89,9100;0,4077;59,3700;2,1608
47,7860;2,0943;21,1000;5,3950
53,7110;1,8256;38,7500;3,0450
55,3360;1,7481;41,4100;2,8809
55,9560;1,7248;41,9100;2,7506
56,5250;1,7048;42,8400;2,6548
56,6470;1,6930;44,1300;2,6391
57,2770;1,6694;43,0400;2,6904
57,5070;1,6635;42,1000;2,7950
57,7560;1,6502;39,4100;3,0613
58,0120;1,6428;42,6300;2,7487
57,9260;1,6377;45,2500;2,5361
58,4170;1,6211;44,2400;2,7599
58,4010;1,6205;45,0700;2,5247
58,6510;1,6097;46,5500;2,5031
59,0150;1,5956;45,2800;2,5305
59,2210;1,5868;44,8100;2,6855
59,2950;1,5776;42,9000;2,7366
59,6350;1,5616;44,0400;2,5654
59,9930;1,5564;47,0100;2,4610
60,2210;1,5473;38,2500;3,1026
60,5330;1,5324;46,6100;2,4420
60,7650;1,5205;43,4600;2,7325
61,0680;1,5040;41,2800;2,8735
61,4310;1,4923;43,9900;2,7162
61,5730;1,4794;47,5600;2,5524
61,9080;1,4628;41,9600;2,8054
62,4590;1,4517;44,7700;2,6455
62,4770;1,4368;46,2100;2,5614
63,0520;1,4223;46,9300;2,4740
63,4050;1,3997;43,3000;2,8264
63,9350;1,3889;41,4200;3,0445
64,1320;1,3710;47,3700;2,4414
64,7670;1,3499;40,0600;3,1245
65,0490;1,3332;47,1500;2,6253
65,4940;1,3115;50,6000;2,3730
66,1180;1,2877;48,8000;2,5571
66,4670;1,2744;50,8600;2,3726
67,0120;1,2476;48,5700;2,6304
67,4730;1,2262;51,4200;2,3522
67,9600;1,2053;49,2700;2,5215
68,6320;1,1764;46,8800;2,7260
69,2740;1,1544;51,0200;2,4376
70,0010;1,1249;48,6000;2,6474
70,4770;1,1027;53,1100;2,3118
71,2090;1,0722;47,6500;2,6725
71,8580;1,0458;53,7800;2,3150
72,5610;1,0185;54,3100;2,1816
73,1970;0,9897;54,2300;2,2629
74,0820;0,9565;53,2000;2,3365
74,8470;0,9257;50,1200;2,6473
75,5490;0,8954;52,4700;2,4090
76,4170;0,8603;51,9000;2,6039
77,4590;0,8231;54,3700;2,3714
78,6630;0,7819;56,3300;2,2323
79,2160;0,7606;54,0000;2,4294
80,3780;0,7155;54,2300;2,4595
81,1650;0,6873;52,8800;2,5269
82,2740;0,6475;56,2800;2,3422
83,2890;0,6112;56,6700;2,3469
84,5740;0,5665;57,1200;2,3951
85,6050;0,5304;55,9400;2,3613
86,7380;0,4895;58,5300;2,2624
87,7980;0,4542;56,4000;2,4585
88,8720;0,4203;57,9900;2,4094
89,9180;0,3837;58,6200;2,3993
90,7470;0,3564;59,1200;2,3442
91,7540;0,3234;58,9500;2,4091
92,7100;0,2961;58,8200;2,3775
93,3230;0,2731;59,8900;2,3378
93,9750;0,2527;59,3900;2,3351
94,4920;0,2356;59,5200;2,3303
95,0980;0,2171;59,8400;2,2970
95,4770;0,2070;60,1000;2,2916
95,7710;0,1964;60,0000;2,3569
96,0640;0,1874;59,5400;2,4683
96,2460;0,1809;60,1900;2,3282
96,3810;0,1764;60,2900;2,3112
96,4080;0,1742;59,8200;2,3363
96,6400;0,1696;59,9300;2,3615
96,6890;0,1692;59,9100;2,4025
