train_accuracy;train_loss;valid_accuracy;valid_loss
5,2010;4,6986;8,6700;4,3171
13,5130;3,9278;11,8100;4,4143
20,2570;3,4992;13,0200;4,4467
25,6860;3,1971;16,2600;4,5963
30,4360;2,9610;16,3500;4,5030
34,4640;2,7494;26,9200;3,4260
38,1670;2,5594;22,2400;4,1671
41,8440;2,3833;28,7400;3,7469
45,3340;2,2255;33,6300;3,2890
47,6760;2,1193;32,6500;3,4767
33,9050;2,7663;20,2800;4,2868
37,7280;2,5816;27,9600;3,4438
40,0400;2,4754;27,9400;3,4826
41,8730;2,3837;30,6500;3,3949
43,5990;2,2980;36,3400;2,9242
45,2030;2,2253;36,5200;2,8918
46,6250;2,1544;33,6500;3,2589
48,1550;2,0812;38,8200;2,8384
50,0080;2,0016;44,9100;2,5189
51,9940;1,9187;39,1700;2,8437
53,8410;1,8358;43,8900;2,5411
55,7550;1,7470;45,2000;2,5192
57,8390;1,6544;44,7000;2,6254
60,2640;1,5516;49,9700;2,2831
62,7560;1,4448;51,6000;2,2504
65,3040;1,3393;51,5300;2,3477
67,7980;1,2357;53,2500;2,1529
69,9450;1,1484;54,9300;2,1543
71,9550;1,0745;56,0800;2,0269
73,0950;1,0339;56,5900;2,0442
45,0140;2,2330;24,7900;4,4585
48,2040;2,0810;36,6300;2,9276
49,6580;2,0194;35,1200;3,1433
50,2970;1,9868;38,2600;2,8045
51,2520;1,9507;39,1600;2,8281
51,6310;1,9268;33,0900;3,3842
52,3750;1,8992;38,5200;2,9250
52,9290;1,8763;42,8200;2,6165
53,5070;1,8462;37,7600;3,1242
54,1970;1,8133;42,8700;2,7125
54,6380;1,7995;38,5300;2,9826
55,5110;1,7556;38,2700;3,0619
56,1370;1,7263;39,0200;2,9182
56,7150;1,7059;42,9600;2,5808
57,5770;1,6673;42,3400;2,7191
58,2990;1,6327;47,8500;2,3842
59,1180;1,5937;45,5300;2,6817
59,8510;1,5606;46,6900;2,4421
60,8860;1,5222;43,8900;2,6009
61,7670;1,4739;44,3600;2,7076
62,7400;1,4366;50,6600;2,2794
63,8060;1,3884;49,2600;2,3648
65,0420;1,3387;48,6000;2,4974
66,3100;1,2860;46,7800;2,5673
67,5710;1,2333;46,5400;2,6590
69,2350;1,1674;52,8300;2,2288
70,3430;1,1171;53,4100;2,2038
72,0500;1,0506;54,6300;2,1403
73,6890;0,9863;52,3400;2,2953
75,3030;0,9190;54,5200;2,1948
77,2220;0,8501;54,9000;2,2554
78,8840;0,7836;54,6300;2,3138
80,7500;0,7188;56,3600;2,2034
82,4460;0,6607;56,8200;2,1536
84,0100;0,6086;57,2200;2,0977
85,1500;0,5639;57,4400;2,2456
86,2950;0,5305;56,8900;2,2639
87,1500;0,5019;57,9500;2,2261
87,6390;0,4856;57,9300;2,1360
87,9840;0,4756;58,0400;2,1747
46,5770;2,1572;36,7900;3,0155
52,3460;1,8836;42,2200;2,7565
53,9470;1,8172;37,6700;3,0903
54,7090;1,7852;34,8600;3,2821
55,0630;1,7676;39,2300;2,9308
55,7240;1,7494;43,2200;2,7129
55,8770;1,7364;40,3600;2,9614
