train_accuracy;train_loss;valid_accuracy;valid_loss
5,6640;4,6692;4,7200;5,1950
14,1980;3,9057;9,7800;4,5147
20,5540;3,4873;10,7400;5,1441
25,8500;3,1907;10,3000;5,0389
30,4500;2,9497;17,9300;4,4042
34,7260;2,7330;17,7100;4,7990
38,5000;2,5430;26,0700;3,9173
42,4540;2,3664;31,7500;3,5146
45,7840;2,2090;33,0000;3,4912
48,3580;2,0972;29,9700;3,9756
34,3330;2,7450;26,1600;3,7349
38,0270;2,5676;29,8700;3,4118
40,3870;2,4496;27,1200;3,6778
42,3840;2,3585;28,6700;3,6408
44,3080;2,2706;30,7900;3,3383
45,6890;2,1951;37,4700;2,9454
47,2580;2,1265;37,1000;3,0383
48,9620;2,0484;37,8400;2,9343
50,8510;1,9739;41,9300;2,6837
52,6220;1,8870;41,7700;2,6355
54,3580;1,8078;40,8500;2,8248
56,3470;1,7171;45,8000;2,5625
58,6710;1,6185;48,6900;2,2993
61,2120;1,5110;48,4300;2,3609
63,5490;1,4098;50,1000;2,2411
66,0610;1,3031;53,0200;2,1999
68,7420;1,1983;54,8100;2,1331
71,2650;1,1058;56,6900;1,9941
72,7550;1,0387;57,2100;2,0012
74,1210;0,9966;57,5200;2,0062
45,1740;2,2112;32,5900;3,2349
48,9700;2,0455;28,9800;3,7736
50,0430;1,9992;36,3800;2,9368
51,0080;1,9536;38,0700;2,9617
51,5880;1,9259;39,2400;2,8483
52,3220;1,8947;39,6100;2,7860
53,1460;1,8610;39,9000;2,7701
53,7980;1,8345;36,5100;3,1260
54,2820;1,8091;44,6200;2,5608
55,1140;1,7743;39,4200;3,0123
55,5730;1,7605;42,9300;2,6461
56,0470;1,7289;39,6000;2,8474
56,7850;1,6990;39,1400;2,8788
57,0930;1,6800;42,9000;2,7038
58,1000;1,6393;47,2700;2,5040
58,9930;1,6006;45,2300;2,5091
59,9240;1,5578;45,5700;2,5862
60,8560;1,5216;44,9900;2,6599
61,6760;1,4820;46,2200;2,4719
62,5270;1,4406;48,6200;2,3675
63,5650;1,3948;50,0100;2,2812
64,6630;1,3533;49,6400;2,4528
65,9470;1,2952;46,8300;2,6470
67,3550;1,2461;48,0600;2,4558
68,4730;1,1933;52,9900;2,2837
69,8980;1,1397;52,3300;2,2725
71,4570;1,0722;52,8200;2,3332
72,8580;1,0109;54,8500;2,1684
74,6150;0,9486;55,1900;2,1578
76,4350;0,8749;55,7700;2,2402
78,1900;0,8131;56,5500;2,1759
79,9270;0,7512;55,3400;2,2282
81,8900;0,6807;58,0000;2,1352
83,3510;0,6247;58,3700;2,1219
85,0240;0,5729;58,2500;2,1025
86,1960;0,5311;59,6400;1,9943
